text,parent_key
3.6.3.44,BE0001032
ATP-binding cassette sub-family B member 1,BE0001032
MDR1,BE0001032
P-glycoprotein 1,BE0001032
PGY1,BE0001032
ATP-binding cassette sub-family C member 2,BE0001069
Canalicular multidrug resistance protein,BE0001069
CMOAT,BE0001069
CMOAT1,BE0001069
CMRP,BE0001069
MRP2,BE0001069
Multidrug resistance-associated protein 2,BE0001069
ATP-binding cassette sub-family B member 11,BE0000703
BSEP,BE0000703
Apical sodium-dependent bile acid transporter,BE0003643
ASBT,BE0003643
IBAT,BE0003643
Ileal Na(+)/bile acid cotransporter,BE0003643
Ileal sodium-dependent bile acid transporter,BE0003643
ISBT,BE0003643
Na(+)-dependent ileal bile acid transporter,BE0003643
NTCP2,BE0003643
"Sodium/taurocholate cotransporting polypeptide, ileal",BE0003643
Solute carrier family 10 member 2,BE0003643
Cell growth-inhibiting gene 29 protein,BE0003644
Na(+)/bile acid cotransporter,BE0003644
Na(+)/taurocholate transport protein,BE0003644
NTCP,BE0003644
Sodium/taurocholate cotransporting polypeptide,BE0003644
Solute carrier family 10 member 1,BE0003644
hOAT1,BE0001066
hPAHT,BE0001066
hROAT1,BE0001066
OAT1,BE0001066
Organic anion transporter 1,BE0001066
PAH transporter,BE0001066
PAHT,BE0001066
Renal organic anion transporter 1,BE0001066
ATP-binding cassette sub-family C member 10,BE0003651
MRP7,BE0003651
SIMRP7,BE0003651
ABCP,BE0001067
BCRP,BE0001067
BCRP1,BE0001067
Breast cancer resistance protein,BE0001067
CDw338,BE0001067
Mitoxantrone resistance-associated protein,BE0001067
MXR,BE0001067
Placenta-specific ATP-binding cassette transporter,BE0001067
Urate exporter,BE0001067
Liver-specific organic anion transporter 1,BE0001004
LST-1,BE0001004
LST1,BE0001004
OATP-2,BE0001004
OATP-C,BE0001004
OATP1B1,BE0001004
OATP2,BE0001004
OATPC,BE0001004
SLC21A6,BE0001004
Sodium-independent organic anion-transporting polypeptide 2,BE0001004
Solute carrier family 21 member 6,BE0001004
Liver-specific organic anion transporter 2,BE0003659
LST-2,BE0003659
LST2,BE0003659
OATP-8,BE0003659
OATP1B3,BE0003659
OATP8,BE0003659
Organic anion transporter 8,BE0003659
Organic anion-transporting polypeptide 8,BE0003659
SLC21A8,BE0003659
Solute carrier family 21 member 8,BE0003659
Amnionless protein precursor,BE0000340
Haptocorrin,BE0000238
HC,BE0000238
Protein R,BE0000238
TC I,BE0000238
TC-1,BE0000238
TC1,BE0000238
TCI,BE0000238
Transcobalamin I,BE0000238
TC II,BE0000362
TC-2,BE0000362
TC2,BE0000362
TCII,BE0000362
Transcobalamin II,BE0000362
IF,BE0004690
IFMH,BE0004690
INF,BE0004690
Intrinsic factor,BE0004690
460 kDa receptor,BE0000936
IFCR,BE0000936
Intestinal intrinsic factor receptor,BE0000936
Intrinsic factor-cobalamin receptor,BE0000936
Intrinsic factor-vitamin B12 receptor,BE0000936
Glycoprotein 330,BE0000942
gp330,BE0000942
LRP-2,BE0000942
Megalin,BE0000942
ATP-binding cassette sub-family C member 1,BE0000785
Leukotriene C(4) transporter,BE0000785
LTC4 transporter,BE0000785
MRP,BE0000785
MRP1,BE0000785
Aromatic amino acid transporter 1,BE0003654
MCT 10,BE0003654
MCT10,BE0003654
Solute carrier family 16 member 10,BE0003654
T-type amino acid transporter 1,BE0003654
TAT1,BE0003654
MCT 2,BE0000440
MCT2,BE0000440
Solute carrier family 16 member 7,BE0000440
MCT 1,BE0000669
MCT1,BE0000669
Solute carrier family 16 member 1,BE0000669
OATP2A1,BE0003655
PGT,BE0003655
Prostaglandin transporter,BE0003655
SLC21A2,BE0003655
Solute carrier family 21 member 2,BE0003655
MCT 4,BE0000449
MCT4,BE0000449
Solute carrier family 16 member 3,BE0000449
Na(+)-dependent multivitamin transporter,BE0000094
SMVT,BE0000094
Solute carrier family 5 member 6,BE0000094
AIT,BE0004708
Apical iodide transporter,BE0004708
Electrogenic sodium monocarboxylate cotransporter,BE0004708
SMCT,BE0004708
SMCT1,BE0004708
Sodium iodide-related cotransporter,BE0004708
Solute carrier family 5 member 8,BE0004708
hOCT2,BE0003647
OCT2,BE0003647
Organic cation transporter 2,BE0003647
hOCT1,BE0003648
OCT1,BE0003648
Organic cation transporter 1,BE0003648
EMT,BE0003650
EMTH,BE0003650
Extraneuronal monoamine transporter,BE0003650
OCT3,BE0003650
Organic cation transporter 3,BE0003650
High-affinity sodium-dependent carnitine cotransporter,BE0000106
OCTN2,BE0000106
Organic cation/carnitine transporter 2,BE0000106
Ergothioneine transporter,BE0000757
ET transporter,BE0000757
ETT,BE0000757
OCTN1,BE0000757
Organic cation/carnitine transporter 1,BE0000757
UT2H,BE0000757
CD92,BE0001059
CDW92,BE0001059
CTL1,BE0001059
Solute carrier family 44 member 1,BE0001059
C6orf29,BE0002182
CTL4,BE0002182
NG22,BE0002182
Solute carrier family 44 member 4,BE0002182
CTL2,BE0002183
Solute carrier family 44 member 2,BE0002183
CTL3,BE0002184
Solute carrier family 44 member 3,BE0002184
CHT,BE0000696
CHT1,BE0000696
Hemicholinium-3-sensitive choline transporter,BE0000696
Solute carrier family 5 member 7,BE0000696
hSVCT1,BE0000168
Na(+)/L-ascorbic acid transporter 1,BE0000168
Sodium-dependent vitamin C transporter 1,BE0000168
SVCT1,BE0000168
Yolk sac permease-like molecule 3,BE0000168
YSPL3,BE0000168
hSVCT2,BE0009869
KIAA0238,BE0009869
Na(+)/L-ascorbic acid transporter 2,BE0009869
NBTL1,BE0009869
Nucleobase transporter-like 1 protein,BE0009869
SLC23A1,BE0009869
Sodium-dependent vitamin C transporter 2,BE0009869
SVCT2,BE0009869
Yolk sac permease-like molecule 2,BE0009869
YSPL2,BE0009869
"Glucose transporter type 1, erythrocyte/brain",BE0001057
GLUT-1,BE0001057
GLUT1,BE0001057
HepG2 glucose transporter,BE0001057
"Glucose transporter type 3, brain",BE0004707
GLUT-3,BE0004707
GLUT3,BE0004707
"Glucose transporter type 4, insulin-responsive",BE0000893
GLUT-4,BE0000893
GLUT4,BE0000893
Amino acid transporter A1,BE0009870
ATA1,BE0009870
N-system amino acid transporter 2,BE0009870
NAT2,BE0009870
SAT1,BE0009870
SNAT1,BE0009870
Solute carrier family 38 member 1,BE0009870
System A amino acid transporter 1,BE0009870
System N amino acid transporter 1,BE0009870
Amino acid transporter A2,BE0009871
ATA2,BE0009871
KIAA1382,BE0009871
Protein 40-9-1,BE0009871
SAT2,BE0009871
SNAT2,BE0009871
Solute carrier family 38 member 2,BE0009871
System A amino acid transporter 2,BE0009871
System A transporter 1,BE0009871
System N amino acid transporter 2,BE0009871
G17,BE0000285
N-system amino acid transporter 1,BE0000285
Na(+)-coupled neutral amino acid transporter 3,BE0000285
NAT1,BE0000285
SN1,BE0000285
SNAT3,BE0000285
Solute carrier family 38 member 3,BE0000285
System N amino acid transporter 1,BE0000285
ASCT2,BE0000236
ATB(0),BE0000236
Baboon M7 virus receptor,BE0000236
M7V1,BE0000236
RD114/simian type D retrovirus receptor,BE0000236
RDR,BE0000236
RDRC,BE0000236
Sodium-dependent neutral amino acid transporter type 2,BE0000236
Solute carrier family 1 member 5,BE0000236
Amino acid transporter ATB0+,BE0000423
Solute carrier family 6 member 14,BE0000423
Monocyte amino acid permease 2,BE0004769
MOP-2,BE0004769
Solute carrier family 7 member 7,BE0004769
y(+)L-type amino acid transporter 1,BE0004769
y+LAT-1,BE0004769
Y+LAT1,BE0004769
"Cationic amino acid transporter, y+ system",BE0009872
KIAA0245,BE0009872
Solute carrier family 7 member 6,BE0009872
y(+)L-type amino acid transporter 2,BE0009872
y+LAT-2,BE0009872
Y+LAT2,BE0009872
4F2 LC,BE0000222
4F2 light chain,BE0000222
4F2LC,BE0000222
CD98 light chain,BE0000222
CD98LC,BE0000222
hLAT1,BE0000222
Integral membrane protein E16,BE0000222
L-type amino acid transporter 1,BE0000222
LAT1,BE0000222
MPE16,BE0000222
Solute carrier family 7 member 5,BE0000222
y+ system cationic amino acid transporter,BE0000222
hLAT2,BE0000789
L-type amino acid transporter 2,BE0000789
LAT2,BE0000789
Solute carrier family 7 member 8,BE0000789
"b(0,+)AT1",BE0002251
BAT1,BE0002251
"Glycoprotein-associated amino acid transporter b0,+AT1",BE0002251
Solute carrier family 7 member 9,BE0002251
MCT 7,BE0000178
MCT 8,BE0000178
MCT8,BE0000178
Monocarboxylate transporter 7,BE0000178
Solute carrier family 16 member 2,BE0000178
X-linked PEST-containing transporter,BE0000178
XPCT,BE0000178
