ref-id,pubmed-id,citation,parent_key
A11627,10036158,"Maingonnat C, Victor R, Bertrand P, Courel MN, Maunoury R, Delpech B: Activation and inhibition of human cancer cell hyaluronidase by proteins. Anal Biochem. 1999 Mar 1;268(1):30-4.",BE0000530
A11628,10466114,"Parameswaran S, Brown LV, Ibbott GS, Lai-Fook SJ: Effect of concentration and hyaluronidase on albumin diffusion across rabbit mesentery. Microcirculation. 1999 Jun;6(2):117-26.",BE0000530
A192021,12090938,"Lozinsky E, Novoselsky A, Glaser R, Shames AI, Likhtenshtein GI, Meyerstein D: Effect of ionic strength on the binding of ascorbate to albumin. Biochim Biophys Acta. 2002 Jul 3;1571(3):239-44. doi: 10.1016/s0304-4165(02)00257-x.",BE0000530
A192024,6735617,"Oelrichs BA, Kratzing CC, Kelly JD, Winzor DJ: The binding of ascorbate to bovine serum albumin. Int J Vitam Nutr Res. 1984;54(1):61-4.",BE0000530
A13643,10854433,"Balendiran GK, Schnutgen F, Scapin G, Borchers T, Xhong N, Lim K, Godbout R, Spener F, Sacchettini JC: Crystal structure and thermodynamic analysis of human brain fatty acid-binding protein. J Biol Chem. 2000 Sep 1;275(35):27045-54.",BE0001821
A175717,27742848,Davey RX: Vitamin D-binding protein as it is understood in 2016: is it a critical key with which to help to solve the calcitriol conundrum? Ann Clin Biochem. 2017 Mar;54(2):199-208. doi: 10.1177/0004563216677100. Epub 2016 Dec 11.,BE0001141
A20277,8370586,"Arnaud J, Constans J: Affinity differences for vitamin D metabolites associated with the genetic isoforms of the human serum carrier protein (DBP). Hum Genet. 1993 Sep;92(2):183-8.",BE0001141
A11676,16678417,"Zsila F, Nadolski G, Lockwood SF: Association studies of aggregated aqueous lutein diphosphate with human serum albumin and alpha1-acid glycoprotein in vitro: evidence from circular dichroism and electronic absorption spectroscopy. Bioorg Med Chem Lett. 2006 Jul 15;16(14):3797-801. Epub 2006 May 5.",BE0000530
A11677,11273666,"Yemelyanov AY, Katz NB, Bernstein PS: Ligand-binding characterization of xanthophyll carotenoids to solubilized membrane proteins derived from human retina. Exp Eye Res. 2001 Apr;72(4):381-92.",BE0000530
A192381,26372107,"Hosseinzadeh R, Khorsandi K: Interaction of vitamin B1 with bovine serum albumin investigation using vitamin B1-selective electrode: potentiometric and molecular modeling study. J Biomol Struct Dyn. 2016 Sep;34(9):1903-10. doi: 10.1080/07391102.2015.1094414. Epub 2016 May 4.",BE0000530
A192384,3733341,"Thom JY, Davis RE, Icke GC: Protein binding of thiamin in human plasma. Int J Vitam Nutr Res. 1986;56(2):189.",BE0000530
A1713,17139284,"Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6.",BE0001821
A1715,17016423,"Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34.",BE0001821
A13643,10854433,"Balendiran GK, Schnutgen F, Scapin G, Borchers T, Xhong N, Lim K, Godbout R, Spener F, Sacchettini JC: Crystal structure and thermodynamic analysis of human brain fatty acid-binding protein. J Biol Chem. 2000 Sep 1;275(35):27045-54.",BE0001821
A13868,17547694,"Liu YE, Pu W, Wang J, Kang JX, Shi YE: Activation of Stat5 and induction of a pregnancy-like mammary gland differentiation by eicosapentaenoic and docosapentaenoic omega-3 fatty acids. FEBS J. 2007 Jul;274(13):3351-62. Epub 2007 Jun 5.",BE0001821
A20242,25451573,"Pavicevic ID, Jovanovic VB, Takic MM, Penezic AZ, Acimovic JM, Mandic LM: Fatty acids binding to human serum albumin: Changes of reactivity and glycation level of Cysteine-34 free thiol group with methylglyoxal. Chem Biol Interact. 2014 Dec 5;224:42-50. doi: 10.1016/j.cbi.2014.10.008. Epub 2014 Oct 17.",BE0000530
A10205,16115871,"O'Byrne SM, Wongsiriroj N, Libien J, Vogel S, Goldberg IJ, Baehr W, Palczewski K, Blaner WS: Retinoid absorption and storage is impaired in mice lacking lecithin:retinol acyltransferase (LRAT). J Biol Chem. 2005 Oct 21;280(42):35647-57. Epub 2005 Aug 22.",BE0000682
A1713,17139284,"Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6.",BE0000532
A1715,17016423,"Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34.",BE0000532
A10206,15493015,"Caprioli A, Zhu H, Sato TN: CRBP-III:lacZ expression pattern reveals a novel heterogeneity of vascular endothelial cells. Genesis. 2004 Nov;40(3):139-45.",BE0000532
A10207,17001693,"Goodman AB: Retinoid receptors, transporters, and metabolizers as therapeutic targets in late onset Alzheimer disease. J Cell Physiol. 2006 Dec;209(3):598-603.",BE0000314
A10208,17529981,"Ziouzenkova O, Orasanu G, Sharlach M, Akiyama TE, Berger JP, Viereck J, Hamilton JA, Tang G, Dolnikowski GG, Vogel S, Duester G, Plutzky J: Retinaldehyde represses adipogenesis and diet-induced obesity. Nat Med. 2007 Jun;13(6):695-702. Epub 2007 May 27.",BE0000314
A10209,17566551,"Wolf G: Serum retinol-binding protein: a link between obesity, insulin resistance, and type 2 diabetes. Nutr Rev. 2007 May;65(5):251-6.",BE0000314
A10210,16150442,"Liden M, Eriksson U: Development of a versatile reporter assay for studies of retinol uptake and metabolism in vivo. Exp Cell Res. 2005 Nov 1;310(2):401-8. Epub 2005 Sep 8.",BE0000314
A10211,16181461,"Hinterhuber G, Cauza K, Dingelmaier-Hovorka R, Diem E, Horvat R, Wolff K, Foedinger D: Expression of RPE65, a putative receptor for plasma retinol-binding protein, in nonmelanocytic skin tumours. Br J Dermatol. 2005 Oct;153(4):785-9.",BE0000314
A10212,16351764,"Suruga K, Kitagawa M, Yasutake H, Takase S, Goda T: Diet-related variation in cellular retinol-binding protein type II gene expression in rat jejunum. Br J Nutr. 2005 Dec;94(6):890-5.",BE0000505
A19989,17217919,"Karnaukhova E: Interactions of human serum albumin with retinoic acid, retinal and retinyl acetate. Biochem Pharmacol. 2007 Mar 15;73(6):901-10. Epub 2006 Dec 2.",BE0000530
