ref-id,isbn,citation,parent_key
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L55). Canadian Pharmacists Association.,BE0002638
T229,1-894402-22-7,`Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L55). Canadian Pharmacists Association.,BE0002793
T306,978-0-803-669468,Vallerand A. and Sanoski C. (2017). David's Canadian Drug Guide for Nurses (16th ed.). FA Davis Company.,BE0002638
T243,978-1-4614-7495-1,"Marcucci C., Hutchens M., Wittwer E., Weingarten T., Sprung J., Nicholson W., Lalwani K., Metro D., Dull R., Swide C., Seagull F., Kirsch J. and Sandson N. (2015). A case approach to perioperative drug-drug interactions. Springer.",BE0002638
T230,085369754X,"16, 29. (2008). In Stockley's Drug Interactions (8th ed., pp. 598, 1071-1072). RPS Publishing.",BE0002638
T357,978-0-7817-6879-5,"Lemke T., Williams D., Roche V. and Zito W. (2008). Foye's Principles of Medicinal Chemistry (6th) (6th ed.). Lippincott Williams & Wilkins.",BE0002793
T551,978-0-521-87363-5,"Ng C., Lin K., Singh B. and Chiu E. (2008). Ethno-psychopharmacology. Cambridge University Press.",BE0003544
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L58). Canadian Pharmacists Association.,BE0002793
T505,,"Yumiko Nasako, Tetsuya Yamamoto, Yuji Moriwaki, Sumio Takahashi, Zenta Tsutsumi, Toshikazu Hada, Kazuya Higashino (1995). Purine and Pyrimidine Metabolism in Man VIII. pringer Science+Business Media New York.",BE0003539
T263,978-3-642-04509-7,Dancygier H. (2010). Clinical Hepatology. Springer-Verlag.,BE0003541
T320,978-0-7637-8607-6,"Ouellette R. and Joyce J. (2011). Pharmacology for Nurse Anesthesiology. Jones and Bartlett Learning, LLC.",BE0003536
T647,,"Brandon Cohen; Charles V. Preuss (2019). Celecoxib, NIH StatPearls. StatPearls.",BE0002793
T647,,"Brandon Cohen; Charles V. Preuss (2019). Celecoxib, NIH StatPearls. StatPearls.",BE0002887
T355,,Jeffrey K. Aronson (2009). Meyler's Side Effects of Antimicrobial Drugs. Elsevier.,BE0002793
T321,,Lerman J. (2014). Neonatal Anesthesia. Springer.,BE0003536
T349,,Alan H.B. Wu (2006). Tietz Clinical Guide to Laboratory Tests. Elsevier.,BE0002433
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L54). Canadian Pharmacists Association.,BE0002638
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L54). Canadian Pharmacists Association.,BE0002363
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L54). Canadian Pharmacists Association.,BE0002793
T656,,Siu Wa Tang and Daiga Helmeste (2008). Expert opinion on pharmacotherapeutics; Paroxetine. Taylor and Francis online.,BE0002638
T349,,Alan H.B. Wu (2006). Tietz Clinical Guide to Laboratory Tests. Elsevier.,BE0002433
T665,,Justin Evans; Micah Wittler (2019). Amoxicillin Clavulanate. Stat Pearls.,BE0009711
T668,,Anil Kumar; Sandeep Sharma (2019). Donepezil. Stat Pearls.,BE0002363
T668,,Anil Kumar; Sandeep Sharma (2019). Donepezil. Stat Pearls.,BE0002638
T312,,Litt J. (2016). Litt's Drug eruption & reaction manual (22nd ed.). CRC Press LLc.,BE0002638
T768,,"Alexander Alex, C. John Harris, Dennis A. Smith (2016). Attrition in the Pharmaceutical industry: reasons, implications, and pathways forward. Wiley.",BE0002793
T263,978-3-642-04509-7,Dancygier H. (2010). Clinical Hepatology. Springer-Verlag.,BE0003541
T3,0683307371,"Foye, William O.;Williams, David A.;Lemke, Thomas L. (2002). Foye's Principles of Medicinal Chemistry (5th ed.). Lippincott Williams & Wilkins.",BE0003536
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L57). Canadian Pharmacists Association.,BE0003533
T229,1-894402-22-7,Clin-info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L56). Canadian Pharmacists Association.,BE0002793
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L56). Canadian Pharmacists Association.,BE0002433
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L56). Canadian Pharmacists Association.,BE0003536
T229,1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L56). Canadian Pharmacists Association.,BE0003336
