action,parent_id
inhibitor,BE0000048
antagonist,BE0000767
binder,BE0000658
agonist,BE0000651
antibody,BE0000704
ligand,BE0000710
ligand,BE0002098
ligand,BE0002099
ligand,BE0002100
ligand,BE0002097
ligand,BE0000901
antibody,BE0001087
ligand,BE0009995
agonist,BE0000203
agonist,BE0000385
agonist,BE0000661
activator,BE0000211
agonist,BE0000625
agonist,BE0000654
inducer,BE0000717
modulator,BE0000717
substrate,BE0000240
inducer,BE0000240
substrate,BE0000969
inducer,BE0000969
substrate,BE0002112
substrate,BE0000942
substrate,BE0001656
ligand,BE0002113
agonist,BE0000134
agonist,BE0000431
agonist,BE0000793
agonist,BE0000628
agonist,BE0001036
agonist,BE0002115
agonist,BE0002116
other/unknown,BE0004798
agonist,BE0000490
activator,BE0000216
cofactor,BE0000364
binder,BE0001043
antagonist,BE0002117
binder,BE0002118
chaperone,BE0001098
chaperone,BE0002109
chaperone,BE0001011
chaperone,BE0002119
modulator,BE0002110
modulator,BE0002120
antagonist,BE0000565
antagonist,BE0000710
antagonist,BE0004684
antagonist,BE0002098
antagonist,BE0002099
antagonist,BE0002100
antagonist,BE0002097
antagonist,BE0000901
binder,BE0003455
binder,BE0004685
binder,BE0004686
binder,BE0000855
agonist,BE0000033
modulator,BE0001123
binder,BE0000387
binder,BE0000711
binder,BE0000467
agonist,BE0000293
agonist,BE0000416
binder,BE0000748
agonist,BE0000527
agonist,BE0002134
agonist,BE0000857
modulator,BE0000651
agonist,BE0000658
modulator,BE0000658
agonist,BE0002102
binder,BE0002137
binder,BE0002136
inhibitor,BE0000015
inhibitor,BE0002139
other/unknown,BE0001164
metabolizer,BE0004823
antagonist,BE0000203
binder,BE0000075
other/unknown,BE0004806
antagonist,BE0001155
antagonist,BE0000439
multitarget,BE0000016
multitarget,BE0000041
antibody,BE0000674
other/unknown,BE0004842
inhibitor,BE0000394
metabolizer,BE0004828
binder,BE0000917
binder,BE0009576
inhibitor,BE0000704
agonist,BE0000387
binder,BE0000661
binder,BE0000385
other,BE0004821
inhibitor,BE0000984
binder,BE0000033
antibody,BE0000511
antibody,BE0000066
antibody,BE0000658
antibody,BE0000651
binder,BE0000274
other/unknown,BE0004837
incorporation into and destabilization,BE0004833
antagonist,BE0000075
inhibitor,BE0000390
cleavage,BE0004834
cleavage,BE0004835
