group,drugbank-id
approved,DB00001
approved,DB00002
approved,DB00003
approved,DB00004
investigational,DB00004
approved,DB00005
investigational,DB00005
approved,DB00006
investigational,DB00006
approved,DB00007
investigational,DB00007
approved,DB00008
investigational,DB00008
approved,DB00009
approved,DB00010
withdrawn,DB00010
approved,DB00011
investigational,DB00011
approved,DB00012
investigational,DB00012
approved,DB00013
investigational,DB00013
withdrawn,DB00013
approved,DB00014
approved,DB00015
investigational,DB00015
approved,DB00016
approved,DB00017
investigational,DB00017
approved,DB00018
investigational,DB00018
approved,DB00019
approved,DB00020
investigational,DB00020
approved,DB00022
approved,DB00023
investigational,DB00023
approved,DB00024
vet_approved,DB00024
approved,DB00025
investigational,DB00025
approved,DB00026
approved,DB00027
approved,DB00028
investigational,DB00028
approved,DB00029
approved,DB00030
investigational,DB00030
approved,DB00031
approved,DB00032
approved,DB00033
investigational,DB00033
approved,DB00034
investigational,DB00034
approved,DB00035
approved,DB00036
approved,DB00038
investigational,DB00038
approved,DB00039
approved,DB00040
approved,DB00041
approved,DB00042
investigational,DB00042
approved,DB00043
investigational,DB00043
approved,DB00044
approved,DB00045
withdrawn,DB00045
approved,DB00046
approved,DB00047
approved,DB00048
investigational,DB00048
approved,DB00049
investigational,DB00049
approved,DB00050
investigational,DB00050
approved,DB00051
approved,DB00052
investigational,DB00052
approved,DB00053
approved,DB00054
approved,DB00055
investigational,DB00055
withdrawn,DB00055
approved,DB00056
investigational,DB00056
experimental,DB00057
withdrawn,DB00057
approved,DB00058
approved,DB00059
investigational,DB00059
approved,DB00060
investigational,DB00060
approved,DB00061
approved,DB00062
approved,DB00063
investigational,DB00063
approved,DB00065
approved,DB00066
approved,DB00067
approved,DB00068
approved,DB00069
investigational,DB00069
approved,DB00070
investigational,DB00070
approved,DB00071
approved,DB00072
investigational,DB00072
approved,DB00073
approved,DB00074
investigational,DB00074
approved,DB00075
investigational,DB00075
approved,DB00076
approved,DB00078
investigational,DB00078
approved,DB00080
investigational,DB00080
approved,DB00081
investigational,DB00081
approved,DB00082
approved,DB00083
investigational,DB00083
approved,DB00085
investigational,DB00085
approved,DB00086
investigational,DB00086
approved,DB00087
investigational,DB00087
approved,DB00088
investigational,DB00088
approved,DB00089
approved,DB00090
approved,DB00091
investigational,DB00091
vet_approved,DB00091
approved,DB00092
investigational,DB00092
withdrawn,DB00092
experimental,DB00093
approved,DB00094
vet_approved,DB00094
approved,DB00095
investigational,DB00095
approved,DB00097
approved,DB00098
approved,DB00099
approved,DB00100
investigational,DB00100
approved,DB00102
investigational,DB00102
approved,DB00103
investigational,DB00103
approved,DB00104
investigational,DB00104
approved,DB00105
approved,DB00106
investigational,DB00106
withdrawn,DB00106
approved,DB00107
vet_approved,DB00107
approved,DB00108
investigational,DB00108
approved,DB00109
investigational,DB00109
approved,DB00110
investigational,DB00110
investigational,DB00111
withdrawn,DB00111
approved,DB00112
investigational,DB00112
experimental,DB00113
approved,DB00114
investigational,DB00114
nutraceutical,DB00114
approved,DB00115
nutraceutical,DB00115
nutraceutical,DB00116
investigational,DB00117
nutraceutical,DB00117
approved,DB00118
investigational,DB00118
nutraceutical,DB00118
approved,DB00119
investigational,DB00119
nutraceutical,DB00119
approved,DB00120
investigational,DB00120
nutraceutical,DB00120
approved,DB00121
investigational,DB00121
nutraceutical,DB00121
approved,DB00122
nutraceutical,DB00122
approved,DB00123
nutraceutical,DB00123
investigational,DB00125
nutraceutical,DB00125
approved,DB00126
nutraceutical,DB00126
experimental,DB00127
nutraceutical,DB00127
approved,DB00128
nutraceutical,DB00128
approved,DB00129
nutraceutical,DB00129
approved,DB00130
investigational,DB00130
nutraceutical,DB00130
approved,DB00131
investigational,DB00131
nutraceutical,DB00131
approved,DB00132
investigational,DB00132
nutraceutical,DB00132
investigational,DB00133
nutraceutical,DB00133
approved,DB00134
nutraceutical,DB00134
approved,DB00135
investigational,DB00135
nutraceutical,DB00135
approved,DB00136
nutraceutical,DB00136
approved,DB00137
investigational,DB00137
nutraceutical,DB00137
approved,DB00138
nutraceutical,DB00138
approved,DB00139
nutraceutical,DB00139
approved,DB00140
investigational,DB00140
nutraceutical,DB00140
vet_approved,DB00140
approved,DB00141
investigational,DB00141
nutraceutical,DB00141
approved,DB00142
nutraceutical,DB00142
approved,DB00143
investigational,DB00143
nutraceutical,DB00143
approved,DB00144
investigational,DB00144
nutraceutical,DB00144
approved,DB00145
nutraceutical,DB00145
vet_approved,DB00145
approved,DB00146
nutraceutical,DB00146
experimental,DB00147
nutraceutical,DB00147
approved,DB00148
investigational,DB00148
nutraceutical,DB00148
investigational,DB00149
nutraceutical,DB00149
approved,DB00150
nutraceutical,DB00150
withdrawn,DB00150
approved,DB00151
nutraceutical,DB00151
approved,DB00152
investigational,DB00152
nutraceutical,DB00152
vet_approved,DB00152
approved,DB00153
nutraceutical,DB00153
investigational,DB00154
nutraceutical,DB00154
approved,DB00155
investigational,DB00155
nutraceutical,DB00155
approved,DB00156
nutraceutical,DB00156
approved,DB00157
nutraceutical,DB00157
approved,DB00158
nutraceutical,DB00158
vet_approved,DB00158
approved,DB00159
nutraceutical,DB00159
nutraceutical,DB00160
approved,DB00161
nutraceutical,DB00161
approved,DB00162
nutraceutical,DB00162
vet_approved,DB00162
approved,DB00163
nutraceutical,DB00163
vet_approved,DB00163
approved,DB00165
investigational,DB00165
nutraceutical,DB00165
vet_approved,DB00165
approved,DB00166
investigational,DB00166
nutraceutical,DB00166
investigational,DB00167
nutraceutical,DB00167
investigational,DB00168
nutraceutical,DB00168
approved,DB00169
nutraceutical,DB00169
approved,DB00170
nutraceutical,DB00170
investigational,DB00171
nutraceutical,DB00171
nutraceutical,DB00172
approved,DB00173
nutraceutical,DB00173
approved,DB00174
investigational,DB00174
nutraceutical,DB00174
approved,DB00175
approved,DB00176
investigational,DB00176
approved,DB00177
investigational,DB00177
approved,DB00178
approved,DB00179
investigational,DB00179
approved,DB00180
investigational,DB00180
approved,DB00181
approved,DB00182
illicit,DB00182
investigational,DB00182
approved,DB00183
approved,DB00184
approved,DB00185
approved,DB00186
approved,DB00187
approved,DB00188
investigational,DB00188
approved,DB00189
illicit,DB00189
withdrawn,DB00189
approved,DB00190
approved,DB00191
illicit,DB00191
approved,DB00192
approved,DB00193
investigational,DB00193
approved,DB00194
investigational,DB00194
approved,DB00195
investigational,DB00195
approved,DB00196
investigational,DB00196
approved,DB00197
investigational,DB00197
withdrawn,DB00197
approved,DB00198
approved,DB00199
investigational,DB00199
vet_approved,DB00199
approved,DB00200
approved,DB00201
approved,DB00202
approved,DB00203
investigational,DB00203
approved,DB00204
investigational,DB00204
approved,DB00205
investigational,DB00205
vet_approved,DB00205
approved,DB00206
investigational,DB00206
approved,DB00207
approved,DB00208
approved,DB00209
approved,DB00210
approved,DB00211
experimental,DB00212
approved,DB00213
approved,DB00214
approved,DB00215
approved,DB00216
investigational,DB00216
approved,DB00217
approved,DB00218
investigational,DB00218
approved,DB00219
approved,DB00220
approved,DB00221
approved,DB00222
approved,DB00223
approved,DB00224
approved,DB00225
investigational,DB00225
approved,DB00226
approved,DB00227
investigational,DB00227
approved,DB00228
investigational,DB00228
vet_approved,DB00228
approved,DB00229
investigational,DB00229
approved,DB00230
investigational,DB00230
approved,DB00231
investigational,DB00231
withdrawn,DB00232
approved,DB00233
approved,DB00234
experimental,DB00234
approved,DB00235
approved,DB00236
approved,DB00237
illicit,DB00237
approved,DB00238
approved,DB00239
approved,DB00240
approved,DB00241
illicit,DB00241
approved,DB00242
investigational,DB00242
approved,DB00243
investigational,DB00243
approved,DB00244
approved,DB00245
approved,DB00246
approved,DB00247
approved,DB00248
approved,DB00249
investigational,DB00249
approved,DB00250
investigational,DB00250
approved,DB00251
approved,DB00252
vet_approved,DB00252
approved,DB00253
approved,DB00254
investigational,DB00254
vet_approved,DB00254
approved,DB00255
investigational,DB00255
approved,DB00256
investigational,DB00256
approved,DB00257
vet_approved,DB00257
approved,DB00258
investigational,DB00258
approved,DB00259
approved,DB00260
approved,DB00261
approved,DB00262
investigational,DB00262
approved,DB00263
vet_approved,DB00263
approved,DB00264
investigational,DB00264
approved,DB00265
approved,DB00266
approved,DB00267
approved,DB00268
investigational,DB00268
investigational,DB00269
withdrawn,DB00269
approved,DB00270
investigational,DB00270
approved,DB00271
vet_approved,DB00271
approved,DB00272
approved,DB00273
approved,DB00274
investigational,DB00274
approved,DB00275
investigational,DB00275
approved,DB00276
investigational,DB00276
approved,DB00277
approved,DB00278
investigational,DB00278
approved,DB00279
vet_approved,DB00279
approved,DB00280
approved,DB00281
vet_approved,DB00281
approved,DB00282
approved,DB00283
investigational,DB00283
approved,DB00284
investigational,DB00284
approved,DB00285
approved,DB00286
approved,DB00287
approved,DB00288
approved,DB00289
approved,DB00290
investigational,DB00290
approved,DB00291
approved,DB00292
approved,DB00293
investigational,DB00293
approved,DB00294
investigational,DB00294
approved,DB00295
investigational,DB00295
approved,DB00296
approved,DB00297
investigational,DB00297
approved,DB00298
approved,DB00299
approved,DB00300
investigational,DB00300
approved,DB00301
investigational,DB00301
approved,DB00302
approved,DB00303
investigational,DB00303
approved,DB00304
approved,DB00305
approved,DB00306
illicit,DB00306
approved,DB00307
investigational,DB00307
approved,DB00308
approved,DB00309
investigational,DB00309
approved,DB00310
withdrawn,DB00311
approved,DB00312
investigational,DB00312
vet_approved,DB00312
approved,DB00313
investigational,DB00313
approved,DB00314
approved,DB00315
investigational,DB00315
approved,DB00316
approved,DB00317
investigational,DB00317
approved,DB00318
illicit,DB00318
approved,DB00319
approved,DB00320
investigational,DB00320
approved,DB00321
approved,DB00322
approved,DB00323
withdrawn,DB00323
approved,DB00324
investigational,DB00324
approved,DB00325
investigational,DB00325
approved,DB00326
approved,DB00327
illicit,DB00327
approved,DB00328
investigational,DB00328
approved,DB00330
approved,DB00331
approved,DB00332
experimental,DB00332
approved,DB00333
approved,DB00334
investigational,DB00334
approved,DB00335
approved,DB00336
investigational,DB00336
vet_approved,DB00336
approved,DB00337
investigational,DB00337
approved,DB00338
investigational,DB00338
vet_approved,DB00338
approved,DB00339
investigational,DB00339
approved,DB00340
approved,DB00341
approved,DB00342
withdrawn,DB00342
approved,DB00343
investigational,DB00343
approved,DB00344
approved,DB00345
investigational,DB00345
approved,DB00346
investigational,DB00346
approved,DB00347
approved,DB00348
investigational,DB00348
approved,DB00349
illicit,DB00349
approved,DB00350
investigational,DB00350
approved,DB00351
investigational,DB00351
vet_approved,DB00351
approved,DB00352
approved,DB00353
approved,DB00354
approved,DB00355
approved,DB00356
approved,DB00357
investigational,DB00357
approved,DB00358
investigational,DB00358
approved,DB00359
investigational,DB00359
vet_approved,DB00359
approved,DB00360
investigational,DB00360
approved,DB00361
investigational,DB00361
approved,DB00362
investigational,DB00362
approved,DB00363
approved,DB00364
approved,DB00365
investigational,DB00365
withdrawn,DB00365
approved,DB00366
vet_approved,DB00366
approved,DB00367
investigational,DB00367
approved,DB00368
approved,DB00369
approved,DB00370
approved,DB00371
illicit,DB00371
approved,DB00372
withdrawn,DB00372
approved,DB00373
approved,DB00374
investigational,DB00374
approved,DB00375
approved,DB00376
approved,DB00377
investigational,DB00377
approved,DB00378
investigational,DB00378
withdrawn,DB00378
approved,DB00379
investigational,DB00379
approved,DB00380
withdrawn,DB00380
approved,DB00381
approved,DB00382
investigational,DB00382
withdrawn,DB00382
approved,DB00383
approved,DB00384
approved,DB00385
approved,DB00387
approved,DB00388
approved,DB00389
investigational,DB00389
approved,DB00390
approved,DB00391
investigational,DB00391
approved,DB00392
approved,DB00393
investigational,DB00393
approved,DB00394
investigational,DB00394
approved,DB00395
approved,DB00396
vet_approved,DB00396
approved,DB00397
vet_approved,DB00397
withdrawn,DB00397
approved,DB00398
investigational,DB00398
approved,DB00399
approved,DB00400
investigational,DB00400
vet_approved,DB00400
approved,DB00401
approved,DB00402
investigational,DB00402
approved,DB00403
approved,DB00404
illicit,DB00404
investigational,DB00404
approved,DB00405
approved,DB00406
approved,DB00407
investigational,DB00407
withdrawn,DB00407
approved,DB00408
approved,DB00409
withdrawn,DB00409
approved,DB00410
investigational,DB00410
vet_approved,DB00410
approved,DB00411
approved,DB00412
investigational,DB00412
approved,DB00413
investigational,DB00413
approved,DB00414
investigational,DB00414
withdrawn,DB00414
approved,DB00415
vet_approved,DB00415
approved,DB00416
withdrawn,DB00416
approved,DB00417
vet_approved,DB00417
approved,DB00418
vet_approved,DB00418
approved,DB00419
approved,DB00420
vet_approved,DB00420
approved,DB00421
approved,DB00422
investigational,DB00422
approved,DB00423
vet_approved,DB00423
approved,DB00424
approved,DB00425
approved,DB00426
investigational,DB00426
approved,DB00427
approved,DB00428
investigational,DB00428
approved,DB00429
approved,DB00430
approved,DB00431
withdrawn,DB00431
approved,DB00432
investigational,DB00432
approved,DB00433
vet_approved,DB00433
approved,DB00434
approved,DB00435
approved,DB00436
approved,DB00437
approved,DB00438
approved,DB00439
withdrawn,DB00439
approved,DB00440
vet_approved,DB00440
approved,DB00441
approved,DB00442
investigational,DB00442
approved,DB00443
vet_approved,DB00443
approved,DB00444
approved,DB00445
approved,DB00446
vet_approved,DB00446
approved,DB00447
investigational,DB00447
withdrawn,DB00447
approved,DB00448
investigational,DB00448
approved,DB00449
approved,DB00450
vet_approved,DB00450
approved,DB00451
approved,DB00452
experimental,DB00453
approved,DB00454
approved,DB00455
investigational,DB00455
approved,DB00456
investigational,DB00456
vet_approved,DB00456
approved,DB00457
approved,DB00458
approved,DB00459
approved,DB00460
investigational,DB00460
approved,DB00461
approved,DB00462
withdrawn,DB00463
approved,DB00464
investigational,DB00464
approved,DB00465
experimental,DB00466
approved,DB00467
investigational,DB00467
approved,DB00468
approved,DB00469
approved,DB00470
illicit,DB00470
approved,DB00471
approved,DB00472
vet_approved,DB00472
approved,DB00473
withdrawn,DB00473
approved,DB00474
approved,DB00475
illicit,DB00475
investigational,DB00475
approved,DB00476
approved,DB00477
investigational,DB00477
vet_approved,DB00477
approved,DB00478
investigational,DB00478
approved,DB00479
investigational,DB00479
vet_approved,DB00479
approved,DB00480
approved,DB00481
investigational,DB00481
approved,DB00482
investigational,DB00482
approved,DB00483
approved,DB00484
approved,DB00485
investigational,DB00485
vet_approved,DB00485
approved,DB00486
investigational,DB00486
approved,DB00487
approved,DB00488
approved,DB00489
approved,DB00490
investigational,DB00490
approved,DB00491
approved,DB00492
approved,DB00493
approved,DB00494
investigational,DB00494
approved,DB00495
approved,DB00496
investigational,DB00496
approved,DB00497
illicit,DB00497
investigational,DB00497
approved,DB00498
investigational,DB00498
approved,DB00499
investigational,DB00499
approved,DB00500
approved,DB00501
investigational,DB00501
approved,DB00502
approved,DB00503
investigational,DB00503
approved,DB00504
withdrawn,DB00505
approved,DB00507
investigational,DB00507
vet_approved,DB00507
approved,DB00508
vet_approved,DB00508
approved,DB00509
investigational,DB00509
approved,DB00511
approved,DB00512
approved,DB00513
investigational,DB00513
