form,route,strength,parent_key
"Injection, solution, concentrate",Intravenous,20 mg,DB00001
"Injection, solution, concentrate",Intravenous,50 mg,DB00001
Powder,Intravenous,50 mg/1mL,DB00001
"Powder, for solution",Intravenous,50 mg,DB00001
"Injection, solution",Intravenous,5 mg/ml,DB00002
Solution,Intravenous,2 mg,DB00002
Solution,Intravenous,2 mg/1mL,DB00002
Solution,Respiratory (inhalation),1 mg/1mL,DB00003
Solution,Respiratory (inhalation),,DB00003
"Injection, solution",Intravenous,150 ug/1mL,DB00004
Solution,Subcutaneous,,DB00005
,Subcutaneous,25 mg/1mL,DB00005
"Injection, powder, for solution",Subcutaneous,10 mg,DB00005
"Injection, powder, for solution",Subcutaneous,25 mg,DB00005
"Injection, powder, for solution",Subcutaneous,50 mg,DB00005
"Injection, solution",Subcutaneous,25 mg,DB00005
"Injection, solution",Subcutaneous,50 mg,DB00005
Kit,Subcutaneous,,DB00005
"Kit; liquid; powder, for solution",Subcutaneous,,DB00005
Solution,Subcutaneous,25 mg/0.5mL,DB00005
Solution,Subcutaneous,50 mg,DB00005
Solution,Subcutaneous,50 mg/1mL,DB00005
"Injection, powder, lyophilized, for solution",Intravenous,250 mg/1,DB00006
Injection,Intracavernous,250 mg/1,DB00006
Injection,Intravenous,250 mg/1,DB00006
"Injection, powder, lyophilized, for solution",Intravenous,250 mg/5mL,DB00006
"Injection, solution",Intravenous,250 mg/1,DB00006
"Powder, for solution",Intravenous,250 mg,DB00006
"Powder, for solution",Intravenous,,DB00006
Injection,Intravenous,250 mg/50mL,DB00006
Injection,Intravenous,500 mg/100mL,DB00006
"Injection, solution",Intravenous,5 mg/1mL,DB00006
"Injection, powder, for suspension, extended release",Subcutaneous,22.5 mg,DB00007
"Injection, powder, for suspension, extended release",Subcutaneous,30 mg,DB00007
"Injection, powder, for suspension, extended release",Subcutaneous,45 mg,DB00007
"Injection, powder, for suspension, extended release",Subcutaneous,7.5 mg,DB00007
Kit,Subcutaneous,22.5 mg/0.375mL,DB00007
