drugbank-id,name,unii,cas-number,inchikey,average-mass,monoisotopic-mass,parent_key
DBSALT000105,Leuprolide acetate,37JNS02E7V,74381-53-6,YFDMUNOZURYOCP-XNHQSDQCSA-N,1269.473,1268.666591578,DB00007
DBSALT001439,Sermorelin acetate,00IBG87IQW,114466-38-5,,,,DB00010
DBSALT000093,Goserelin acetate,6YUU2PV0U8,145781-92-6,IKDXDQDKCZPQSZ-JHYYTBFNSA-N,1329.4624,1328.662568858,DB00014
DBSALT001733,Insulin human zinc suspension,,,,,,DB00030
DBSALT001734,NPH insulin,,53027-39-7,,,,DB00030
DBSALT001154,Desmopressin acetate,XB13HYU18U,62357-86-2,YNKFCNRZZPFMEX-XHPDKPNGSA-N,1183.32,1182.479779327,DB00035
DBSALT000044,Desmopressin acetate anhydrous,1K12647SFC,62288-83-9,MLSVJHOYXJGGTR-IFHOVBQLSA-N,1129.269,1128.448084334,DB00035
DBSALT001413,Glucagon hydrochloride,1H87NVF4DB,19179-82-9,,,,DB00040
DBSALT000021,Cetrorelix acetate,W9Y8L7GP4C,130143-01-0,DTPVYWHLQLAXFT-SMCUOGPFSA-N,1551.17,1549.7120771,DB00050
DBSALT002464,Argipressin,Y4907O6MFD,113-79-1,KBZOIRJILGZLEJ-LGYYRGKSSA-N,1084.24,1083.437854941,DB00067
DBSALT001735,Insulin suspension isophane purified pork,,,,,,DB00071
DBSALT001736,Insulin suspension protamine zinc purified pork,,,,,,DB00071
DBSALT001737,Insulin zinc suspension prompt purified pork,,,,,,DB00071
DBSALT001738,Insulin zinc suspension purified pork,,,,,,DB00071
DBSALT001767,Indium In-111 ibritumomab tiuxetan,S9U4ZR2W8V,,,,,DB00078
DBSALT001768,Yttrium y-90 ibritumomab tiuxetan,QA846JAV5B,,,,,DB00078
DBSALT001781,Tositumomab I-131,K1KT5M40JC,192391-48-3,,,,DB00081
DBSALT000130,Octreotide acetate,75R0U2568I,79517-01-4,XQEJFZYLWPSJOV-XJQYZYIXSA-N,1079.3,1078.461610082,DB00104
DBSALT002951,Octreotide pamoate,MWH8YQ1AIO,135467-16-2,KFWJVABDRRDUHY-XJQYZYIXSA-N,1407.62,1406.535168948,DB00104
DBSALT001801,Pyridoxal phosphate hydrate,5V5IOJ8338,41468-25-1,CEEQUQSGVRRXQI-UHFFFAOYSA-N,265.158,265.035138728,DB00114
DBSALT002949,Histidine monohydrochloride monohydrate,X573657P6P,5934-29-2,CMXXUDSWGMGYLZ-XRIGFGBMSA-N,209.63,209.056719,DB00117
DBSALT000873,Ademetionine butanedisulfonate,C5BTS0548U,200393-05-1,TYXBLACMHQBEEW-XKGORWRGSA-N,616.68,616.129119396,DB00118
DBSALT000875,Ademetionine disulfate ditosylate,,,,,,DB00118
DBSALT000876,Ademetionine disulfate monotosylate,,,,,,DB00118
DBSALT000874,Ademetionine disulfate tosylate,564ROC9U09,97540-22-2,XDCFCHNAIMYBAZ-XQVUROGGSA-N,766.78,766.091413735,DB00118
DBSALT000872,Ademetionine tosylate,,,,,,DB00118
DBSALT002377,Calcium pyruvate,9V2CQZ19N4,,,,,DB00119
DBSALT001546,Sodium pyruvate,POD38AIF08,113-24-6,DAEPDZWVDSPTHF-UHFFFAOYSA-M,110.044,109.99798824,DB00119
DBSALT001774,Phenylalanine hydrochloride,L6O14A5L6Q,17585-69-2,ZAIZDXVMSSDZFA-QRPNPIFTSA-N,201.65,201.0556563,DB00120
DBSALT002207,Phenylalanine sodium,M67R83MDEE,16480-57-2,ZRVUAXXSASAVFG-QRPNPIFTSA-M,187.174,187.06092285,DB00120
DBSALT001542,Choline bitartrate,6K2W7T9V6Y,87-67-2,QWJSAWXRUVVRLH-LREBCSMRSA-M,253.251,253.116151956,DB00122
DBSALT001763,L-Lysine acetate,TTL6G7LIWZ,57282-49-2,RRNJROHIFSLGRA-JEDNCBNOSA-N,206.242,206.126657068,DB00123
DBSALT001756,L-Lysine hydrochloride,JNJ23Q2COM,657-27-2,BVHLGVCQOALMSV-JEDNCBNOSA-N,182.649,182.082205441,DB00123
DBSALT000869,Arginine hydrochloride,F7LTH1E20Y,1119-34-2,KWTQSFXGGICVPE-WCCKRBBISA-N,210.662,210.088353451,DB00125
DBSALT000870,Spermine dihydrate,,403982-64-9,MTNRSMVAYLLBAV-UHFFFAOYSA-N,238.376,238.236876222,DB00127
DBSALT002898,Ornithine aspartate,JA08T3B97O,3230-94-2,IXUZXIMQZIMPSQ-ZBRNBAAYSA-N,265.266,265.127385344,DB00129
DBSALT001925,Ornithine dihydrochloride,8N284L2VLC,6211-16-1,HGBAVEGDXFHRQP-FHNDMYTFSA-N,205.08,204.0432331,DB00129
DBSALT002530,Ornithine hydrochloride,HBK84K66XH,3184-13-2,GGTYBZJRPHEQDG-WCCKRBBISA-N,168.62,168.0665554,DB00129
DBSALT002529,Ornithine oxoglurate,4FEN49K96W,5191-97-9,SLPUVFBNQHVEEU-WCCKRBBISA-N,278.261,278.111400928,DB00129
DBSALT002231,Glutamine sodium,IA7707HOQ8,73477-31-3,YWOPZILGDZKFFC-DFWYDOINSA-M,168.128,168.05108644,DB00130
DBSALT002219,Methionine hydrochloride,99JNR46OKX,6810-12-4,OSUIUMQSEFFIKM-WCCKRBBISA-N,185.67,185.0277275,DB00134
DBSALT002842,Riboflavin sodium,04SRR95RP8,7681-29-0,YXJHJCDOUFKMBG-BMZHGHOISA-M,398.351,398.12022863,DB00140
DBSALT002484,Glutamic acid hydrochloride,M0C2SP444T,138-15-8,RPAJSBKBKSSMLJ-DFWYDOINSA-N,183.59,183.0298355,DB00142
DBSALT002443,Calcifediol hydrate,P6YZ13C99Q,63283-36-3,WRLFSJXJGJBFJQ-WPUCQFJDSA-N,418.662,418.344695341,DB00146
DBSALT001795,Pyridoxal hydrochloride,1416KF0QBC,65-22-5,FCHXJFJNDJXENQ-UHFFFAOYSA-N,203.62,203.0349209,DB00147
DBSALT001773,L-Leucine hydrochloride,N39KV97633,760-84-9,XKZZNHPZEPVUQK-JEDNCBNOSA-N,167.63,167.0713064,DB00149
