category,description,parent_key
component,cell surface,BE0001032
component,extracellular exosome,BE0001032
component,integral component of membrane,BE0001032
component,membrane,BE0001032
component,plasma membrane,BE0001032
function,ATP binding,BE0001032
function,"ATPase activity, coupled to transmembrane movement of substances",BE0001032
function,transporter activity,BE0001032
function,xenobiotic-transporting ATPase activity,BE0001032
process,drug transmembrane transport,BE0001032
process,G2/M transition of mitotic cell cycle,BE0001032
process,response to drug,BE0001032
process,small molecule metabolic process,BE0001032
process,stem cell proliferation,BE0001032
process,transmembrane transport,BE0001032
process,transport,BE0001032
component,apical plasma membrane,BE0001069
component,cell surface,BE0001069
component,integral component of plasma membrane,BE0001069
component,plasma membrane,BE0001069
function,ATP binding,BE0001069
function,"ATPase activity, coupled to transmembrane movement of substances",BE0001069
function,organic anion transmembrane transporter activity,BE0001069
process,cellular chloride ion homeostasis,BE0001069
process,drug transmembrane transport,BE0001069
process,prostaglandin transport,BE0001069
process,response to arsenic-containing substance,BE0001069
process,response to estrogen,BE0001069
process,response to heat,BE0001069
process,response to methotrexate,BE0001069
process,response to oxidative stress,BE0001069
process,thyroid hormone transport,BE0001069
process,transmembrane transport,BE0001069
process,transport,BE0001069
component,apical part of cell,BE0000703
component,extracellular exosome,BE0000703
component,integral component of plasma membrane,BE0000703
component,intercellular canaliculus,BE0000703
component,membrane,BE0000703
component,plasma membrane,BE0000703
function,ATP binding,BE0000703
function,bile acid-exporting ATPase activity,BE0000703
function,canalicular bile acid transmembrane transporter activity,BE0000703
function,"sodium-exporting ATPase activity, phosphorylative mechanism",BE0000703
function,transporter activity,BE0000703
process,bile acid and bile salt transport,BE0000703
process,bile acid biosynthetic process,BE0000703
process,bile acid metabolic process,BE0000703
process,canalicular bile acid transport,BE0000703
process,small molecule metabolic process,BE0000703
process,sodium ion transmembrane transport,BE0000703
process,transport,BE0000703
component,apical plasma membrane,BE0003643
component,integral component of plasma membrane,BE0003643
component,microvillus,BE0003643
component,plasma membrane,BE0003643
function,bile acid,BE0003643
process,bile acid and bile salt transport,BE0003643
process,bile acid metabolic process,BE0003643
process,small molecule metabolic process,BE0003643
process,transport,BE0003643
component,basolateral plasma membrane,BE0003644
component,integral component of plasma membrane,BE0003644
component,plasma membrane,BE0003644
function,bile acid,BE0003644
function,virus receptor activity,BE0003644
process,bile acid and bile salt transport,BE0003644
process,bile acid metabolic process,BE0003644
process,small molecule metabolic process,BE0003644
process,transport,BE0003644
component,basolateral plasma membrane,BE0001066
component,caveola,BE0001066
component,extracellular exosome,BE0001066
component,integral component of plasma membrane,BE0001066
component,plasma membrane,BE0001066
component,protein complex,BE0001066
function,chloride ion binding,BE0001066
function,inorganic anion exchanger activity,BE0001066
function,organic anion transmembrane transporter activity,BE0001066
function,sodium-independent organic anion transmembrane transporter activity,BE0001066
process,alpha-ketoglutarate transport,BE0001066
process,anion transmembrane transport,BE0001066
process,organic anion transport,BE0001066
process,protein homooligomerization,BE0001066
process,renal tubular secretion,BE0001066
process,response to methotrexate,BE0001066
process,sodium-independent organic anion transport,BE0001066
process,transmembrane transport,BE0001066
component,integral component of membrane,BE0003651
component,lysosomal membrane,BE0003651
component,plasma membrane,BE0003651
function,ATP binding,BE0003651
function,"ATPase activity, coupled to transmembrane movement of substances",BE0003651
process,transmembrane transport,BE0003651
component,integral component of membrane,BE0001067
component,mitochondrial membrane,BE0001067
component,nucleus,BE0001067
component,plasma membrane,BE0001067
function,ATP binding,BE0001067
function,"ATPase activity, coupled to transmembrane movement of substances",BE0001067
function,heme transporter activity,BE0001067
function,protein homodimerization activity,BE0001067
function,transporter activity,BE0001067
function,xenobiotic-transporting ATPase activity,BE0001067
process,cellular iron ion homeostasis,BE0001067
process,drug transmembrane transport,BE0001067
process,heme transport,BE0001067
process,response to drug,BE0001067
process,small molecule metabolic process,BE0001067
process,transmembrane transport,BE0001067
process,transport,BE0001067
process,urate metabolic process,BE0001067
process,xenobiotic transport,BE0001067
component,basolateral plasma membrane,BE0001004
component,integral component of plasma membrane,BE0001004
component,membrane,BE0001004
component,plasma membrane,BE0001004
function,bile acid transmembrane transporter activity,BE0001004
function,sodium-independent organic anion transmembrane transporter activity,BE0001004
process,anion transmembrane transport,BE0001004
process,bile acid and bile salt transport,BE0001004
process,bile acid metabolic process,BE0001004
process,organic anion transport,BE0001004
process,small molecule metabolic process,BE0001004
process,sodium-independent organic anion transport,BE0001004
process,transmembrane transport,BE0001004
component,basolateral plasma membrane,BE0003659
component,integral component of plasma membrane,BE0003659
component,plasma membrane,BE0003659
function,bile acid transmembrane transporter activity,BE0003659
function,organic anion transmembrane transporter activity,BE0003659
function,sodium-independent organic anion transmembrane transporter activity,BE0003659
process,anion transmembrane transport,BE0003659
process,bile acid and bile salt transport,BE0003659
process,bile acid metabolic process,BE0003659
process,organic anion transport,BE0003659
process,small molecule metabolic process,BE0003659
process,sodium-independent organic anion transport,BE0003659
process,transmembrane transport,BE0003659
component,apical plasma membrane,BE0000340
component,endocytic vesicle,BE0000340
component,endosome membrane,BE0000340
component,extracellular exosome,BE0000340
component,extracellular space,BE0000340
component,integral component of membrane,BE0000340
component,plasma membrane,BE0000340
function,receptor binding,BE0000340
process,cobalamin metabolic process,BE0000340
process,cobalamin transport,BE0000340
process,excretion,BE0000340
process,Golgi to plasma membrane protein transport,BE0000340
process,lipoprotein metabolic process,BE0000340
process,multicellular organismal development,BE0000340
process,receptor-mediated endocytosis,BE0000340
process,small molecule metabolic process,BE0000340
process,vitamin metabolic process,BE0000340
process,water-soluble vitamin metabolic process,BE0000340
component,extracellular region,BE0000238
component,extracellular space,BE0000238
function,cobalamin binding,BE0000238
process,cobalamin metabolic process,BE0000238
process,cobalamin transport,BE0000238
process,cobalt ion transport,BE0000238
process,small molecule metabolic process,BE0000238
process,vitamin metabolic process,BE0000238
process,water-soluble vitamin metabolic process,BE0000238
component,endosome,BE0000362
component,extracellular exosome,BE0000362
component,extracellular region,BE0000362
component,extracellular space,BE0000362
component,lysosomal lumen,BE0000362
function,cobalamin binding,BE0000362
function,metal ion binding,BE0000362
process,cobalamin metabolic process,BE0000362
process,cobalamin transport,BE0000362
process,cobalt ion transport,BE0000362
process,small molecule metabolic process,BE0000362
process,vitamin metabolic process,BE0000362
process,water-soluble vitamin metabolic process,BE0000362
component,apical plasma membrane,BE0004690
component,endosome,BE0004690
component,extracellular region,BE0004690
component,extracellular space,BE0004690
component,lysosomal lumen,BE0004690
component,microvillus,BE0004690
function,cobalamin binding,BE0004690
process,cobalamin metabolic process,BE0004690
process,cobalamin transport,BE0004690
process,cobalt ion transport,BE0004690
process,small molecule metabolic process,BE0004690
process,vitamin metabolic process,BE0004690
process,water-soluble vitamin metabolic process,BE0004690
component,apical plasma membrane,BE0000936
component,brush border membrane,BE0000936
component,coated pit,BE0000936
component,cytosol,BE0000936
component,endocytic vesicle,BE0000936
component,endoplasmic reticulum,BE0000936
component,endosome membrane,BE0000936
component,extracellular exosome,BE0000936
component,extrinsic component of external side of plasma membrane,BE0000936
component,Golgi apparatus,BE0000936
component,lysosomal lumen,BE0000936
component,lysosomal membrane,BE0000936
component,membrane,BE0000936
component,plasma membrane,BE0000936
function,calcium ion binding,BE0000936
function,cobalamin binding,BE0000936
