brand,company,drugbank-id
Viscozyme,Roche (Chile),DB00003
Davictrel,,DB00005
Tunex,,DB00005
Angiox,,DB00006
Hirulog,,DB00006
Leuplin,Takeda,DB00007
LeuProMaxx,Baxter/Teva,DB00007
Memryte,Curaxis,DB00007
Prostap 3,Takeda UK,DB00007
Prostap SR,Takeda UK,DB00007
Geref,Serono Pharma,DB00010
Wellferon,GlaxoSmithKline,DB00011
Abbokinase,Abbott Laboratories,DB00013
Epobel,"Nobel Ilac Pazarlama ve Sanayii Ltd. STI., Turkey",DB00016
Epocept,Lupin pharma,DB00016
Epofit,Intas pharma,DB00016
Epogin,Chugai,DB00016
Eqralys,Hemofarm AD,DB00016
Nanokine,"Nanogen Pharmaceutical biotechnology, Vietnam)",DB00016
Calcimar,,DB00017
Alferon,,DB00018
Alferon N,,DB00018
Leucomax,Novartis,DB00020
PEG-Intron,Schering Corp,DB00022
Bioclate,,DB00025
Helixate,,DB00025
Hyate:C,,DB00025
Koate-HP,,DB00025
Kogenate,,DB00025
Monarc-M,,DB00025
ReFacto,,DB00025
Sofradex,Sanofi,DB00027
Eminase,Wulfing Pharma GmbH,DB00029
Immukin,,DB00033
Roferon A,Hoffmann-La Roche Inc,DB00034
Veldona,Amarillo Biosciences,DB00034
Adiuretin,Ferring,DB00035
DesmoMelt,Ferring,DB00035
Neurobloc,Solstice Neurosciences,DB00042
LYMErix,SmithKline Beecham,DB00045
Lantus R,,DB00047
Lusduna Nexvue,,DB00047
Optisulin,,DB00047
Cordase,,DB00048
Amjevita,"Amgen, Inc.",DB00051
Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",DB00051
Humira Pen,Abbott Laboratories,DB00051
BioTropin,Biotech General,DB00052
OncoScint ,"Cytogen Corp, Lonza Biologics",DB00057
Aralast,Baxter,DB00058
Prolastin,Talecris Biotherapeutics C formerly Bayer,DB00058
Betaferon,Bayer,DB00060
Blastoferon,Sidus,DB00060
Uribeta,Probiomed,DB00060
Avsola,Amgen,DB00065
Cinnal-F,,DB00066
Advaferon,,DB00069
Diffusin,,DB00070
Enzodase,,DB00070
Hyazyme,,DB00070
Wydase,,DB00070
Herclon,Roche,DB00072
MabThera,Roche,DB00073
Orthoclone OKT3,Janssen-Cilag,DB00075
Cidecin,,DB00080
Cubicin,,DB00080
Cotazym,Organon,DB00085
Ku-Zyme,Koichi,DB00085
Pancrease,Ortho-McNeil,DB00085
Ultrase,Axcan Scandipharm,DB00085
Ultresa (delayed-release enteric coated capsules),APTALIS PHARMA US,DB00085
Viokace (tablets),APTALIS PHARMA US,DB00085
Zymase,Organon,DB00085
ProstaScint,Cytogen Corp.,DB00089
Sangcya,Sangstat Medical Corp,DB00091
Colupressine,Joullie,DB00093
Octapressin,Sandoz,DB00093
Fertinex,Serono S.A.,DB00094
Metrodin,Serum Inst.,DB00094
Xanelim,,DB00095
Profasi,Serono S.A.,DB00097
ATG-Fresenius,Fresenius SE,DB00098
ATG-Fresenius S,Fresenius SE,DB00098
Biocilin,,DB00099
Biofigran,,DB00099
Biofilgran,,DB00099
Endufil,,DB00099
Filatil,,DB00099
Filgen,,DB00099
Gran,,DB00099
Granulokine,,DB00099
Grimatin,,DB00099
Inmunef,,DB00099
Jiexin,,DB00099
Leucogen,,DB00099
Leucostim,,DB00099
Macroleuco,,DB00099
Neukine,,DB00099
Neutromax,,DB00099
Neutroval ,Sicor Biotech,DB00099
Recombicyte,,DB00099
SciLocyte,,DB00099
Tevagastrim,,DB00099
White-C,,DB00099
Zarzio,,DB00099
Sandostatin LAR,Novartis Pharmaceuticals,DB00104
Locteron,,DB00105
Plenaxis,Praecis Pharmaceuticals,DB00106
Antegren,,DB00108
CEA-Scan,Immunomedics Inc,DB00113
Biosechs,,DB00114
Himitan,,DB00114
Vitazechs,,DB00114
Bedodeka,Teva,DB00115
Bedoz,,DB00115
Berubigen,Upjohn,DB00115
Betalin,Lilly,DB00115
Cobione,MSD,DB00115
Cobolin-M,,DB00115
Crystamine,,DB00115
Cyanoject,,DB00115
Cyomin,,DB00115
Cytakon,GlaxoSmithKline,DB00115
Cytamen,GlaxoSmithKline,DB00115
Dicopac,,DB00115
Neuroforte-R,,DB00115
Primabalt,,DB00115
Vitabee 12,,DB00115
Donamet,,DB00118
Sam-Sulfate,Natrol,DB00118
SAMe,,DB00118
SAMe Rx-Mood,Nature's Plus,DB00118
Appearex,,DB00121
Biodermatin,,DB00121
Bioepiderm,,DB00121
Meribin,,DB00121
Nail-ex,,DB00121
R-Gene 10,Pharmacia Corp.,DB00125
Ascoltin,,DB00126
Ascorbicap,,DB00126
Earthlink Science Glutamine Chews Chocolate,Amerifit,DB00130
Glutamine Express,Genetic Evolutionary Nutrition,DB00130
Glutamine Fuel Mega,Twinlab,DB00130
Glutamine Fuel Powder ,Twinlab,DB00130
L-Glutamine Power,Champion Nutrition,DB00130
My-B-Den,,DB00131
Acimethin,,DB00134
Asentar,Novacea,DB00136
Calcitriol Oral Solution,Roxane,DB00136
Decostriol,"Mibe Jena (Germany), Jesalis (Hong Kong, Thailand)",DB00136
Bisulase,,DB00140
Isethion,,DB00143
LifeExtension PS Caps,,DB00144
Gyn-Hydralin,,DB00145
Calderol,Upjohn,DB00146
Caldiol,Medica,DB00146
De Kai,China Otsuka,DB00146
Dedrogyl,Desma,DB00146
