id,name,organism,known_action,position,parent_key,inhibition-strength,induction-strength
BE0001075,Myeloperoxidase,Humans,unknown,1,DB00006,unknown,
BE0002433,Cytochrome P450 1A2,Humans,unknown,1,DB00008,unknown,
BE0002433,Cytochrome P450 1A2,Humans,unknown,3,DB00011,unknown,
BE0001198,Macrophage metalloelastase,Humans,unknown,9,DB00013,,
BE0002433,Cytochrome P450 1A2,Humans,unknown,1,DB00018,unknown,
BE0000394,Neutrophil elastase,Humans,no,1,DB00019,,
BE0002433,Cytochrome P450 1A2,Humans,unknown,1,DB00022,unknown,
BE0002363,Cytochrome P450 2D6,Humans,unknown,2,DB00022,weak,
BE0002793,Cytochrome P450 2C9,Humans,unknown,3,DB00022,,weak
BE0000048,Prothrombin,Humans,unknown,12,DB00025,,
BE0000380,Vitamin K-dependent protein C,Humans,unknown,13,DB00025,,
BE0001183,Insulin-degrading enzyme,Humans,unknown,4,DB00030,,
BE0002124,Neuroendocrine convertase 2,Humans,unknown,5,DB00030,,
BE0002125,Neuroendocrine convertase 1,Humans,unknown,6,DB00030,,
BE0002433,Cytochrome P450 1A2,Humans,unknown,7,DB00030,,unknown
BE0002433,Cytochrome P450 1A2,Humans,unknown,1,DB00033,unknown,
BE0002433,Cytochrome P450 1A2,Humans,unknown,1,DB00034,unknown,
BE0000017,Prostaglandin G/H synthase 1,Humans,unknown,4,DB00035,,unknown
BE0000262,Prostaglandin G/H synthase 2,Humans,unknown,5,DB00035,,unknown
BE0000262,Prostaglandin G/H synthase 2,Humans,unknown,1,DB00041,,unknown
BE0000657,Cytosolic phospholipase A2,Humans,unknown,2,DB00041,,unknown
BE0002638,Cytochrome P450 3A4,Humans,unknown,3,DB00041,unknown,
BE0002204,Xanthine dehydrogenase/oxidase,Humans,unknown,4,DB00041,,unknown
BE0003533,Cytochrome P450 2E1,Humans,unknown,5,DB00041,unknown,
BE0002433,Cytochrome P450 1A2,Humans,unknown,3,DB00046,,unknown
BE0002433,Cytochrome P450 1A2,Humans,unknown,2,DB00047,,unknown
BE0002433,Cytochrome P450 1A2,Humans,unknown,3,DB00060,unknown,
BE0002433,Cytochrome P450 1A2,Humans,unknown,1,DB00068,unknown,
BE0002433,Cytochrome P450 1A2,Humans,unknown,1,DB00069,unknown,
BE0002433,Cytochrome P450 1A2,Humans,unknown,15,DB00071,,unknown
BE0000549,"Sterol 26-hydroxylase, mitochondrial",Humans,unknown,2,DB00082,,unknown
BE0002240,Glutamine synthetase,Humans,unknown,3,DB00082,unknown,
BE0003611,Cytochrome P450 2C18,Humans,unknown,4,DB00082,unknown,
BE0002638,Cytochrome P450 3A4,Humans,unknown,5,DB00082,,unknown
BE0002180,Cholinesterase,Humans,unknown,6,DB00082,unknown,
BE0000421,Cytochrome P450 4A11,Humans,unknown,7,DB00082,unknown,
BE0000657,Cytosolic phospholipase A2,Humans,unknown,1,DB00086,,unknown
BE0002362,Cytochrome P450 3A5,Humans,unknown,,DB00091,,
BE0002638,Cytochrome P450 3A4,Humans,unknown,,DB00091,moderate,
BE0003536,Cytochrome P450 2C19,Humans,unknown,13,DB00091,unknown,
BE0002363,Cytochrome P450 2D6,Humans,unknown,14,DB00091,moderate,
BE0001075,Myeloperoxidase,Humans,unknown,1,DB00104,unknown,
BE0002638,Cytochrome P450 3A4,Humans,no,2,DB00104,unknown,
BE0002433,Cytochrome P450 1A2,Humans,unknown,1,DB00105,unknown,
BE0002148,Prolyl endopeptidase,Humans,unknown,3,DB00107,,
BE0003536,Cytochrome P450 2C19,Humans,unknown,1,DB00109,,
BE0003533,Cytochrome P450 2E1,Humans,unknown,2,DB00109,,
BE0000456,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",Humans,unknown,9,DB00115,,
BE0002668,Bifunctional adenosylcobalamin biosynthesis protein CobU,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),unknown,12,DB00115,,
BE0009637,Pancreatic proteases,,unknown,15,DB00115,,
BE0003533,Cytochrome P450 2E1,Humans,unknown,,DB00118,weak,
BE0000300,Spermidine synthase,Humans,unknown,2,DB00118,,
BE0001111,Cytochrome P450 1B1,Humans,unknown,9,DB00121,,unknown
BE0002190,Choline/ethanolaminephosphotransferase 1,Humans,unknown,6,DB00122,,
BE0000237,Choline/ethanolamine kinase,Humans,unknown,11,DB00122,,
BE0000519,Choline O-acetyltransferase,Humans,unknown,12,DB00122,,
BE0000784,Choline kinase alpha,Humans,unknown,13,DB00122,,
BE0000636,"Choline dehydrogenase, mitochondrial",Humans,unknown,14,DB00122,,
BE0001979,"Thioredoxin reductase 1, cytoplasmic",Humans,unknown,31,DB00126,,
BE0002204,Xanthine dehydrogenase/oxidase,Humans,unknown,,DB00127,unknown,
BE0000111,Diamine acetyltransferase 1,Humans,unknown,5,DB00127,,
BE0000275,Diamine acetyltransferase 2,Humans,unknown,6,DB00127,,
BE0002227,CAD protein,Humans,unknown,2,DB00128,,
BE0000004,Coagulation factor XIII A chain,Humans,unknown,11,DB00130,,
BE0000825,"Glutaminase kidney isoform, mitochondrial",Humans,unknown,13,DB00130,,
BE0000003,"Glutaminase liver isoform, mitochondrial",Humans,unknown,14,DB00130,,
BE0001035,Protein-glutamine gamma-glutamyltransferase 2,Humans,unknown,15,DB00130,,
BE0002236,Protein-glutamine gamma-glutamyltransferase 5,Humans,unknown,16,DB00130,,
BE0002239,Protein-glutamine gamma-glutamyltransferase 6,Humans,unknown,17,DB00130,,
BE0002241,Protein-glutamine gamma-glutamyltransferase K,Humans,unknown,18,DB00130,,
BE0002243,Protein-glutamine gamma-glutamyltransferase 4,Humans,unknown,19,DB00130,,
