food_interaction,drugbank_id
Avoid echinacea.,DB00006
"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic.",DB00006
Drink plenty of fluids.,DB00008
Avoid alcohol.,DB00011
Avoid alcohol. Alcohol may impair blood glucose control.,DB00030
Avoid alcohol.,DB00034
Avoid alcohol.,DB00067
Drink plenty of fluids.,DB00085
Take with fluids.,DB00085
"Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.",DB00085
Avoid grapefruit products.,DB00091
Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.,DB00091
Avoid St. John's Wort.,DB00091
Take at the same time every day. Take consistently with regard to food.,DB00091
Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.,DB00104
Take with or without food. Octreotide injections may be taken with or without food.,DB00104
Avoid alcohol.,DB00105
Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.,DB00115
"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.",DB00121
"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.",DB00126
"Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed.",DB00130
Take with food.,DB00134
Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.,DB00137
"Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively.",DB00146
Take with or without food. High-fat foods may increase absorption of Vitamin E.,DB00163
Take with or without food. Lipid lowering effects are similar in the fasting and fed state.,DB00175
Avoid alcohol.,DB00176
Avoid grapefruit products.,DB00176
Limit caffeine intake.,DB00176
Take with or without food. The absorption is unaffected by food.,DB00176
"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",DB00177
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00178
Take with or without food. The absorption is unaffected by food.,DB00178
Avoid alcohol.,DB00181
Take with food. Take with food or milk to reduce gastric irritation.,DB00181
Take with or without food.,DB00182
"Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use.",DB00184
Avoid alcohol.,DB00186
Limit caffeine intake.,DB00186
Take with food.,DB00186
"Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea.",DB00188
Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.,DB00188
Avoid alcohol.,DB00189
Take with food. Food reduces irritation.,DB00189
Limit caffeine intake.,DB00191
Take with or without food. The absorption is unaffected by food.,DB00191
Avoid alcohol. Co-administration of alcohol may potentiate the CNS effects of tramadol.,DB00193
Take with or without food. Co-administration of food does not affect pharmacokinetics.,DB00193
No food interactions are expected.,DB00195
Take with or without food. The absorption is unaffected by food.,DB00196
Take with or without food. Co-administration with food does not affect pharmacokinetics but may enhance tolerability.,DB00198
Avoid grapefruit products.,DB00199
"Take on an empty stomach. Allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption.",DB00199
Take with a full glass of water.,DB00199
Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working.,DB00203
"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide.",DB00204
"Exercise caution with St. John's Wort. Dofetilide is partially metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer, coadministration may reduce dofetilide serum levels.",DB00204
Take with or without food.,DB00204
Administer folic acid supplement. Folic acid need is increased.,DB00205
Take with food. Food reduces irritation.,DB00205
Avoid alcohol.,DB00206
Take with food. Food reduces irritation.,DB00206
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00207
Take with a high fat meal. High fat meals will increase ticlopidine absorption.,DB00208
Take with food. Food can help ticlopidine-induced stomach upset.,DB00208
Take on an empty stomach. Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal.,DB00209
Take with or without food. The absorption is unaffected by food.,DB00211
Take with or without food. The absorption is unaffected by food.,DB00213
Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy.,DB00214
Avoid alcohol.,DB00215
Avoid St. John's Wort.,DB00215
Take with or without food. The absorption is unaffected by food.,DB00215
"Take with or without food. High-fat meals increase exposure, but not to a clinically relevant extent.",DB00216
Drink plenty of fluids.,DB00218
Take with or without food.,DB00218
Take with food. Food increases exposure and decreases pharmacokinetic variability.,DB00220
Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.,DB00222
Take with food. The manufacturer recommends administration with the first meal of the day.,DB00222
Avoid excessive or chronic alcohol consumption.,DB00224
Avoid grapefruit products.,DB00224
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00224
Take with a full glass of water.,DB00224
Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.,DB00227
Take with food. Food increases bioavailability.,DB00227
Avoid alcohol. Alcohol may increase CNS effects.,DB00230
"Take with or without food. Food alters drug absorption, but not to a clinically significant extent.",DB00230
Avoid alcohol.,DB00231
Take with or without food.,DB00231
Take with or without food. The absorption is unaffected by food.,DB00233
Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased.,DB00237
Avoid alcohol.,DB00238
Take with or without food. The absorption is unaffected by food.,DB00238
Avoid alcohol. Profound CNS depression can occur.,DB00241
"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.",DB00242
Avoid grapefruit products.,DB00243
Take with or without food. The absorption is unaffected by food.,DB00243
Take with or without food. The absorption is unaffected by food.,DB00244
Avoid alcohol.,DB00245
Take with food. Food reduces irritation.,DB00245
Avoid alcohol.,DB00246
Take with food.,DB00246
