id,name,organism,known_action,position,parent_key
BE0000048,Prothrombin,Humans,yes,,DB00001
BE0000767,Epidermal growth factor receptor,Humans,yes,1,DB00002
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,unknown,2,DB00002
BE0002094,Complement C1q subcomponent subunit A,Humans,unknown,3,DB00002
BE0002095,Complement C1q subcomponent subunit B,Humans,unknown,4,DB00002
BE0002096,Complement C1q subcomponent subunit C,Humans,unknown,5,DB00002
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,unknown,6,DB00002
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,unknown,7,DB00002
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,unknown,8,DB00002
BE0004796,DNA,Humans,yes,,DB00003
BE0000658,Interleukin-2 receptor subunit alpha,Humans,yes,1,DB00004
BE0000651,Interleukin-2 receptor subunit beta,Humans,yes,2,DB00004
BE0002102,Cytokine receptor common subunit gamma,Humans,unknown,3,DB00004
BE0000704,Tumor necrosis factor,Humans,yes,1,DB00005
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,unknown,2,DB00005
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,unknown,3,DB00005
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,unknown,4,DB00005
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Humans,unknown,5,DB00005
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,unknown,6,DB00005
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,unknown,7,DB00005
BE0001087,Lymphotoxin-alpha,Humans,yes,8,DB00005
BE0009995,Complement component 1q (C1q),Humans,unknown,9,DB00005
BE0000048,Prothrombin,Humans,yes,,DB00006
BE0000203,Gonadotropin-releasing hormone receptor,Humans,yes,,DB00007
BE0000385,Interferon alpha/beta receptor 2,Humans,yes,,DB00008
BE0000661,Interferon alpha/beta receptor 1,Humans,yes,,DB00008
BE0000211,Plasminogen,Humans,yes,1,DB00009
BE0000538,Fibrinogen alpha chain,Humans,yes,2,DB00009
BE0000717,Urokinase plasminogen activator surface receptor,Humans,unknown,3,DB00009
BE0000240,Plasminogen activator inhibitor 1,Humans,unknown,4,DB00009
BE0000625,Growth hormone-releasing hormone receptor,Humans,yes,,DB00010
BE0000385,Interferon alpha/beta receptor 2,Humans,yes,1,DB00011
BE0000661,Interferon alpha/beta receptor 1,Humans,yes,2,DB00011
BE0000654,Erythropoietin receptor,Humans,yes,,DB00012
BE0000211,Plasminogen,Humans,yes,1,DB00013
BE0000717,Urokinase plasminogen activator surface receptor,Humans,yes,2,DB00013
BE0000240,Plasminogen activator inhibitor 1,Humans,yes,3,DB00013
BE0000969,Plasminogen activator inhibitor 2,Humans,yes,4,DB00013
BE0002112,Plasma serine protease inhibitor,Humans,unknown,5,DB00013
BE0000942,Low-density lipoprotein receptor-related protein 2,Humans,unknown,6,DB00013
BE0001656,Suppressor of tumorigenicity 14 protein,Humans,unknown,7,DB00013
BE0002113,Nidogen-1,Humans,unknown,8,DB00013
BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,yes,1,DB00014
BE0000203,Gonadotropin-releasing hormone receptor,Humans,yes,2,DB00014
BE0000211,Plasminogen,Humans,yes,1,DB00015
BE0000538,Fibrinogen alpha chain,Humans,yes,2,DB00015
BE0000240,Plasminogen activator inhibitor 1,Humans,unknown,3,DB00015
BE0000654,Erythropoietin receptor,Humans,yes,,DB00016
BE0000431,Calcitonin receptor,Humans,unknown,,DB00017
BE0000661,Interferon alpha/beta receptor 1,Humans,yes,,DB00018
BE0000385,Interferon alpha/beta receptor 2,Humans,yes,,DB00018
BE0000793,Granulocyte colony-stimulating factor receptor,Humans,yes,,DB00019
BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Humans,yes,1,DB00020
BE0001036,Interleukin-3 receptor subunit alpha,Humans,yes,2,DB00020
BE0002115,Cytokine receptor common subunit beta,Humans,yes,3,DB00020
BE0002116,Syndecan-2,Humans,unknown,4,DB00020
BE0002114,Bone marrow proteoglycan,Humans,unknown,5,DB00020
BE0000661,Interferon alpha/beta receptor 1,Humans,yes,,DB00022
BE0000385,Interferon alpha/beta receptor 2,Humans,yes,,DB00022
BE0004798,L-asparagine,Humans,yes,,DB00023
BE0000490,Thyrotropin receptor,Humans,yes,,DB00024
BE0000216,Coagulation factor X,Humans,yes,1,DB00025
BE0000364,Coagulation factor IX,Humans,yes,2,DB00025
BE0001043,von Willebrand factor,Humans,yes,3,DB00025
BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",Humans,unknown,4,DB00025
BE0002118,Asialoglycoprotein receptor 2,Humans,unknown,6,DB00025
BE0001098,78 kDa glucose-regulated protein,Humans,unknown,7,DB00025
BE0002109,Calreticulin,Humans,unknown,7,DB00025
BE0001011,Calnexin,Humans,unknown,8,DB00025
BE0002119,Protein ERGIC-53,Humans,unknown,9,DB00025
BE0002110,Prolow-density lipoprotein receptor-related protein 1,Humans,unknown,10,DB00025
BE0002120,Multiple coagulation factor deficiency protein 2,Humans,unknown,11,DB00025
BE0000565,Interleukin-1 receptor type 1,Humans,yes,1,DB00026
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,yes,1,DB00028
BE0004684,High affinity immunoglobulin gamma Fc receptor IB,Humans,yes,2,DB00028
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,yes,3,DB00028
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,yes,4,DB00028
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Humans,yes,5,DB00028
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,yes,6,DB00028
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,yes,7,DB00028
BE0003455,Complement C3,Humans,yes,8,DB00028
BE0004685,Complement C4-A,Humans,yes,11,DB00028
BE0004686,Complement C4-B,Humans,yes,12,DB00028
BE0000855,Complement C5,Humans,yes,12,DB00028
BE0000211,Plasminogen,Humans,yes,1,DB00029
BE0000538,Fibrinogen alpha chain,Humans,yes,2,DB00029
BE0000240,Plasminogen activator inhibitor 1,Humans,unknown,3,DB00029
BE0000033,Insulin receptor,Humans,yes,1,DB00030
BE0000858,Insulin-like growth factor 1 receptor,Humans,unknown,2,DB00030
BE0002123,Retinoblastoma-associated protein,Humans,unknown,4,DB00030
BE0001123,Carboxypeptidase E,Humans,unknown,8,DB00030
BE0000211,Plasminogen,Humans,yes,1,DB00031
BE0000538,Fibrinogen alpha chain,Humans,yes,2,DB00031
BE0000717,Urokinase plasminogen activator surface receptor,Humans,unknown,3,DB00031
BE0000240,Plasminogen activator inhibitor 1,Humans,unknown,4,DB00031
BE0000969,Plasminogen activator inhibitor 2,Humans,unknown,5,DB00031
BE0002104,Tetranectin,Humans,unknown,6,DB00031
BE0002105,"Keratin, type II cytoskeletal 8",Humans,unknown,7,DB00031
BE0001170,Annexin A2,Humans,unknown,8,DB00031
BE0002109,Calreticulin,Humans,unknown,9,DB00031
BE0001011,Calnexin,Humans,unknown,10,DB00031
BE0002110,Prolow-density lipoprotein receptor-related protein 1,Humans,unknown,11,DB00031
BE0000387,Follicle-stimulating hormone receptor,Humans,yes,,DB00032
BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,yes,,DB00032
BE0000711,Interferon gamma receptor 1,Humans,yes,,DB00033
BE0000467,Interferon gamma receptor 2,Humans,yes,,DB00033
BE0000661,Interferon alpha/beta receptor 1,Humans,yes,,DB00034
BE0000385,Interferon alpha/beta receptor 2,Humans,yes,,DB00034
BE0000293,Vasopressin V2 receptor,Humans,yes,1,DB00035
BE0000165,Vasopressin V1a receptor,Humans,yes,2,DB00035
BE0000773,Vasopressin V1b receptor,Humans,yes,3,DB00035
BE0000216,Coagulation factor X,Humans,unknown,,DB00036
BE0000967,Tissue factor pathway inhibitor,Humans,unknown,,DB00036
BE0000403,Vitamin K-dependent gamma-carboxylase,Humans,unknown,,DB00036
BE0000333,Coagulation factor VII,Humans,unknown,,DB00036
BE0001178,Tissue factor,Humans,unknown,,DB00036
BE0000416,Interleukin-11 receptor subunit alpha,Humans,yes,,DB00038
BE0000748,Fibroblast growth factor receptor 2,Humans,yes,,DB00039
BE0002129,Neuropilin-1,Humans,unknown,,DB00039
BE0002131,Fibroblast growth factor receptor 1,Humans,unknown,,DB00039
BE0001203,Fibroblast growth factor receptor 4,Humans,unknown,,DB00039
BE0002133,Fibroblast growth factor receptor 3,Humans,unknown,,DB00039
BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,Humans,unknown,,DB00039
BE0000527,Glucagon receptor,Humans,yes,,DB00040
BE0002134,Glucagon-like peptide 2 receptor,Humans,unknown,,DB00040
BE0000857,Glucagon-like peptide 1 receptor,Humans,unknown,,DB00040
BE0000651,Interleukin-2 receptor subunit beta,Humans,yes,,DB00041
BE0000658,Interleukin-2 receptor subunit alpha,Humans,yes,,DB00041
BE0002102,Cytokine receptor common subunit gamma,Humans,yes,,DB00041
BE0002137,Vesicle-associated membrane protein 2,Humans,yes,1,DB00042
BE0002136,Vesicle-associated membrane protein 1,Humans,yes,2,DB00042
BE0002138,Synaptotagmin-2,Humans,yes,3,DB00042
BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,Humans,yes,,DB00043
BE0002139,High affinity immunoglobulin epsilon receptor subunit beta,Humans,yes,,DB00043
BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,yes,,DB00044
BE0001164,Toll-like receptor 2,Humans,yes,1,DB00045
BE0000033,Insulin receptor,Humans,yes,1,DB00046
BE0000858,Insulin-like growth factor 1 receptor,Humans,unknown,2,DB00046
BE0000033,Insulin receptor,Humans,yes,,DB00047
BE0000858,Insulin-like growth factor 1 receptor,Humans,unknown,1,DB00047
BE0000025,Collagen alpha-1(I) chain,Humans,unknown,,DB00048
BE0002140,Collagen alpha-1(II) chain,Humans,unknown,,DB00048
BE0002130,Collagen alpha-1(III) chain,Humans,unknown,,DB00048
BE0002141,Collagen alpha-2(I) chain,Humans,unknown,,DB00048
BE0004823,Uric acid,Humans,yes,,DB00049
BE0000203,Gonadotropin-releasing hormone receptor,Humans,yes,,DB00050
BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,unknown,,DB00050
BE0000704,Tumor necrosis factor,Humans,yes,,DB00051
BE0000075,Growth hormone receptor,Humans,yes,,DB00052
BE0000345,Prolactin receptor,Humans,yes,,DB00052
BE0004806,Glucocerebroside,Humans,yes,1,DB00053
BE0001155,Integrin beta-3,Humans,yes,1,DB00054
BE0000439,Integrin alpha-IIb,Humans,yes,2,DB00054
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,unknown,3,DB00054
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,unknown,4,DB00054
BE0001068,Vitronectin,Humans,unknown,5,DB00054
BE0000016,Coagulation factor VIII,Humans,yes,,DB00055
BE0000041,Coagulation factor V,Humans,yes,,DB00055
BE0000240,Plasminogen activator inhibitor 1,Humans,unknown,,DB00055
BE0001151,Thrombomodulin,Humans,unknown,,DB00055
BE0000943,Vitamin K-dependent protein S,Humans,unknown,,DB00055
BE0000048,Prothrombin,Humans,unknown,,DB00055
BE0001129,Platelet factor 4,Humans,unknown,,DB00055
BE0002112,Plasma serine protease inhibitor,Humans,unknown,,DB00055
BE0002142,Serpin B6,Humans,unknown,,DB00055
BE0001161,Endothelial protein C receptor,Humans,unknown,,DB00055
BE0000674,Myeloid cell surface antigen CD33,Humans,yes,,DB00056
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,unknown,,DB00056
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,unknown,,DB00056
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,unknown,,DB00056
BE0004842,Tumor-associated glycoprotein 72 (TAG-72),Humans,yes,1,DB00057
BE0000394,Neutrophil elastase,Humans,yes,,DB00058
BE0004798,L-asparagine,Humans,yes,,DB00059
BE0000661,Interferon alpha/beta receptor 1,Humans,yes,1,DB00060
BE0000385,Interferon alpha/beta receptor 2,Humans,yes,2,DB00060
BE0004828,Adenosine,Humans,yes,,DB00061
BE0000917,Growth factor receptor-bound protein 2,Humans,unknown,,DB00061
BE0009576,Nitric oxide,Humans,unknown,1,DB00062
BE0001155,Integrin beta-3,Humans,yes,,DB00063
BE0000704,Tumor necrosis factor,Humans,yes,,DB00065
BE0000387,Follicle-stimulating hormone receptor,Humans,yes,,DB00066
BE0000293,Vasopressin V2 receptor,Humans,yes,1,DB00067
BE0000165,Vasopressin V1a receptor,Humans,yes,2,DB00067
BE0000773,Vasopressin V1b receptor,Humans,yes,3,DB00067
BE0000661,Interferon alpha/beta receptor 1,Humans,yes,,DB00068
BE0000385,Interferon alpha/beta receptor 2,Humans,yes,,DB00068
BE0000661,Interferon alpha/beta receptor 1,Humans,yes,,DB00069
BE0000385,Interferon alpha/beta receptor 2,Humans,yes,,DB00069
BE0004821,Hyaluronan,Humans,yes,1,DB00070
BE0000984,Transforming growth factor beta-1,Humans,unknown,2,DB00070
BE0000033,Insulin receptor,Humans,yes,1,DB00071
BE0000858,Insulin-like growth factor 1 receptor,Humans,unknown,2,DB00071
BE0001183,Insulin-degrading enzyme,Humans,unknown,3,DB00071
BE0002122,"HLA class II histocompatibility antigen, DQ alpha 2 chain",Humans,unknown,4,DB00071
BE0004466,"HLA class II histocompatibility antigen, DQ beta 1 chain",Humans,unknown,5,DB00071
BE0002123,Retinoblastoma-associated protein,Humans,unknown,6,DB00071
BE0000941,Cathepsin D,Humans,unknown,7,DB00071
BE0001123,Carboxypeptidase E,Humans,unknown,8,DB00071
BE0002124,Neuroendocrine convertase 2,Humans,unknown,9,DB00071
BE0002125,Neuroendocrine convertase 1,Humans,unknown,10,DB00071
BE0001147,Protein NOV homolog,Humans,unknown,11,DB00071
BE0000942,Low-density lipoprotein receptor-related protein 2,Humans,unknown,12,DB00071
BE0002126,Insulin-like growth factor-binding protein 7,Humans,unknown,13,DB00071
BE0002127,Synaptotagmin-like protein 4,Humans,unknown,14,DB00071
BE0000511,Receptor tyrosine-protein kinase erbB-2,Humans,yes,1,DB00072
BE0000066,B-lymphocyte antigen CD20,Humans,yes,,DB00073
BE0000658,Interleukin-2 receptor subunit alpha,Humans,yes,1,DB00074
BE0000651,Interleukin-2 receptor subunit beta,Humans,unknown,2,DB00074
BE0003456,T-cell surface glycoprotein CD3 delta chain,Humans,yes,1,DB00075
BE0000274,T-cell surface glycoprotein CD3 epsilon chain,Humans,yes,2,DB00075
BE0003457,T-cell surface glycoprotein CD3 gamma chain,Humans,yes,3,DB00075
BE0003458,T-cell surface glycoprotein CD3 zeta chain,Humans,yes,4,DB00075
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,unknown,5,DB00075
BE0004837,Digoxin,Humans,yes,,DB00076
BE0000066,B-lymphocyte antigen CD20,Humans,yes,1,DB00078
BE0004833,Bacterial outer membrane,Bacteria,yes,,DB00080
BE0000066,B-lymphocyte antigen CD20,Humans,yes,1,DB00081
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,unknown,2,DB00081
BE0000075,Growth hormone receptor,Humans,yes,1,DB00082
BE0000390,Synaptosomal-associated protein 25,Humans,yes,,DB00083
BE0003572,Rho-related GTP-binding protein RhoB,Humans,unknown,1,DB00083
BE0004834,Dietary fat,Humans,yes,1,DB00085
BE0004835,Dietary protein,Humans,yes,2,DB00085
BE0004836,Dietary starch,Humans,yes,3,DB00085
BE0000211,Plasminogen,Humans,yes,,DB00086
BE0000928,Proteinase-activated receptor 1,Humans,unknown,,DB00086
BE0000083,CAMPATH-1 antigen,Humans,yes,1,DB00087
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,unknown,2,DB00087
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,unknown,3,DB00087
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,unknown,4,DB00087
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,unknown,5,DB00087
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,unknown,6,DB00087
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Humans,unknown,7,DB00087
BE0004806,Glucocerebroside,Humans,yes,1,DB00088
BE0000568,Glutamate carboxypeptidase 2,Humans,yes,,DB00089
BE0004822,Iduronic acid,Humans,yes,,DB00090
BE0000379,Calcium signal-modulating cyclophilin ligand,Humans,yes,1,DB00091
BE0002143,Calcineurin subunit B type 2,Humans,yes,2,DB00091
BE0001014,Peptidyl-prolyl cis-trans isomerase A,Humans,yes,3,DB00091
BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Humans,yes,15,DB00091
BE0000719,T-cell surface antigen CD2,Humans,yes,1,DB00092
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,unknown,2,DB00092
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,unknown,3,DB00092
BE0000165,Vasopressin V1a receptor,Humans,yes,,DB00093
BE0000387,Follicle-stimulating hormone receptor,Humans,yes,,DB00094
BE0000516,Integrin alpha-L,Humans,yes,,DB00095
BE0009967,Integrin alpha-X,Humans,yes,1,DB00095
BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,yes,1,DB00097
BE0000387,Follicle-stimulating hormone receptor,Humans,yes,2,DB00097
BE0000598,T-cell surface glycoprotein CD1a,Humans,unknown,,DB00098
BE0003573,Major histocompatibility complex class I-related gene protein,Humans,yes,1,DB00098
BE0000516,Integrin alpha-L,Humans,yes,2,DB00098
BE0000846,T-lymphocyte activation antigen CD86,Humans,yes,3,DB00098
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,yes,4,DB00098
BE0003488,T-cell surface glycoprotein CD4,Humans,yes,5,DB00098
BE0003575,Integrin beta-1,Humans,yes,6,DB00098
BE0003576,Integrin alpha-V,Humans,yes,7,DB00098
BE0001155,Integrin beta-3,Humans,yes,8,DB00098
BE0000793,Granulocyte colony-stimulating factor receptor,Humans,yes,,DB00099
BE0000394,Neutrophil elastase,Humans,unknown,,DB00099
BE0000216,Coagulation factor X,Humans,yes,1,DB00100
BE0001021,Coagulation factor XI,Humans,yes,2,DB00100
BE0000333,Coagulation factor VII,Humans,yes,3,DB00100
BE0000016,Coagulation factor VIII,Humans,yes,4,DB00100
BE0000048,Prothrombin,Humans,unknown,5,DB00100
BE0002110,Prolow-density lipoprotein receptor-related protein 1,Humans,unknown,6,DB00100
BE0000403,Vitamin K-dependent gamma-carboxylase,Humans,unknown,7,DB00100
BE0000205,Platelet-derived growth factor receptor beta,Humans,yes,1,DB00102
BE0000852,Platelet-derived growth factor receptor alpha,Humans,unknown,2,DB00102
BE0000910,Alpha-2-macroglobulin,Humans,unknown,3,DB00102
BE0004830,Globotriaosylceramide,Humans,yes,1,DB00103
