number,country,approved,expires,pediatric-extension,parent_key
5180668,United States,1993-01-19,2010-01-19,false,DB00001
1340417,Canada,1999-03-02,2016-03-02,false,DB00002
2184581,Canada,2005-02-22,2015-02-28,false,DB00003
2137237,Canada,2004-10-26,2013-05-28,false,DB00003
2476934,Canada,2009-06-16,2023-02-27,false,DB00005
2123593,Canada,2000-03-14,2013-09-14,false,DB00005
7276477,United States,2007-10-02,2024-07-29,false,DB00005
5196404,United States,1993-03-23,2010-05-23,false,DB00006
2065150,Canada,1999-12-14,2010-08-17,false,DB00006
7598343,United States,2009-10-06,2029-01-27,true,DB00006
7582727,United States,2009-09-01,2029-01-27,true,DB00006
6036976,United States,2000-03-14,2016-12-13,false,DB00007
8921326,United States,2014-12-30,2031-02-05,false,DB00007
7429559,United States,2008-09-30,2019-01-13,false,DB00007
8815801,United States,2014-08-26,2022-06-28,false,DB00007
5728396,United States,1998-03-17,2017-01-30,false,DB00007
6156331,United States,2000-12-05,2017-01-30,false,DB00007
6375978,United States,2002-04-23,2018-12-17,false,DB00007
6235712,United States,2001-05-22,2017-06-13,false,DB00007
6113938,United States,2000-09-05,2018-07-24,false,DB00007
6124261,United States,2000-09-26,2017-06-13,false,DB00007
6395292,United States,2002-05-28,2017-01-30,false,DB00007
6132420,United States,2000-10-17,2017-01-30,false,DB00007
5985305,United States,1999-11-16,2017-01-30,false,DB00007
5932547,United States,1999-08-03,2017-06-13,false,DB00007
6565874,United States,2003-05-20,2018-10-28,false,DB00007
6773714,United States,2004-08-10,2018-10-28,false,DB00007
6626870,United States,2003-09-30,2020-03-27,false,DB00007
9283282,United States,2016-03-15,2018-10-28,false,DB00007
9254307,United States,2016-02-09,2018-10-28,false,DB00007
8486455,United States,2013-07-16,2018-10-28,false,DB00007
8840916,United States,2014-09-23,2020-11-13,false,DB00007
8470359,United States,2013-06-25,2023-10-15,false,DB00007
9539333,United States,2017-01-10,2020-11-13,false,DB00007
9914802,United States,2018-03-13,2020-11-13,false,DB00007
2203480,Canada,2009-06-30,2017-04-23,false,DB00008
2172664,Canada,2000-10-03,2016-03-26,false,DB00008
2165694,Canada,2003-03-18,2010-10-15,false,DB00012
2147124,Canada,2002-11-05,2014-08-16,false,DB00012
7118552,United States,2006-10-10,2022-04-13,false,DB00014
7220247,United States,2007-05-22,2022-04-09,false,DB00014
7500964,United States,2009-03-10,2021-02-26,false,DB00014
2107476,Canada,2007-12-18,2012-04-15,false,DB00015
1339047,Canada,1997-05-27,2014-05-27,false,DB00016
5733569,United States,1998-03-31,2015-03-31,false,DB00017
6440392,United States,2002-08-27,2021-02-02,false,DB00017
RE43580,United States,2012-08-14,2021-02-02,false,DB00017
RE40812,United States,2009-06-30,2021-02-02,false,DB00017
1341537,Canada,2007-07-31,2024-07-31,false,DB00019
1339071,Canada,1997-07-29,2014-07-29,false,DB00019
1341150,Canada,2000-12-05,2017-12-05,false,DB00020
1341567,Canada,2008-02-19,2025-02-19,false,DB00022
2329474,Canada,2002-02-26,2016-10-31,false,DB00022
5840566,United States,1998-11-24,2015-11-24,false,DB00024
2124690,Canada,2007-09-11,2013-10-01,false,DB00025
1339477,Canada,1997-09-23,2014-09-23,false,DB00025
2141953,Canada,2008-04-08,2013-09-17,false,DB00026
1341322,Canada,2001-11-27,2018-11-27,false,DB00026
RE37872,United States,2002-10-08,2010-02-12,false,DB00030
2183577,Canada,2007-10-30,2015-02-07,false,DB00030
2253393,Canada,2007-10-09,2017-05-07,false,DB00030
7291132,United States,2007-11-06,2024-08-09,false,DB00030
6257233,United States,2001-07-10,2019-05-14,false,DB00030
6546929,United States,2003-04-15,2019-05-14,false,DB00030
6685967,United States,2004-02-03,2018-09-11,false,DB00030
6582728,United States,2003-06-24,2020-06-24,false,DB00030
8912193,United States,2014-12-16,2029-06-12,false,DB00030
7648960,United States,2010-01-19,2020-06-29,false,DB00030
6652885,United States,2003-11-25,2020-06-29,false,DB00030
8258095,United States,2012-09-04,2029-08-11,false,DB00030
8778403,United States,2014-07-15,2030-06-11,false,DB00030
6444226,United States,2002-09-03,2020-06-29,false,DB00030
7943572,United States,2011-05-17,2026-08-10,false,DB00030
8119593,United States,2012-02-21,2029-08-11,false,DB00030
7943178,United States,2011-05-17,2020-06-29,false,DB00030
8889099,United States,2014-11-18,2020-06-29,false,DB00030
8623817,United States,2014-01-07,2029-09-18,false,DB00030
8389470,United States,2013-03-05,2020-06-29,false,DB00030
9192675,United States,2015-11-24,2029-06-12,false,DB00030
8215300,United States,2012-07-10,2022-11-24,false,DB00030
8146588,United States,2012-04-03,2023-04-24,false,DB00030
8950397,United States,2015-02-10,2021-07-20,false,DB00030
8485180,United States,2013-07-16,2030-03-25,false,DB00030
9283193,United States,2016-03-15,2026-09-14,false,DB00030
8636001,United States,2014-01-28,2032-07-12,false,DB00030
8424518,United States,2013-04-23,2031-10-17,false,DB00030
