kind,value,source,parent_key
Melting Point,65 °C,"Otto, A. & Seckler, R. Eur. J. Biochem. 202:67-73 (1991)",DB00001
Hydrophobicity,-0.777,,DB00001
Isoelectric Point,4.04,,DB00001
Molecular Weight,6963.425,,DB00001
Molecular Formula,C287H440N80O110S6,,DB00001
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00002
Hydrophobicity,-0.413,,DB00002
Isoelectric Point,8.48,,DB00002
Molecular Weight,145781.6,,DB00002
Molecular Formula,C6484H10042N1732O2023S36,,DB00002
Melting Point,67 °C,"Chan, H.K. et al., Pharm Res. 13:756-761 (1996)",DB00003
Hydrophobicity,-0.083,,DB00003
Isoelectric Point,4.58,,DB00003
Molecular Weight,29253.9,,DB00003
Molecular Formula,C1321H1999N339O396S9,,DB00003
Hydrophobicity,-0.301,,DB00004
Isoelectric Point,5.45,,DB00004
Molecular Weight,57647.3,,DB00004
Molecular Formula,C2560H4042N678O799S17,,DB00004
Melting Point,71 °C (whole mAb),"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00005
Hydrophobicity,-0.529,,DB00005
Isoelectric Point,7.89,,DB00005
Molecular Weight,51234.9,,DB00005
Molecular Formula,C2224H3475N621O698S36,,DB00005
Melting Point,150-155,https://www.trc-canada.com/product-detail/?L330600,DB00007
pKa,9.6,http://products.sanofi.ca/en/eligard.pdf,DB00007
Melting Point,61 °C,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",DB00008
Isoelectric Point,5.99,,DB00008
Molecular Weight,60000.0,,DB00008
Melting Point,60 °C,"Novokhatny, V.V. et al., J. Biol. Chem. 266:12994-123002 (1991)",DB00009
Hydrophobicity,-0.516,,DB00009
Isoelectric Point,7.61,,DB00009
Molecular Weight,59042.3,,DB00009
Molecular Formula,C2569H3928N746O781S40,,DB00009
Hydrophobicity,-0.330,,DB00010
Isoelectric Point,9.99,,DB00010
Molecular Weight,3357.882,,DB00010
Molecular Formula,C149H246N44O42S,,DB00010
Melting Point,61 °C,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",DB00011
Hydrophobicity,-0.336,,DB00011
Isoelectric Point,5.99,,DB00011
Molecular Weight,19241.1,,DB00011
Molecular Formula,C860H1353N227O255S9,,DB00011
Melting Point,53 °C,"Arakawa, T. et al., Biosci. Biotechnol. Biochem. 65:1321-1327 (2001)",DB00012
Hydrophobicity,-0.188,,DB00012
Isoelectric Point,8.75,,DB00012
Molecular Weight,18396.1,,DB00012
Molecular Formula,C815H1317N233O241S5,,DB00012
Melting Point,76 °C at pH 4.5,"Nowak, U.K. et al., Biochemistry 33:2951-2960 (1994)",DB00013
Hydrophobicity,-0.466,,DB00013
Isoelectric Point,8.66,,DB00013
Molecular Weight,31126.5,,DB00013
Molecular Formula,C1376H2145N383O406S18,,DB00013
Water Solubility,Soluble,,DB00014
logP,-2,,DB00014
Melting Point,60 °C,"Novokhatny, V.V. et al., J. Biol. Chem. 266:12994-123002 (1991)",DB00015
Hydrophobicity,-0.435,,DB00015
Isoelectric Point,6.86,,DB00015
Molecular Weight,39589.6,,DB00015
Molecular Formula,C1736H2671N499O522S22,,DB00015
Melting Point,53 °C,"Arakawa, T. et al., Biosci. Biotechnol. Biochem. 65:1321-1327 (2001)",DB00016
Isoelectric Point,8.75,,DB00016
Molecular Weight,18396.1,,DB00016
Molecular Formula,C815H1317N233O241S5,,DB00016
Hydrophobicity,-0.537,,DB00017
Isoelectric Point,8.86,,DB00017
Molecular Weight,3431.853,,DB00017
Molecular Formula,C145H240N44O48S2,,DB00017
Melting Point,61 °C,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",DB00018
Isoelectric Point,5.99,,DB00018
Melting Point,60 °C,"Luo, P., Protein Science 11:1218-1226 (2002)",DB00019
Molecular Weight,39000.0,,DB00019
Molecular Formula,C845H1343N223O243S9,,DB00019
Isoelectric Point,5.05,,DB00020
