affected_organism,drugbank_id
Humans and other mammals,DB00001
Humans and other mammals,DB00002
Humans and other mammals,DB00003
Humans and other mammals,DB00004
Humans and other mammals,DB00005
Humans and other mammals,DB00006
Humans and other mammals,DB00007
Humans and other mammals,DB00008
Humans and other mammals,DB00009
Humans and other mammals,DB00010
Humans and other mammals,DB00011
Humans and other mammals,DB00012
Humans and other mammals,DB00013
Humans and other mammals,DB00014
Humans and other mammals,DB00015
Humans and other mammals,DB00016
Humans and other mammals,DB00017
Humans and other mammals,DB00018
Humans and other mammals,DB00019
Humans and other mammals,DB00020
Humans and other mammals,DB00022
Humans and other mammals,DB00023
Humans and other mammals,DB00024
Humans and other mammals,DB00025
Humans and other mammals,DB00026
Staphylococcus aureus,DB00027
Streptococcus agalactiae,DB00027
Streptococcus pneumoniae,DB00027
Escherichia coli,DB00027
Haemophilus influenzae,DB00027
Klebsiella,DB00027
Enterobacter,DB00027
Neisseria gonorrhoeae,DB00027
Neisseria meningitidis,DB00027
Pseudomonas aeruginosa,DB00027
Humans and other mammals,DB00028
Bacteria and protozoa,DB00028
Various viruses,DB00028
Humans and other mammals,DB00029
Humans and other mammals,DB00030
Humans and other mammals,DB00031
Humans and other mammals,DB00032
Humans and other mammals,DB00034
Humans and other mammals,DB00035
Humans and other mammals,DB00036
Humans and other mammals,DB00038
Humans and other mammals,DB00039
Humans and other mammals,DB00040
Humans and other mammals,DB00041
Humans and other mammals,DB00042
Humans and other mammals,DB00043
Humans and other mammals,DB00044
Humans and other mammals,DB00045
Humans and other mammals,DB00046
Humans and other mammals,DB00047
Humans and other mammals,DB00048
Humans and other mammals,DB00049
Humans and other mammals,DB00050
Humans and other mammals,DB00051
Humans and other mammals,DB00052
Humans and other mammals,DB00053
Humans and other mammals,DB00054
Humans and other mammals,DB00055
Humans and other mammals,DB00056
Humans and other mammals,DB00057
Humans and other mammals,DB00058
Humans and other mammals,DB00059
Humans and other mammals,DB00061
Humans and other mammals,DB00062
Humans and other mammals,DB00063
