resource,url,parent_key
RxList,http://www.rxlist.com/cgi/generic/lepirudin.htm,DB00001
Drugs.com,http://www.drugs.com/cdi/lepirudin.html,DB00001
RxList,http://www.rxlist.com/cgi/generic3/erbitux.htm,DB00002
Drugs.com,http://www.drugs.com/cdi/cetuximab.html,DB00002
RxList,http://www.rxlist.com/cgi/generic/pulmozyme.htm,DB00003
Drugs.com,http://www.drugs.com/cdi/dornase-alfa.html,DB00003
RxList,http://www.rxlist.com/cgi/generic2/denileukin.htm,DB00004
Drugs.com,http://www.drugs.com/cdi/denileukin-diftitox.html,DB00004
RxList,http://www.rxlist.com/cgi/generic/etanercept.htm,DB00005
Drugs.com,http://www.drugs.com/cdi/etanercept.html,DB00005
RxList,http://www.rxlist.com/cgi/generic/angiomax.htm,DB00006
Drugs.com,http://www.drugs.com/cdi/bivalirudin.html,DB00006
RxList,http://www.rxlist.com/cgi/generic/eligard.htm,DB00007
Drugs.com,http://www.drugs.com/cdi/leuprolide.html,DB00007
RxList,http://www.rxlist.com/cgi/generic3/pegasys.htm,DB00008
Drugs.com,http://www.drugs.com/cdi/peginterferon-alfa-2a.html,DB00008
RxList,http://www.rxlist.com/cgi/generic/alteplas.htm,DB00009
Drugs.com,http://www.drugs.com/cdi/alteplase.html,DB00009
RxList,http://www.rxlist.com/cgi/generic2/sermorelin.htm,DB00010
Drugs.com,http://www.drugs.com/cdi/sermorelin-acetate.html,DB00010
RxList,http://www.rxlist.com/cgi/generic/aranesp.htm,DB00012
Drugs.com,http://www.drugs.com/cdi/darbepoetin-alfa-albumin.html,DB00012
RxList,http://www.rxlist.com/cgi/pharmclips2.cgi?keyword=%20Abbokinase%AE,DB00013
Drugs.com,http://www.drugs.com/mtm/urokinase.html,DB00013
RxList,http://www.rxlist.com/cgi/generic/goserel.htm,DB00014
Drugs.com,http://www.drugs.com/cdi/goserelin.html,DB00014
RxList,http://www.rxlist.com/cgi/generic2/reteplase.htm,DB00015
Drugs.com,http://www.drugs.com/cdi/reteplase.html,DB00015
RxList,http://www.rxlist.com/cgi/generic/epoetin.htm,DB00016
Drugs.com,http://www.drugs.com/cdi/epoetin-alfa.html,DB00016
RxList,http://www.rxlist.com/cgi/generic2/calcit.htm,DB00017
Drugs.com,http://www.drugs.com/cdi/interferon-alfa-n3-solution.html,DB00018
RxList,http://www.rxlist.com/cgi/generic3/neulasta.htm,DB00019
Drugs.com,http://www.drugs.com/cdi/pegfilgrastim.html,DB00019
RxList,http://www.rxlist.com/cgi/generic/sargramostim.htm,DB00020
Drugs.com,http://www.drugs.com/cdi/sargramostim.html,DB00020
RxList,http://www.rxlist.com/cgi/generic2/peginterferon.htm,DB00022
Drugs.com,http://www.drugs.com/cdi/peginterferon-alfa-2b.html,DB00022
RxList,http://www.rxlist.com/cgi/generic3/asparaginase.htm,DB00023
Drugs.com,http://www.drugs.com/cdi/asparaginase.html,DB00023
RxList,http://www.rxlist.com/cgi/generic2/thyrotropin.htm,DB00024
Drugs.com,http://www.drugs.com/cdi/thyrotropin-alfa.html,DB00024
RxList,http://www.rxlist.com/cgi/generic2/hemofilm.htm,DB00025
Drugs.com,http://www.drugs.com/cdi/antihemophilic-factor-human.html,DB00025
RxList,http://www.rxlist.com/cgi/generic/anakinra.htm,DB00026
Drugs.com,http://www.drugs.com/cdi/anakinra.html,DB00026
RxList,http://www.rxlist.com/cgi/generic2/baygam.htm,DB00028
Drugs.com,http://www.drugs.com/cdi/immune-globulin-human.html,DB00028
RxList,http://www.rxlist.com/cgi/generic3/novolog.htm,DB00030
Drugs.com,http://www.drugs.com/pro/humulin-r.html,DB00030
RxList,http://www.rxlist.com/cgi/generic2/tenecteplase.htm,DB00031
Drugs.com,http://www.drugs.com/mtm/tenecteplase.html,DB00031
RxList,http://www.rxlist.com/cgi/generic/menotropins.htm,DB00032
Drugs.com,http://www.drugs.com/cdi/menotropins.html,DB00032
Drugs.com,http://www.drugs.com/cdi/interferon-gamma-1b.html,DB00033
RxList,http://www.rxlist.com/cgi/generic3/roferon.htm,DB00034
Drugs.com,http://www.drugs.com/cdi/interferon-alfa-2a-solution.html,DB00034
RxList,http://www.rxlist.com/cgi/generic3/desmoprt.htm,DB00035
Drugs.com,http://www.drugs.com/cdi/desmopressin.html,DB00035
RxList,http://www.rxlist.com/cgi/generic3/novoseven.htm,DB00036
