manufacturer,generic,url,drugbank-id
Bayer healthcare pharmaceuticals inc,false,,DB00001
"Genentech, Inc",false,,DB00003
Amgen Inc. + Wyeth + Takeda,false,,DB00005
The medicines co,false,,DB00006
Emd serono inc,false,,DB00010
Amgen Inc.,false,,DB00012
Microbix biosystems inc,false,,DB00013
Astrazeneca uk ltd,false,,DB00014
Sanofi aventis us llc,false,,DB00017
Astrazeneca lp,false,,DB00017
Novartis pharmaceuticals corp,false,,DB00017
Apotex inc,false,,DB00017
Par pharmaceutical inc,false,,DB00017
Upsher smith laboratories inc,false,,DB00017
Sanofi aventis us llc,false,,DB00024
Genzyme corp,false,,DB00024
Novo nordisk inc,false,,DB00030
Sanofi aventis us llc,false,,DB00035
Bedford laboratories div ben venue laboratories inc,true,,DB00035
Hospira inc,true,,DB00035
Teva parenteral medicines inc,true,,DB00035
Ferring pharmaceuticals inc,false,,DB00035
Bausch and lomb pharmaceuticals inc,true,,DB00035
Apotex inc richmond hill,false,,DB00035
Csl behring llc,false,,DB00035
Apotex inc etobicoke site,true,,DB00035
Teva pharmaceuticals usa,true,,DB00035
Watson laboratories inc,true,,DB00035
Eli lilly and co,false,,DB00040
Novo nordisk pharmaceuticals inc,false,,DB00040
Emd serono inc,false,,DB00044
Eli lilly and co,false,,DB00046
Sanofi aventis us llc,false,,DB00047
Emd serono inc,false,,DB00050
Genentech inc,false,,DB00052
Serono laboratories inc,false,,DB00052
Cangene corp,false,,DB00052
Ferring pharmaceuticals inc,false,,DB00052
Pharmacia and upjohn co,false,,DB00052
Eli lilly and co,false,,DB00052
Novo nordisk inc,false,,DB00052
Sandoz inc,false,,DB00052
Emd serono inc,false,,DB00052
Lg life sciences ltd,false,,DB00052
Genzyme corp,false,,DB00053
Wyeth pharmaceuticals inc,false,,DB00056
Biogen Idec,false,,DB00060
Sigma tau pharmaceuticals inc,false,,DB00061
Schering corp,false,,DB00063
J&J and Mitsubisi Tanabe,false,,DB00065
Organon usa inc,false,,DB00066
Emd serono inc,false,,DB00066
Parke davis div warner lambert co,false,,DB00067
Amphastar pharmaceutical inc,false,,DB00070
Primapharm inc,false,,DB00070
Ista pharmaceuticals,false,,DB00070
Baxter healthcare corp anesthesia and critical care,false,,DB00070
Eli lilly and co,false,,DB00071
Novo nordisk inc,false,,DB00071
Roche,false,,DB00073
Cubist pharmaceuticals inc,false,,DB00080
Pharmacia and upjohn co,false,,DB00082
Genzyme corp,false,,DB00088
Apotex inc,true,,DB00091
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00091
Pliva inc,true,,DB00091
Sandoz inc,true,,DB00091
Abbott laboratories,false,,DB00091
Novartis pharmaceuticals corp,false,,DB00091
Allergan inc,false,,DB00091
Bedford laboratories div ben venue laboratories inc,true,,DB00091
Pharmaforce inc,true,,DB00091
Novex pharma,true,,DB00091
Watson laboratories inc,true,,DB00091
Wockhardt eu operations (swiss) ag,true,,DB00091
Novartis pharmaceuticals corp,false,,DB00093
Serono laboratories inc,false,,DB00094
Ferring pharmaceuticals inc,false,,DB00094
Emd serono inc,false,,DB00097
Ferring pharmaceuticals inc,false,,DB00097
App pharmaceuticals llc,false,,DB00097
Bel mar laboratories inc,false,,DB00097
Bristol myers squibb,false,,DB00097
Organon usa inc,false,,DB00097
App pharmaceuticals llc,true,,DB00104
Bedford laboratories div ben venue laboratories inc,true,,DB00104
Sun pharmaceutical industries ltd,true,,DB00104
Teva parenteral medicines inc,true,,DB00104
Novartis pharmaceuticals corp,false,,DB00104
Speciality european pharma ltd,false,,DB00106
App pharmaceuticals llc,true,,DB00107
Baxter healthcare corp anesthesia critical care,true,,DB00107
Teva parenteral medicines inc,true,,DB00107
Abbott laboratories pharmaceutical products div,false,,DB00107
Jhp pharmaceuticals llc,false,,DB00107
Novartis pharmaceuticals corp,false,,DB00107
Hoffmann la roche inc,false,,DB00109
Roche Pharmaceuticals,false,,DB00112
Par pharmaceutical inc,false,,DB00115
Pharmacia and upjohn co,false,,DB00115
Eli lilly and co,false,,DB00115
Watson laboratories inc,false,,DB00115
Abraxis pharmaceutical products,true,,DB00115
Akorn inc,true,,DB00115
App pharmaceuticals llc,true,,DB00115
Baxter healthcare corp anesthesia and critical care,true,,DB00115
Bioniche pharma usa llc,true,,DB00115
Dell laboratories inc,true,,DB00115
Luitpold pharmaceuticals inc,true,,DB00115
Sanofi aventis us llc,true,,DB00115
Solopak medical products inc,true,,DB00115
Warner chilcott inc,true,,DB00115
Wyeth ayerst laboratories,true,,DB00115
Merck and co inc,false,,DB00115
Bel mar laboratories inc,false,,DB00115
Bristol myers squibb co,false,,DB00115
Savage laboratories inc div altana inc,false,,DB00115
Bayer healthcare pharmaceuticals inc,false,,DB00115
West ward pharmaceutical corp,true,,DB00115
Bracco diagnostics inc,false,,DB00115
Pharmacia and upjohn co,false,,DB00125
Nutritional restart pharmaceutical lp,false,,DB00130
Roxane laboratories inc,true,,DB00136
Teva pharmaceuticals usa inc,true,,DB00136
Validus pharmaceuticals llc,false,,DB00136
Abbott laboratories hosp products div,false,,DB00136
Akorn inc,true,,DB00136
App pharmaceuticals llc,true,,DB00136
Fresenius medical care north america,true,,DB00136
Genix therapeutics inc,true,,DB00136
Hospira inc,true,,DB00136
Luitpold pharmaceuticals inc,true,,DB00136
Lyne laboratories inc,true,,DB00136
Teva parenteral medicines inc,true,,DB00136
Galderma laboratories lp,false,,DB00136
Baxter healthcare corp,false,,DB00145
B braun medical inc,false,,DB00145
Hospira inc,false,,DB00145
Organon usa inc,false,,DB00146
Hospira inc,true,,DB00151
Eli lilly and co,false,,DB00152
Abraxis pharmaceutical products,true,,DB00152
Akorn inc,true,,DB00152
App pharmaceuticals llc,true,,DB00152
Baxter healthcare corp anesthesia and critical care,true,,DB00152
Bel mar laboratories inc,true,,DB00152
Dell laboratories inc,true,,DB00152
Hospira inc,true,,DB00152
Luitpold pharmaceuticals inc,true,,DB00152
Parke davis div warner lambert co,true,,DB00152
Watson laboratories inc,true,,DB00152
Wyeth ayerst laboratories,true,,DB00152
Eli lilly and co,false,,DB00153
Sanofi aventis us llc,false,,DB00153
Orit laboratories llc,true,,DB00153
Sigmapharm laboratories llc,true,,DB00153
Strides arcolab ltd,true,,DB00153
Sun pharmaceutical industries inc,true,,DB00153
Banner pharmacaps inc,false,,DB00153
Chase chemical co lp,false,,DB00153
Everylife,false,,DB00153
Impax laboratories inc,false,,DB00153
Lannett co inc,false,,DB00153
Vitarine pharmaceuticals inc,false,,DB00153
West ward pharmaceutical corp,false,,DB00153
App pharmaceuticals llc,true,,DB00158
Ben venue laboratories inc,true,,DB00158
Wyeth pharmaceuticals inc,false,,DB00158
Barr laboratories inc,true,,DB00158
Cadista pharmaceuticals inc,true,,DB00158
Contract pharmacal corp,true,,DB00158
Everylife,true,,DB00158
Excellium pharmaceutical inc,true,,DB00158
Halsey drug co inc,true,,DB00158
Impax laboratories inc,true,,DB00158
Invagen pharmaceuticals inc,true,,DB00158
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00158
Lannett co inc,true,,DB00158
Eli lilly and co,true,,DB00158
Mk laboratories inc,true,,DB00158
Mutual pharmaceutical co inc,true,,DB00158
Nexgen pharma inc,true,,DB00158
Pharmax group inc,true,,DB00158
Pharmeral inc,true,,DB00158
Pioneer pharmaceuticals inc,true,,DB00158
Purepac pharmaceutical co,true,,DB00158
Sandoz inc,true,,DB00158
Tablicaps inc,true,,DB00158
Udl laboratories inc,true,,DB00158
Usl pharma inc,true,,DB00158
Valeant pharmaceuticals international,true,,DB00158
Vangard laboratories inc div midway medical co,true,,DB00158
Vintage pharmaceuticals llc,true,,DB00158
Vintage pharmaceuticals inc,true,,DB00158
Watson laboratories,true,,DB00158
Watson laboratories inc,true,,DB00158
West ward pharmaceutical corp,true,,DB00158
Whiteworth towne paulsen inc,true,,DB00158
Mission pharmacal co,false,,DB00158
Astrazeneca lp,false,,DB00162
Banner pharmacaps inc,true,,DB00162
Chase chemical co lp,true,,DB00162
Everylife,true,,DB00162
Impax laboratories inc,true,,DB00162
West ward pharmaceutical corp,true,,DB00162
Sterling winthrop inc,false,,DB00162
Eli lilly and co,false,,DB00162
