drugbank-id,name,parent_key
DB00001,Lepirudin,SMP0000278
DB01022,Phylloquinone,SMP0000278
DB01373,Calcium,SMP0000278
DB00002,Cetuximab,SMP0000474
DB00006,Bivalirudin,SMP0000277
DB01022,Phylloquinone,SMP0000277
DB01373,Calcium,SMP0000277
DB00009,Alteplase,SMP0000280
DB01022,Phylloquinone,SMP0000280
DB01373,Calcium,SMP0000280
DB00013,Urokinase,SMP0000284
DB01022,Phylloquinone,SMP0000284
DB01373,Calcium,SMP0000284
DB00015,Reteplase,SMP0000285
DB01022,Phylloquinone,SMP0000285
DB01373,Calcium,SMP0000285
DB00029,Anistreplase,SMP0000281
DB01022,Phylloquinone,SMP0000281
DB01373,Calcium,SMP0000281
DB00031,Tenecteplase,SMP0000283
DB01022,Phylloquinone,SMP0000283
DB01373,Calcium,SMP0000283
DB00054,Abciximab,SMP0000265
DB00063,Eptifibatide,SMP0000266
DB00072,Trastuzumab,SMP0000476
DB00086,Streptokinase,SMP0000282
DB01022,Phylloquinone,SMP0000282
DB01373,Calcium,SMP0000282
DB00112,Bevacizumab,SMP0000420
DB00114,Pyridoxal phosphate,SMP0000002
DB00119,Pyruvic acid,SMP0000002
DB00125,Arginine,SMP0000002
DB00128,Aspartic acid,SMP0000002
DB00129,Ornithine,SMP0000002
DB00130,L-Glutamine,SMP0000002
DB00131,Adenosine phosphate,SMP0000002
DB00142,Glutamic acid,SMP0000002
DB00155,Citrulline,SMP0000002
DB00157,NADH,SMP0000002
DB00160,Alanine,SMP0000002
DB00171,ATP,SMP0000002
DB01373,Calcium,SMP0000002
DB03904,Urea,SMP0000002
DB04160,Pyrophosphoric acid,SMP0000002
DB04299,Maleic Acid,SMP0000002
DB00114,Pyridoxal phosphate,SMP0000003
DB00119,Pyruvic acid,SMP0000003
DB00125,Arginine,SMP0000003
DB00128,Aspartic acid,SMP0000003
DB00129,Ornithine,SMP0000003
DB00130,L-Glutamine,SMP0000003
DB00131,Adenosine phosphate,SMP0000003
DB00142,Glutamic acid,SMP0000003
DB00155,Citrulline,SMP0000003
DB00157,NADH,SMP0000003
DB00160,Alanine,SMP0000003
DB00171,ATP,SMP0000003
DB01373,Calcium,SMP0000003
DB03904,Urea,SMP0000003
DB04160,Pyrophosphoric acid,SMP0000003
DB04299,Maleic Acid,SMP0000003
DB00114,Pyridoxal phosphate,SMP0000004
DB00116,Tetrahydrofolic acid,SMP0000004
DB00118,Ademetionine,SMP0000004
DB00119,Pyruvic acid,SMP0000004
DB00125,Arginine,SMP0000004
DB00131,Adenosine phosphate,SMP0000004
DB00133,Serine,SMP0000004
DB00134,Methionine,SMP0000004
DB00142,Glutamic acid,SMP0000004
DB00145,Glycine,SMP0000004
DB00148,Creatine,SMP0000004
DB00151,Cysteine,SMP0000004
DB00157,NADH,SMP0000004
DB00160,Alanine,SMP0000004
DB00171,ATP,SMP0000004
DB00855,Aminolevulinic acid,SMP0000004
DB01378,Magnesium cation,SMP0000004
DB01593,Zinc,SMP0000004
DB02083,"N,N-dimethylglycine",SMP0000004
DB02751,Glycocyamine,SMP0000004
DB02951,3-Hydroxypyruvic Acid,SMP0000004
DB02957,Orotidine-5'-Monophosphate,SMP0000004
DB03147,Flavin adenine dinucleotide,SMP0000004
DB03587,Pyruvaldehyde,SMP0000004
DB03843,Formaldehyde,SMP0000004
DB03915,2-Amino-3-Ketobutyric Acid,SMP0000004
DB03929,D-Serine,SMP0000004
DB04160,Pyrophosphoric acid,SMP0000004
DB04343,Glyoxylic acid,SMP0000004
DB04522,Dexfosfoserine,SMP0000004
DB04553,2-Oxobutanoic Acid,SMP0000004
DB00114,Pyridoxal phosphate,SMP0000006
DB00118,Ademetionine,SMP0000006
DB00126,Ascorbic acid,SMP0000006
DB00128,Aspartic acid,SMP0000006
DB00135,Tyrosine,SMP0000006
DB00142,Glutamic acid,SMP0000006
DB00157,NADH,SMP0000006
DB00360,Sapropterin,SMP0000006
DB00368,Norepinephrine,SMP0000006
DB00668,Epinephrine,SMP0000006
DB00988,Dopamine,SMP0000006
DB01235,Levodopa,SMP0000006
DB01373,Calcium,SMP0000006
DB01378,Magnesium cation,SMP0000006
DB01592,Iron,SMP0000006
DB01593,Zinc,SMP0000006
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",SMP0000006
DB01762,Acetoacetic Acid,SMP0000006
DB01828,Methylamine,SMP0000006
DB02232,"1,2-Dihydroxybenzene",SMP0000006
DB03147,Flavin adenine dinucleotide,SMP0000006
DB03205,Pyrroloquinoline Quinone,SMP0000006
DB04299,Maleic Acid,SMP0000006
DB07718,3-(4-HYDROXY-PHENYL)PYRUVIC ACID,SMP0000006
DB08327,"2-(3,6-DIHYDROXYPHENYL)ACETIC ACID",SMP0000006
DB00114,Pyridoxal phosphate,SMP0000009
DB00116,Tetrahydrofolic acid,SMP0000009
DB00117,Histidine,SMP0000009
DB00119,Pyruvic acid,SMP0000009
DB00121,Biotin,SMP0000009
DB00128,Aspartic acid,SMP0000009
DB00130,L-Glutamine,SMP0000009
DB00131,Adenosine phosphate,SMP0000009
DB00133,Serine,SMP0000009
DB00142,Glutamic acid,SMP0000009
DB00145,Glycine,SMP0000009
DB00157,NADH,SMP0000009
DB00171,ATP,SMP0000009
DB00174,Asparagine,SMP0000009
DB01378,Magnesium cation,SMP0000009
DB01971,trans-urocanic acid,SMP0000009
DB03147,Flavin adenine dinucleotide,SMP0000009
DB04160,Pyrophosphoric acid,SMP0000009
DB00114,Pyridoxal phosphate,SMP0000012
DB00118,Ademetionine,SMP0000012
DB00126,Ascorbic acid,SMP0000012
DB00135,Tyrosine,SMP0000012
