Organisation Name,Dept,Service Cat Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,FST CONSUMABLES LIMITED,A0000004, 23/07/2015,�110.10,PCO0263455,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,ATS EUROMASTER LTD,A0000009, 16/07/2015,�10.80,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 16/07/2015,�16.67,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 16/07/2015,�143.25,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 16/07/2015,�11.50,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 16/07/2015,�14.22,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 16/07/2015,�16.67,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 16/07/2015,�18.26,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 16/07/2015,�12.34,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 16/07/2015,�18.26,PCO0263279,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,ARCO,A0000176, 30/07/2015,�25.20,PCO0263681,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�45.24,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�45.24,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�45.24,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�45.24,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�164.64,PCO0262939,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�4.66,PCO0262939,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�31.75,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�83.55,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�16.00,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�28.99,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 02/07/2015,�28.99,PCO0262938,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARNES JB LIMITED,A0000202, 16/07/2015,�1.88,PCO0263194,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 23/07/2015,�1.94,PCO0263470,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 23/07/2015,�3.55,PCO0263470,No,N/A,N,n/A,
