Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,24-Mar-17,SERVICES  - AUDIT,Directorate of Finance and Procurement,KPMG LLP,5501380289,30000
Department of Health,Salisbury NHS Foundation Trust,24-Mar-17,SERVICES  - AUDIT,Directorate of Finance and Procurement,KPMG LLP,5501380289,6000
Department of Health,Salisbury NHS Foundation Trust,24-Mar-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14515,46716.76
Department of Health,Salisbury NHS Foundation Trust,24-Mar-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14515,6653.11
Department of Health,Salisbury NHS Foundation Trust,24-Mar-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14515,9343.35
Department of Health,Salisbury NHS Foundation Trust,24-Mar-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14515,1330.62
Department of Health,Salisbury NHS Foundation Trust,13-Mar-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929500984,182813
Department of Health,Salisbury NHS Foundation Trust,13-Mar-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929500984,36562.6
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,ADULTS HEARING AIDS,Surgery,NHS LOGISTICS,1017193275A,5.21
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,MEDSURGCONS - OTHER,Surgery,NHS LOGISTICS,1017193275A,45.82
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,ADULTS HEARING AIDS,Surgery,NHS LOGISTICS,1017193275A,2217.75
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,MEDSURGCONS - OTHER,Clinical Support and Family Services,NHS LOGISTICS,1017193275A,38.81
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,MEDSURGCONS - OTHER,Clinical Support and Family Services,NHS LOGISTICS,1017193275A,45.82
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Clinical Support and Family Services,NHS LOGISTICS,1017193275A,5.53
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities Directorate,NHS LOGISTICS,1017193275A,7.95
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities Directorate,NHS LOGISTICS,1017193275A,12.45
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities Directorate,NHS LOGISTICS,1017193275A,5.48
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,MEDSURGCONS - OTHER,Clinical Support and Family Services,NHS LOGISTICS,1017193275A,267.8
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,MEDSURGCONS - OTHER,Critical care,NHS LOGISTICS,1017193275A,77.62
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,MEDSURGCONS - OTHER,Clinical Support and Family Services,NHS LOGISTICS,1017193275A,482.24
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,OTHER MEDICAL SUPPLIES,Surgery,NHS LOGISTICS,1017193275A,129.8
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,M & S EQUIPELECTEQUIPINST - OTHER,Surgery,NHS LOGISTICS,1017193275A,275.51
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,SURGICAL INSTRUMENTS: GENERAL,Surgery,NHS LOGISTICS,1017193275A,86.1
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,M & S EQUIPELECTEQUIPINST - OTHER,Clinical Support and Family Services,NHS LOGISTICS,1017193275A,312.5
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,ADULTS HEARING AIDS,Surgery,NHS LOGISTICS,1017193275A,2669.58
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,SURGICAL INSTRUMENTS: GENERAL,Surgery,NHS LOGISTICS,1017193275A,110.91
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities Directorate,NHS LOGISTICS,1017193275A,91.2
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,OTHER MEDICAL SUPPLIES,Critical care,NHS LOGISTICS,1017193275A,4.76
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,MEDSURGCONS - OTHER,Critical care,NHS LOGISTICS,1017193275A,7.75
Department of Health,Salisbury NHS Foundation Trust,03-Mar-17,MEDSURGCONS - OTHER,Critical care,NHS LOGISTICS,1017193275A,5.32
