OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,StartDate,EndDate,ReviewDate,Appraisaldate,Displayuntildate,ExtensionPeriod,ExtensionsTaken,EstimatedValue,IrrecoverableVAT,SupplierName,ContactName,ProcessType,OJEU,Framework type,Keywords
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190761 (CONTRACT-9RAJ-TC4E88),10 Primary Schools PFI Contract,Childrens Services,"The design, construction, servicing and maintenance of ten primary schools in 
Leeds.",22/04/2004,31/07/2031,31/07/2029,,31/08/2031,0,0,"�145,000,000.00",�0.00,Please view tab 2 on excel contract register,Alex MacLeod,Not provided,No,N/A,"school, construction, primary, pfi"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201385 (CONTRACT-ACWL-LPSOYU),17st Minibuses,Strategy and Resources,Supply of up to 7No. 17st Minibuses.,12/12/2016,11/06/2017,11/05/2017,,11/07/2017,0,0,"�170,313.78",�0.00,Please view tab 2 on excel sheet,Mr Karl Woolveridge,RFQ,No,N/A,"Minibus, Vehicle"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN228168,200304 Staffplan Support and Maintenance,Adult Social Care,Staffplan Support and Maintenance,15/12/2016,14/12/2017,14/10/2017,,14/01/2018,0,0,"�14,166.75",�0.00,Please view tab 2 on excel sheet,Ms Alison Griffiths,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN187133 (CONTRACT-9HQD-7HPGSJ),2202-15 Street Lighting Materials,ENS Procurement & Supplies,"This framework is for the supply of Street Lighting Materials (Lanterns and Columns) to the East Riding of Yorkshire Council and North Lincolnshire Council. All other local authorities within the Yorkshire and Humber Region are able to access this framework through the use of call offs. This framework will run from 1st October 2015 � 30th September 2019.
The contract is split into 18 Lots:
Lot A1 - Lanterns
Lot A2 - Lamps
Lot A3 - Ballasts
Lot A4 - Photocell Units
Lot A5 - Beacons and Bollards
Lot A6 - Sign Lanterns
Lot A7 - Cable Joints
Lot A8 - Cut Outs and Associated Equipment
Lot A9 - Straight Sign Post Tube and Associated Equipment
Lot A10 - Fuses
Lot A11 - Earthing
Lot A12 - Miscellaneous
Lot A13 - Columns & Brackets
Lot A14 - Ducting
Lot A15 - Retention Socket Equipment
Lot A16 - Chamber Equipment
Lot A17 - Pole / Wall Bracket
Lot B1 � North Lincolnshire Council Requirements",01/10/2015,30/09/2019,30/03/2019,,30/09/2019,0,0,"�16,000,000.00",�0.00,Please view tab 2 on excel sheet,Andrew Brown,Not provided,Yes,N/A,"Street, Lighting, Materials"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190742 (CONTRACT-9R9P-S2ZG07),7 Schools PFI Contract,Childrens Services,"Design, build, finance, operate and maintain of five primary schools and two 
secondary schools.",31/10/2001,31/07/2030,31/07/2028,,31/08/2030,0,0,"�172,000,000.00",�0.00,Please view tab 2 on excel sheet,Alex MacLeod,Not provided,No,N/A,"PFI, School, build"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN206055 (CONTRACT-YORE-95AJ2Y),"8x4, 32tne GVW 4200 gallon Tipping Vacuum Tanker",Strategy and Resources,"8x4, 32tne GVW 4200 gallon Tipping Vacuum tanker",01/07/2013,30/06/2018,31/12/2017,,31/08/2018,0,0,"�60,000.00",�0.00,Please view tab 2 on excel sheet,Carl Snowden,Not provided,No,N/A,"Tanker, Vehicle, Tipping"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194684 (CONTRACT-9YPK-XM0AYX),902-16 Supply and Application of Bituminous Based Binder Products in Highway Maintenance,ENS Procurement & Supplies,"This is a contract for the East Riding of Yorkshire Council for Supply and Application of Bituminous Based Binder Products in Highway Maintenance (902-16). 
This contract is split into 4 Lots: 
 Lot 1 � Roadmaster Binder Supply only 
 Lot 2 � Supply and Application of Bituminous Bond Coat 
Lot 3 � Slurry seal binder Supply only 
 Lot 4 � Supply and Application of Binders suitable for Surface Dressing  
You can now register an interest and access all of the documents. The submission deadline is Wednesday 25th November at 12noon 
Should you any questions or queries please do not hesiate to contcat the Contract Manager on the details below",17/02/2016,16/02/2018,30/08/2017,,16/02/2018,12,0,"�6,500,000.00",�0.00,Please view tab 2 on excel sheet,Mr Andrew Brown,RFQ,Yes,Framework,"Supply, Apply, Dressing, Bituminous"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN230289,A community dance programme for children and young people,Public Health,A community dance programme for children and young people,01/04/2017,30/09/2017,01/06/2017,,01/11/2017,6,0,"�39,260.00",�0.00,Please view tab 2 on excel sheet,Ms Jan Burkhardt,RFQ,No,N/A,"Dance, Children, Young"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN230307,A physical activity programme for children at risk of overweight or obesity,Public Health,A physical activity programme for children at risk of overweight or obesity,01/04/2017,30/09/2017,01/06/2017,,01/11/2017,6,0,"�34,750.00",�0.00,Please view tab 2 on excel sheet,Ms Jan Burkhardt,RFQ,No,N/A,"Physical, Activity, Overweight, Obesity, Active, Clubs"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201568 (CONTRACT-ADDB-GWLRG0),Accommodation by Kibble Education and Care Centre (Quasi),N/A,Accommodation by Kibble Education and Care Centre,01/07/2016,31/08/2017,31/07/2017,,31/08/2017,12,0,"�28,000.00",�0.00,Please view tab 2 on excel sheet,Iain Dunn,Not provided,No,N/A,"Accommodation, Kibble"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201565 (CONTRACT-ADDA-TLYTXS),Accomodation by Inspire Supported Accomodation Ltd,N/A,Accomodation by Inspire Supported Accomodation Ltd,01/06/2016,31/08/2017,31/07/2017,,31/08/2017,0,0,"�50,000.00",�0.00,Please view tab 2 on excel sheet,Iain Dunn,Not provided,No,N/A,"Accomodation, Supported, Inspire"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195076 (CONTRACT-9ZDD-8L78X9),Adult Social Care - Complaints Training,Adult Social Care,,26/10/2015,25/09/2018,31/03/2018,,25/10/2018,12,0,"�45,000.00",�0.00,Please view tab 2 on excel sheet,Judith Kasolo,Not provided,No,N/A,"Adult, Social, Care, Complaints, Training"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN256988,ADVENTURE Marketing Collateral Design,City Development,ADVENTURE Marketing Collateral Design,15/05/2017,17/05/2019,03/12/2018,,17/06/2019,N/A,0,"�25,000.00",�0.00,Please view tab 2 on excel sheet,Ms Daneile Moore,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN206463 (CONTRACT-YORE-96DJ4Q),Advocacy Support and Services,Adult Social Care,Advocacy Support and Services,02/04/2013,31/03/2018,01/10/2016,,31/05/2018,12,0,"�5,349,517.00",�0.00,Please view tab 2 on excel sheet,Ms Louise Morgan,RFQ,No,N/A,advocacy
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN251759,AET license,Childrens Services,AET license,01/04/2017,31/03/2018,31/12/2017,,31/03/2018,N/A,0,"�8,000.00",�0.00,Please view tab 2 on excel sheet,Mr Kasim Mahmood,RFQ,No,N/A,"AET, Training"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN251870,After Adoption � Safebase,Childrens Services,After Adoption � Safebase,01/04/2017,31/03/2019,01/10/2018,,31/03/2019,N/A,0,"�60,000.00",�0.00,Please view tab 2 on excel sheet,Ms Helen Stevens,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN234696,Age UK Information and Advice Service,Public Health,"The information and advice service provides older people, their families, carers, representatives and professionals with accessible, free, impartial and up-to-date information and support in accessing health and wellbeing information.",01/04/2017,31/03/2018,01/09/2017,01/09/2017,30/04/2018,0,0,"�10,300.00",�0.00,Please view tab 2 on excel sheet,Mrs Paula Hales,RFQ,No,N/A,"Information, Advice, Health, Wellbeing"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN247503,Alternative Fuels Vehicle Filling Stations,"Projects, Programmes & Procurement Unit","A study to identify the demand for alternative fuel infrastructure and crucially, where this should be implemented in order to deliver maximum returns on any investment.",29/05/2017,15/08/2017,01/08/2017,,15/09/2017,0,0,"�59,950.00",�0.00,Please view tab 2 on excel sheet,Mr Daniel Smith,RFQ,No,N/A,"Consultancy, fleets, sustainability"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN205915 (CONTRACT-YORE-94VJU7),Annual Ground Investigation 2013-2014,City Development,Annual Ground Investigation 2013-2014,27/06/2013,26/06/2017,31/10/2016,,26/06/2017,12,3,"�725,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Anne Sweeting,RFQ,No,Framework,"Highways, Ground, Investigation"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN191776 (CONTRACT-9T9M-UEC4L5),Annual Membership Fees for Inclusion North (Quasi),N/A,Annual membership fee for Inclusion North CIC,01/10/2014,30/09/2017,30/09/2017,,31/10/2017,0,0,"�45,951.00",�0.00,Please view tab 2 on excel sheet,Tony Bailey,Not provided,No,N/A,"Inclusion, Membership, Fee"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197496 (CONTRACT-A6CM-HWNZXJ),Annual Site Inspections by the Care Quality Commission (Quasi),Adult Social Care,"Quasi contract for annual site inspections undertaken by the Care Quality 
Commission at various locations in Leeds.",01/12/2015,31/03/2020,31/01/2020,,30/04/2020,1,0,"�181,820.00",�0.00,Please view tab 2 on excel sheet,Mr Tony Bailey,RFQ,No,N/A,"Social, Residential, Statutory, Insepction, CQC, Adult"
