Organisation Name,Effective Date,Service,Supplier Name,Date Paid,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,23/03/2016,EARLY HELP AND SCHOOLS,RICOH UK LTD,23/03/2016,"-£2,150.47",REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,RICOH UK LTD,23/03/2016,"-£1,837.65",REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,RICOH UK LTD,23/03/2016,"-£1,735.65",REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,RICOH UK LTD,23/03/2016,"-£1,232.83",REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,PHYSICAL DIS & OLDER PEOPLE,RICOH UK LTD,23/03/2016,-£722.67,REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,FINANCE SERVICES,RICOH UK LTD,23/03/2016,-£695.26,REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,RICOH UK LTD,23/03/2016,-£640.30,REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,EARLY HELP AND SCHOOLS,RICOH UK LTD,23/03/2016,-£631.33,REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,CHILDREN’S SOCIAL CARE,RICOH UK LTD,23/03/2016,-£616.94,REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,FINANCE SERVICES,RICOH UK LTD,23/03/2016,-£570.71,REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,PHYSICAL DIS & OLDER PEOPLE,RICOH UK LTD,23/03/2016,-£537.69,REPROGRAPHIC EXPENSES,V000878283
ROCHDALE BOROUGH COUNCIL,23/03/2016,EARLY HELP AND SCHOOLS,RICOH UK LTD,23/03/2016,"£1,242.77",REPROGRAPHIC EXPENSES,V000878299
ROCHDALE BOROUGH COUNCIL,23/03/2016,FINANCE SERVICES,RICOH UK LTD,23/03/2016,£748.40,REPROGRAPHIC EXPENSES,V000878300
ROCHDALE BOROUGH COUNCIL,23/03/2016,EARLY HELP AND SCHOOLS,RICOH UK LTD,23/03/2016,"£1,043.67",REPROGRAPHIC EXPENSES,V000878301
ROCHDALE BOROUGH COUNCIL,23/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,RICOH UK LTD,23/03/2016,£600.00,TRANSACTIONS-EXPENDITURE,V000882076
ROCHDALE BOROUGH COUNCIL,23/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,RICOH UK LTD,23/03/2016,"£3,090.00",TRANSACTIONS-EXPENDITURE,V000882109
ROCHDALE BOROUGH COUNCIL,23/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,RICOH UK LTD,23/03/2016,£600.00,TRANSACTIONS-EXPENDITURE,V000885479
ROCHDALE BOROUGH COUNCIL,23/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,RICOH UK LTD,23/03/2016,"£1,755.00",TRANSACTIONS-EXPENDITURE,V000885482
ROCHDALE BOROUGH COUNCIL,04/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,STRAIGHT MANUFACTURING LTD,04/03/2016,"£6,708.96",PURCHASE OF OTHER EQUIPMENT,V000957807
ROCHDALE BOROUGH COUNCIL,04/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,STRAIGHT MANUFACTURING LTD,04/03/2016,£826.62,PURCHASE OF OTHER EQUIPMENT,V000968291
ROCHDALE BOROUGH COUNCIL,04/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,STRAIGHT MANUFACTURING LTD,04/03/2016,"£1,850.91",PURCHASE OF OTHER EQUIPMENT,V000968291
ROCHDALE BOROUGH COUNCIL,04/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,STRAIGHT MANUFACTURING LTD,04/03/2016,"£38,815.20",PURCHASE OF OTHER EQUIPMENT,V000968292
ROCHDALE BOROUGH COUNCIL,15/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,TRINITY MIRROR PUBLISHING LTD,15/03/2016,£700.91,ADVERTISING,V000969934
ROCHDALE BOROUGH COUNCIL,02/03/2016,PUBLIC HEALTH,THE PENNINE ACUTE HOSPITALS NHS TRUST,02/03/2016,"£14,969.00",PH OTHER CONTRACTS,V000975371
ROCHDALE BOROUGH COUNCIL,07/03/2016,PUBLIC HEALTH,LGBT FOUNDATION,07/03/2016,"£2,040.00",SERVICE LEVEL AGREEMENTS,V000975644
ROCHDALE BOROUGH COUNCIL,14/03/2016,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,14/03/2016,£910.00,AGENCY STAFF,V000975690
ROCHDALE BOROUGH COUNCIL,01/03/2016,EARLY HELP AND SCHOOLS,LANCASHIRE COUNTY COUNCIL,01/03/2016,"£18,275.00",OTHER EST - SEN PROVISION,V000977967
ROCHDALE BOROUGH COUNCIL,07/03/2016,PUBLIC HEALTH,PENNINE CARE NHS,07/03/2016,£833.00,PH PENNINE CARE CONTRACT,V000978012
ROCHDALE BOROUGH COUNCIL,07/03/2016,PUBLIC HEALTH,PENNINE CARE NHS,07/03/2016,"£10,903.00",PH PENNINE CARE CONTRACT,V000978012
ROCHDALE BOROUGH COUNCIL,07/03/2016,PUBLIC HEALTH,PENNINE CARE NHS,07/03/2016,"£107,801.00",PH PENNINE CARE CONTRACT,V000978012
ROCHDALE BOROUGH COUNCIL,07/03/2016,PUBLIC HEALTH,PENNINE CARE NHS,07/03/2016,"£4,565.00",PH PENNINE CARE CONTRACT,V000978013
ROCHDALE BOROUGH COUNCIL,07/03/2016,PUBLIC HEALTH,PENNINE CARE NHS,07/03/2016,"£365,212.00",PH PENNINE CARE CONTRACT,V000978013
ROCHDALE BOROUGH COUNCIL,08/03/2016,EARLY HELP AND SCHOOLS,REAL TRUST,08/03/2016,"£9,575.00",ACTIVITIES,V000978034
ROCHDALE BOROUGH COUNCIL,01/03/2016,EARLY HELP AND SCHOOLS,LANCASHIRE COUNTY COUNCIL,01/03/2016,"£14,175.00",OTHER EST - SEN PROVISION,V000978046
ROCHDALE BOROUGH COUNCIL,01/03/2016,EARLY HELP AND SCHOOLS,LANCASHIRE COUNTY COUNCIL,01/03/2016,"£5,975.00",OTHER EST - SEN PROVISION,V000978047
ROCHDALE BOROUGH COUNCIL,01/03/2016,EARLY HELP AND SCHOOLS,LANCASHIRE COUNTY COUNCIL,01/03/2016,"£8,025.00",OTHER EST - SEN PROVISION,V000978048
ROCHDALE BOROUGH COUNCIL,08/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,THE BOND BOARD LIMITED,08/03/2016,"£17,500.00",GRANTS TO OTHER BODIES,V000978051
ROCHDALE BOROUGH COUNCIL,04/03/2016,EARLY HELP AND SCHOOLS,THE UNIVERSITY OF MANCHESTER,04/03/2016,"£5,322.00",BASIC SALARIES,V000978069
ROCHDALE BOROUGH COUNCIL,01/03/2016,PUBLIC HEALTH,STOCKPORT NHS FOUNDATION TRUST,01/03/2016,£554.04,PH OTHER CONTRACTS,V000978094
ROCHDALE BOROUGH COUNCIL,08/03/2016,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD,08/03/2016,"£113,901.28",IMPROVEMENTS-MODERNISATION,V000978128
ROCHDALE BOROUGH COUNCIL,14/03/2016,EARLY HELP AND SCHOOLS,ACCESS EXPEDITIONS,14/03/2016,£516.00,PROJECTS,V000978219
ROCHDALE BOROUGH COUNCIL,08/03/2016,EARLY HELP AND SCHOOLS,REDACTED-PERSONAL DATA,08/03/2016,"£1,768.65",RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000978278
ROCHDALE BOROUGH COUNCIL,02/03/2016,EARLY HELP AND SCHOOLS,DEEPLISH ACADEMY,02/03/2016,"£5,330.00",RENTS,V000978298
ROCHDALE BOROUGH COUNCIL,04/03/2016,CHILDREN’S SOCIAL CARE,BURY MBC,04/03/2016,"£1,000.00",TRAINING,V000978353
ROCHDALE BOROUGH COUNCIL,04/03/2016,LEARNING DIS & MENTAL HEALTH,DB ROCHDALE LTD,04/03/2016,£825.00,PERSONAL BUDGETS - MANAGED,V000978517
ROCHDALE BOROUGH COUNCIL,04/03/2016,LEARNING DIS & MENTAL HEALTH,DB ROCHDALE LTD,04/03/2016,"£1,254.75",PERSONAL BUDGETS - MANAGED,V000978521
ROCHDALE BOROUGH COUNCIL,10/03/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE BOROUGHWIDE HOUSING,10/03/2016,"£1,001.04",EXPENSES - GENERAL,V000978522
ROCHDALE BOROUGH COUNCIL,10/03/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE BOROUGHWIDE HOUSING,10/03/2016,"£1,001.04",EXPENSES - GENERAL,V000978523
ROCHDALE BOROUGH COUNCIL,08/03/2016,CHILDREN’S SOCIAL CARE,ROCHDALE BOROUGHWIDE HOUSING,08/03/2016,"£1,668.16",YOUNG PEOPLES RENTS,V000978784
ROCHDALE BOROUGH COUNCIL,02/03/2016,BETTER CARE FUND POOLED BUDGET,THE PENNINE ACUTE HOSPITALS NHS TRUST,02/03/2016,"£458,333.00",CONTRACTS,V000978795
ROCHDALE BOROUGH COUNCIL,09/03/2016,EARLY HELP AND SCHOOLS,REAL TRUST,09/03/2016,"£3,250.00",ACTIVITIES,V000978799
ROCHDALE BOROUGH COUNCIL,07/03/2016,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,07/03/2016,£870.00,TRAINING,V000979051
ROCHDALE BOROUGH COUNCIL,07/03/2016,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,07/03/2016,£870.00,TRAINING,V000979052
ROCHDALE BOROUGH COUNCIL,07/03/2016,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,07/03/2016,£870.00,TRAINING,V000979053
ROCHDALE BOROUGH COUNCIL,07/03/2016,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,07/03/2016,£870.00,TRAINING,V000979071
ROCHDALE BOROUGH COUNCIL,07/03/2016,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,07/03/2016,£870.00,TRAINING,V000979072
ROCHDALE BOROUGH COUNCIL,07/03/2016,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,07/03/2016,£870.00,TRAINING,V000979073
ROCHDALE BOROUGH COUNCIL,07/03/2016,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,07/03/2016,£870.00,TRAINING,V000979074
ROCHDALE BOROUGH COUNCIL,14/03/2016,EARLY HELP AND SCHOOLS,ROCHDALE CONNECTION TRUST,14/03/2016,"£1,500.00",PROJECTS,V000979149
ROCHDALE BOROUGH COUNCIL,09/03/2016,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,09/03/2016,"£1,200.00",SOFTWARE,V000979169
ROCHDALE BOROUGH COUNCIL,11/03/2016,PUBLIC HEALTH,GEORGE HOUSE TRUST,11/03/2016,"£1,414.59",PH BUSINESS CASES,V000979191
ROCHDALE BOROUGH COUNCIL,11/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,11/03/2016,"£9,790.13",CONTRACTED SERVICES,V000979199
