Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Director Of Safer & Stronger Communities,"Adj 67 Rustic, Piece Hall, Halifax, HX1 1RE",68252724,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",4750,Shop and Premises,Listed Building
,"Holme Street Arts Centre, Holme Street, Hebden Bridge, HX7 8EE",76292701,,4350,Community Centre And Premises,Flood Relief Application 2015/16
Halifax Wireform Co Ltd,"Calder Mill, Stubbing Holme, Hebden Bridge, HX7 6LQ",76524700,"Birch House, Scout Bottom Lane, Mytholmroyd, HX7 5JS",35250,Workshop And Premises,Flood Relief Application 2015/16
,"Unit 2, New Oxford House, Albert Street, Hebden Bridge       HX7 8AH",76012720,,6700,Offices and Premises,Flood Relief Application 2015/16
,"Constitutional Club, 6 Albert Street, Hebden Bridge, HX7 8AH",76012712,,5100,Club and Premises,Flood Relief Application 2015/16
,"Basement Carlton Hotel, Crown Street, Hebden Bridge, HX7 8EH",76176722,,10700,Public House and Premises,Flood Relief Application 2015/16
Monte Carlo Cafe,"1st 2nd & 3rd Floors, 19 Crossley Street, Halifax, HX1 1UG",64748705,"19 Crossley Street, Halifax, HX1 1UG",2475,Store And Premises,Listed Building
John David Group Plc,"10 Corn Market, Halifax, HX1 1TH",64688010,"Hollinsbrook Way, Pilsworth, Bury, Lancs., BL9 8RR",28500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Exley Gardens, Halifax, HX3 9EE",65048700,,1175,Shop and Premises,Rateable Value below threshold
Calderdale Mbc,"48 Arcade, Piece Hall, Halifax, HX1 1RE",68252771,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2475,Shop and Premises,Listed Building
Calderdale Mbc Community Services,"57 Arcade, Piece Hall, Halifax, HX1 1RE",68252764,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",1000,Store And Premises,Listed Building
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 9, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388709,"Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",1250,Office,Rateable Value below threshold
Calderdale Mbc Adults Health And Social Care,"Council Offices, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",77276709,"Attn Janet Green, 1 Park Road, Halifax, HX1 2TU",12250,Offices and Premises,Empty Relief - Post 01/04/2008
Heathleigh Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220770,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",335,Workshop And Premises,Rateable Value below threshold
J Speak & Co Ltd,"Unit 3, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772724,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4300,Workshop And Premises,Empty Relief - Post 01/04/2008
Everything Everywhere Ltd,"Telecommunication Mast, Ref WYK70402 Ainley Bottom, Huddersfield Road, Elland               HX5 9JP",56132836,"C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",2800,Communication Station and Premises,Unoccupied Land
