Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BXN41528,, Independent Visitors' Scheme,,CHILDREN'S SERVICES,,, Independent Visitors' Scheme,"INFORMATION, ADVICE AND ADVOCACY",Welfare services for children and young people,,,,01/04/2012,31/03/2018,,31/03/2018,662058,,,ACTION FOR CHILDREN SERVICES LIMITED,2332388,,85143,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BAN42152,, NT&AS (National Teaching & Advisory Service) virtual School for Children in Care CF553,OTHER,CHILDREN'S SERVICES,,, NT&AS (National Teaching & Advisory Service) virtual School for Children in Care CF553,SCHOOLS-PROFESSIONAL,Special education services,,,,27/11/2013,,,,165250,,,NT&AS,,,75491,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,APN50467,,2 x Celestix appliances and  implementation consultancy services,OTHER,POLICY AND RESOURCES,,,2 x Celestix appliances and  implementation consultancy services,,,,,,21/03/2017,31/03/2019,,31/03/2019,51556.7123287671,,,RISUAL LTD,,,2260324,,,,Procurement systems team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,APN50148,,2 x MA Early Childhood Education courses,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,2 x MA Early Childhood Education courses,,,,,,10/12/2016,30/06/2018,,30/06/2018,13204.1095890411,,,UNIVERSITY OF SHEFFIELD,,,75866,,,,Procurement systems team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,APN50754,,6mm Granite Chippings,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,6mm Granite Chippings,HIGHWAYS-SUPPLIES & EQUIPMENT,,,,,21/05/2017,22/02/2018,,22/02/2018,34580.3081369863,,,AGGREGATE INDUSTRIES UK LIMITED,245717,,80532,,,,Procurement systems team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,APN50616,,Academy conversion support,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Academy conversion support,,,,,,07/04/2017,06/04/2018,,06/04/2018,10386.2663013699,,,SPIRE SOLICITORS LLP,OC385119,,1200760,,,,Procurement systems team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51500,,Accommodation Based Support LTR Framework (Archway),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Archway),HOUSING-RELATED & FLOATING SUPPORT,,,,,,,,,,,,Home Group Ltd,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51511,,Accommodation Based Support LTR Framework (Aspire),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Aspire),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,479129.28,,,The Benjamin Foundation,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51501,,Accommodation Based Support LTR Framework (Aspland Road),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Aspland Road),HOUSING-RELATED & FLOATING SUPPORT,,,,,,,,,,,,Home Group Ltd,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51497,,Accommodation Based Support LTR Framework (Bauleah House),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Bauleah House),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,890306.68,,,Herring House Trust,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51505,,Accommodation Based Support LTR Framework (Bishopbridge House),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Bishopbridge House),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,1178192.24,,,St Martin's Housing Trust,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51506,,Accommodation Based Support LTR Framework (Dibden Road),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Dibden Road),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,532775.76,,,St Martin's Housing Trust,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51512,,Accommodation Based Support LTR Framework (Forward Court),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Forward Court),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,296726.68,,,The Benjamin Foundation,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51515,,Accommodation Based Support LTR Framework (Great Yarmouth CCG),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Great Yarmouth CCG),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/01/2018,31/12/2020,,31/12/2021,510589.2,,,Leeway Domestic Violence and Abuse Service,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51503,,Accommodation Based Support LTR Framework (Hinde House & Hinde Court),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (Hinde House & Hinde Court),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,651066.68,,,Orwell Housing Association Limited,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51502,,Accommodation Based Support LTR Framework (House of Genesis),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (House of Genesis),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,74083.52,,,The House of Genesis,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51495,,Accommodation Based Support LTR Framework (John Room House),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (John Room House),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,403587.84,,,Access Community Trust,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,29/12/2017,BFN51513,,Accommodation Based Support LTR Framework (My Place),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Accommodation Based Support LTR Framework (My Place),HOUSING-RELATED & FLOATING SUPPORT,,,,,01/12/2017,30/11/2020,,30/11/2021,434600.8,,,YMCA Norfolk,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
