Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 07/12/2017,PCO0284734,290,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 07/12/2017,PCO0284734,50,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO,A0057121, 07/12/2017,PCO0284734,750,N,N,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,ACE DOOR SYSTEMS LIMITED,A0091359, 20/12/2017,EST0285055,500,N,N,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,ACE DOOR SYSTEMS LIMITED,A0091359, 20/12/2017,EST0285055,1985,N,N,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ALD AUTOMOTIVES,A0025555, 27/12/2017,AAS0285206,193.24,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 07/12/2017,AAS0284807,10.12,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 07/12/2017,AAS0284810,22.33,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 07/12/2017,AAS0284809,37.55,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 07/12/2017,AAS0284808,93.31,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 07/12/2017,AAS0284806,2381.36,N,N,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Other Expenses,4705,AMEC ENVIRONMENT & INFRASTRUCURE UK LTD,A0046814, 14/12/2017,PBC0284816,2586,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,REDACTED - PERSONAL DATA,A0081761, 14/12/2017,AAS0284958,19.57,N,N,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/12/2017,AAS0285126,144.48,N,N,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/12/2017,AAS0285126,144.48,N,N,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/12/2017,AAS0285126,144.48,N,N,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/12/2017,AAS0285126,144.48,N,N,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/12/2017,AAS0285125,223.88,N,N,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/12/2017,AAS0285125,224.87,N,N,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/12/2017,AAS0285126,144.48,N,N,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,ASPEN VALLEY KENNELS & CATTERY,A0022106, 14/12/2017,OPS0284888,976.03,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,AURORA ACCOUNTING SERVICES,A0089134, 20/12/2017,AAS0285109,1020,N,N,N,N/A
