RATEPAYER,Property Address,PROPREF,RV,Property Description,RELIEF_CODE
Everything Everywhere Ltd,"Telecommunications Mast, Ref WYK0289 Rear Car Auction, Armytage Road, Brighouse            HD6 1XE",29020746,8700,Communication Station and Premises,17
,"Unit 3, Atlas Mill Industrial Estate, Atlas Mill Road, Brighouse            HD6 1ES",29032726,1250,Store And Premises,18
J D Wetherspoon Plc,"8 Bethel Street, Brighouse, HD6 1JN",29048008,8100,Shop and Premises,6
,"R/O 25 Bethel Street, Brighouse, HD6 1JR",29048712,990,Store And Premises,13
,"Room 3/3A 1ST Floor, 47 Bethel Street, Brighouse, HD6 1JR",29048724,860,Store And Premises,13
,"Room 5 & 7, At 47 Bethel Street, Brighouse, HD6 1JR",29048730,2475,Workroom And Premises,13
Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,"Room 2 At, 37 Bethel Street, Brighouse, HD6 1JR",29048735,1375,Offices And Premises,13
Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,"Room 1 At, 37 Bethel Street, Brighouse, HD6 1JR",29048736,2000,Offices And Premises,13
,"Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",29052707,70500,Factory and Premises,21
,"Part Ground Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",29052717,2250,Store And Premises,18
,"Part Ground & Lower Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",29052719,11000,Offices and Premises,21
,"Part Ground Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",29052725,4550,Offices and Premises,21
Birds Royd Property Co Ltd,"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052735,3000,Offices,3
Birds Royd Property Co Ltd,"Office 3 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052747,1700,Offices,3
,"1ST Floor Royds House, Birds Royd Lane, Brighouse, HD6 1LQ",29052753,13750,Offices and Premises,21
Blackshaw Holdings Ltd,"Unit 31 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056713,2000,Store,13
Blackshaw Holdings Ltd,"Unit 32 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056720,1350,Store And Premises,18
Blackshaw Holdings Ltd,"Unit 30 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056726,1975,Offices and Premises,13
,"Bailiff Bridge Activity Cntr, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4EN",29056733,20750,Day Nursery and Premises,21
Blackshaw Holdings Ltd,"Unit 25 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056734,1550,Offices and Premises,13
Blackshaw Holdings Ltd,"Unit 24 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056736,1950,Offices and Premises,18
Blackshaw Holdings Ltd,"Unit 28 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056741,1975,Offices And Premises,13
Blackshaw Holdings Ltd,"Unit 29 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056742,1975,Offices And Premises,13
Blackshaw Holdings Ltd,"Unit 26 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056749,1975,Offices And Premises,13
Blackshaw Holdings Ltd,"Unit 27 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056750,1975,Offices And Premises,13
Blackshaw Holdings Ltd,"Unit 22 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056751,2000,Offices And Premises,13
Blackshaw Holdings Ltd,"Unit 23 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056752,4000,Offices And Premises,21
Blackshaw Holdings Ltd,"Unit 21 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056753,1800,Offices And Premises,13
Blackshaw Holdings Ltd,"Unit 20 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056754,1600,Offices And Premises,13
Alfiman Ltd,"Sovereign House, 8 Bonegate Road, Brighouse, HD6 1SP",29064701,7200,Day Nursery and Premises,21
,"S/0 14 Bottomley Street, Brighouse, HD6 4AR",29072700,1850,Store And Premises,13
Enduring Enterprises Ltd,"10 Bradford Road, Brighouse, HD6 1RW",29080010,11500,Offices and Premises,6
,"25 Bradford Road, Brighouse, HD6 1RW",29080025,14500,Restaurant and Premises,21
Trustees Of Blakeboroughs Social And Sports Club (In Liq),"42 Bradford Road, Brighouse, HD6 1RY",29080042,9300,Club and Premises,8
,"46 Bradford Road, Brighouse, HD6 1RY",29080717,4250,Offices and Premises,21
,"11A Bradford Road, Brighouse, HD6 1RW",29080730,3800,Offices And Premises,21
Insite Poster Properties Ltd,"Advertising Right 2018, 36 Bradford Road, Brighouse, HD6 1RW",29080733,1625,Advertising Right And Premises,18
,"Telecommunications Mast, Site Ref HD0009 N Vale Mills, Bradford Road, Brighouse            HD6 4DJ",29080753,8400,Communication Station and Premises,17
Marrtree Investments Limited,"Unit 23, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29080777,1325,Land Used For Storage and Premises,13
Frank Marshall Estates Ltd,"Unit 11, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29080778,6100,Warehouse And Premises,12
,"R/O 63 Bradford Road, Brighouse, HD6 1RS",29080782,4350,Offices And Premises,3
,"1ST & 2ND Floors, 67 Bradford Road, Brighouse, HD6 1RS",29080783,5500,Offices And Premises,21
Trustees Of J Ilingworth [Deceased],"34 Bradford Road, Brighouse, HD6 1RW",29080794,8000,Shop and Premises,21
Blackhall Engineering Ltd,"Gf U1-2, Ff U1-3, 2 Fl U1, Heaton Industrial Park, Bradford Road, Brighouse            HD6 4DJ",29080800,21500,Workshop And Premises,12
Marrtree Investments Limited,"Unit 10, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084713,5500,Warehouse And Premises,12
Marrtree Investments Limited,"Unit 2, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084719,5900,Workshop And Premises,12
,"Unit 4, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084722,5400,Warehouse And Premises,21
Blackshaw Holdings Ltd,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084810,14500,Offices and Premises,21
Blackshaw Holdings Ltd,"Suite 1 First Floor, Clifton House, Bradford Road, Brighouse            HD6 4JJ",29084811,32250,Offices and Premises,21
Blackshaw Holdings Ltd,"3RD Flr Space Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084814,6200,Factory and Premises,21
Blackshaw Holdings Ltd,"Office 3 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084822,1825,Office,3
Blackshaw Holdings Ltd,"Office 4 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084823,2375,Office,3
Marrtree Investments Limited,"Unit 17, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29084841,7900,Warehouse And Premises,12
Marrtree Investments Limited,"Unit 20, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29084843,7900,Warehouse And Premises,12
Marrtree Investments Limited,"Unit 19, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29084844,7900,Warehouse And Premises,12
Marrtree Investments Limited,"Unit 18, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29084845,7900,Warehouse And Premises,12
Marrtree Investments Limited,"Unit 16, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29084846,7900,Warehouse And Premises,12
