Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17826067,"28,356.03"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17792295,"53,281.34"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,18121309,"75,898.84"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,18211495,"79,565.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,18274549,"83,543.33"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17983880,"91,997.33"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Equip Maint Contracts,Breast Cancer Screening,AGFA HEALTHCARE UK LTD,17745480,"37,895.96"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,ALCURA UK LTD,17984435,"30,988.32"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,ALCURA UK LTD,18274717,"86,276.39"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Childcare,Human Resources,ALLSAVE,SSC DD/PLYMOUTH HOSPITALS,"37,615.10"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Printing Costs,Information Services,ALTODIGITAL NETWORKS LTD,17745504,"119,902.24"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,AMGEN LTD,18211505,"43,567.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Computer Maintenance,Pharmacy Central,ASCRIBE LTD,17725774,"25,833.02"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Rent,Bush Park,ATHERTEAM LTD,18056961,"41,243.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,ATRICURE EUROPE BV,18272309,"30,000.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,BATH ASU,17826099,"32,724.60"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,BATH ASU,18121317,"32,724.60"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,18202895,"-25,122.30"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,18223895,"29,504.38"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,18255342,"33,948.14"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Other Gen Supplies & Srv,Central Other,BAXTER HEALTHCARE LTD,18202893,"-163,499.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Other Gen Supplies & Srv,Central Other,BAXTER HEALTHCARE LTD,18202782,"163,499.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,17674418,"25,122.30"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,18202963,"64,016.64"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,18202866,"80,364.96"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,17998547,"84,923.52"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Medical Gases,Pharmacy Central,BOC LTD,18096918,"31,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Med & Surg Equip General,EPS/Ablations,BOSTON SCIENTIFIC LTD,17881227,"235,557.60"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Blood Products,Clinical Haematology,BUPA HOME HEALTHCARE LTD,17851279,"48,487.63"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,18212548,"28,665.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,18121334,"37,264.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,18121336,"37,800.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,18121342,"37,800.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,18274569,"45,410.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Fixed assets,Balance Sheet,CARL ZEISS LTD,17705801,"33,339.60"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Fixed assets,Balance Sheet,CARL ZEISS LTD,18258811,"154,905.11"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Rent,Bircham House,CCH PROPERTY CO LTD,18287766,"29,640.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,CELGENE LTD,18123538,"69,577.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Fixed assets,Balance Sheet,CJ MEDICAL LTD,18136794,"33,067.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Gas,Energy And Utilities,CORONA ENERGY RETAIL 4 LTD,18099704,"66,833.10"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Computer Software/License,ICT Infrastructure,CSC COMPUTER SCIENCES LTD,18102471,"91,808.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Computer Software/License,ICT Infrastructure,CSC COMPUTER SCIENCES LTD,18102497,"616,880.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Computer Software/License,Healthcare Governance,DATIX LTD,18144744,"53,638.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,X-Ray Equipment Purchase,Breast Cancer Screening,DE LAGE LANDEN LEASING LTD,17678618,"31,109.68"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Electricity,Energy And Utilities,EDF ENERGY,DIRECT DEBIT - EDF ENERGY,"288,761.93"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,17825095,"44,400.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,18003840,"44,400.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,17881010,"66,600.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,18225673,"66,600.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,18225680,"66,600.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,18274603,"84,540.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,17983987,"135,264.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,18121364,"135,264.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,GILEAD SCIENCES LTD,18121367,"52,334.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,GILEAD SCIENCES LTD,18274605,"65,418.13"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,GILEAD SCIENCES LTD,17983992,"130,836.30"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Rent,Radiology Academy Project,GOODSHELTER PROPERTY CO LTD,17767198,"56,054.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Fixed assets,Balance Sheet,HEALTH INSIGHTS TECHNOLOGIES LTD,17921265,"96,000.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,18212604,"27,120.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,18212599,"57,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,18212598,"75,790.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,18274637,"107,250.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,18121385,"162,094.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Computer Maintenance,Nuclear Medicine,HERMES MEDICAL SOLUTIONS LTD,17980130,"25,750.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,14577724,"-120,737.92"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,17850164,"58,788.49"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,14577811,"120,737.92"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Premises Security,Car Parking,INDIGO PARK SERVICES UK LTD,17921709,"43,863.75"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Premises Security,Security,INDIGO PARK SERVICES UK LTD,17850164,"31,649.69"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Other External,Switchboard,INDIGO PARK SERVICES UK LTD,17850164,"29,971.07"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Med & Surg Equip Repair,Urology,INTUITIVE SURGICAL SARL,17920922,"110,000.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Computer Software/License,ICT Infrastructure,KELWAY LTD,18149669,"89,121.72"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Fixed assets,Balance Sheet,KIER CONSTRUCTION WESTERN & WALES,18173784,"35,327.22"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Other External,Retail Pharmacy,LLOYDS PHARMACY LTD,18207201,"-49,183.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Other External,Retail Pharmacy,LLOYDS PHARMACY LTD,18226196,"-33,723.42"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Other External,Retail Pharmacy,LLOYDS PHARMACY LTD,17945613,"1,007,102.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Other Clinical Costs,Radiology,MEDICA REPORTING LTD,18072622,"28,438.30"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Drugs,Pharmacy,MEDICARE PRODUCTS LTD,17943235,"30,422.16"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Fixed assets,Balance Sheet,MONTCALM INTERNATIONAL LTD,18003875,"25,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff Location/Bleeps,ICT Infrastructure,MULTITONE ELECTRONICS PLC,17919194,"33,755.47"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Contr Other External,Central Administration,NETCALL TELECOM LTD,18099945,"77,891.76"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17725797,"90,670.02"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17744685,"108,618.93"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18069021,"110,872.05"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18257613,"112,627.49"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18174244,"116,968.43"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17920940,"117,096.85"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17993379,"134,932.66"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17648190,"145,114.84"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17704347,"179,371.61"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18069177,"182,351.87"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18174340,"187,500.44"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Fixed assets,Balance Sheet,NHS SUPPLY CHAIN,18110132,"31,929.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Fixed assets,Balance Sheet,NHS SUPPLY CHAIN,17943410,"151,380.49"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Consumables,Procurement,NHS SUPPLY CHAIN,18057012,"73,362.63"
Department of Health,Plymouth Hospitals NHS TRUST,31/03/2016,Consumables,Procurement,NHS SUPPLY CHAIN,18287797,"111,081.35"
