DfE No,School,Type of establishment,Number of pupils on roll,No. with English as an additional language,% with English as an additional language
2005,Abbey Park Primary Academy,Academy,213,4,1.9
5201,All Saints' CE (VA) J & I School,LA Maintained,211,18,8.5
2093,Ash Green Community Primary School,LA Maintained,479,9,1.9
2040,Bailiffe Bridge J & I School,LA Maintained,207,10,4.8
3321,Barkisland CE (VA) Primary School,LA Maintained,205,0,0
2019,Beech Hill School,Academy,589,485,82.3
2063,Bolton Brow Primary Academy,Academy,236,9,3.8
2048,Bowling Green Primary School,LA Maintained,159,3,1.9
2004,Bradshaw Primary School,Academy,329,0,0
2053,Burnley Road Academy,Academy,251,5,2
2042,Carr Green Primary School,LA Maintained,348,8,2.3
2068,Castle Hill Primary School,LA Maintained,283,0,0
2054,Central Street Infant & Nursery School,LA Maintained,69,3,4.3
3001,Christ Church (Pellon) CE (VC) Primary School,LA Maintained,191,31,16.2
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),LA Maintained,133,1,0.8
2076,Cliffe Hill Community Primary School,LA Maintained,198,8,4
2059,Colden J & I School,LA Maintained,82,1,1.2
2006,Copley Primary School,LA Maintained,235,5,2.1
2069,"Cornholme J, I & N School",LA Maintained,227,9,4
2055,Cragg Vale J & I School,LA Maintained,48,0,0
2087,Cross Lane Primary and Nursery School,LA Maintained,317,71,22.4
2007,Dean Field Community Primary School,LA Maintained,215,6,2.8
3318,"Elland CE (VA) J, I & N School",LA Maintained,217,11,5.1
2003,Ferney Lee Primary School,LA Maintained,209,52,24.9
2000,Field Lane Primary School,Academy,149,15,10.1
3319,Hebden Royd CE (VA) Primary School,LA Maintained,150,7,4.7
2058,"Heptonstall J, I & N School",LA Maintained,110,0,0
7010,Highbury School,LA Maintained,71,8,11.3
3331,Holy Trinity Primary School (COEA),Academy,410,224,54.6
2050,Holywell Green Primary School,LA Maintained,238,1,0.4
2010,Lee Mount Primary School,LA Maintained,377,28,7.4
5204,Lightcliffe CE (VA) Primary School,LA Maintained,417,10,2.4
2033,"Ling Bob J, I & N School",LA Maintained,367,73,19.9
5207,Longroyde Primary School,LA Maintained,409,45,11
3014,Luddenden CE School,LA Maintained,205,6,2.9
2064,Luddendenfoot Academy,Academy,147,1,0.7
2065,Midgley School,LA Maintained,102,3,2.9
3332,Moorside Community Primary School,LA Maintained,261,8,3.1
2002,Mount Pellon Primary Academy,Academy,539,381,70.7
2066,New Road Primary School,LA Maintained,137,3,2.2
3010,Norland CE (VC) J & I School,LA Maintained,96,0,0
2015,Northowram Primary School,LA Maintained,473,3,0.6
2083,Old Earth School,Academy,464,11,2.4
2075,Old Town Primary School,LA Maintained,104,0,0
2017,Parkinson Lane Community Primary School,LA Maintained,563,550,97.7
2001,"Rawson J, I & N School",LA Maintained,391,38,9.7
2061,Ripponden J & I School,LA Maintained,220,0,0
2082,Riverside Junior School,LA Maintained,155,1,0.6
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),Academy,190,14,7.4
2021,Salterhebble J & I School,LA Maintained,204,21,10.3
5200,Salterlee Academy Trust,Academy,100,0,0
2009,Savile Park Primary School,LA Maintained,282,173,61.3
2056,Scout Road Academy,Academy,102,0,0
2073,Shade Primary School,LA Maintained,227,1,0.4
2060,Shelf J & I School,LA Maintained,313,3,1
2094,Siddal Primary School,Academy,254,18,7.1
2095,Sowerby Village CE (VC) Primary School,LA Maintained,171,2,1.2
3315,St Andrew's CE (VA) Infant School (Brighouse),LA Maintained,168,4,2.4
3314,St Andrew's CE (VA) Junior School (Brighouse),LA Maintained,240,5,2.1
3303,St Augustine's CE (VA) J & I School (Halifax),LA Maintained,179,160,89.4
5206,St Chad's CE (VA) Primary School,LA Maintained,210,1,0.5
5203,"St John's (CE) Primary Academy, Clifton",Academy,208,4,1.9
3322,St John's CE Primary School (Rishworth),Academy,138,0,0
3329,St Joseph's Catholic Primary School (Brighouse),LA Maintained,227,9,4
3305,St Joseph's Catholic Primary School (Halifax),LA Maintained,187,24,12.8
3330,St Joseph's RC Primary School (Todmorden),LA Maintained,138,27,19.6
3306,St Malachy's Catholic Primary School,Academy,200,57,28.5
3308,St Mary's Catholic Primary School (Halifax),LA Maintained,292,141,48.3
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),LA Maintained,104,0,0
5202,St Michael & All Angels CE Primary School,LA Maintained,201,0,0
3327,St Patrick's Catholic Primary School (Elland),LA Maintained,133,10,7.5
2057,Stubbings Infant School,LA Maintained,87,4,4.6
2049,The Greetland Academy,Academy,417,4,1
4035,The Halifax Academy,Academy,120,29,24.2
3326,"Todmorden CE (VA) J, I & N School",LA Maintained,235,12,5.1
3013,Triangle CE (VC) Primary School,LA Maintained,189,2,1.1
2067,Tuel Lane Infant School,LA Maintained,150,3,2
2027,Wainstalls School,Academy,171,1,0.6
5208,Walsden St Peter's CE (VC) Primary School,LA Maintained,173,2,1.2
2028,Warley Road Primary School,LA Maintained,637,508,79.7
2030,Warley Town School,LA Maintained,138,7,5.1
5205,West Vale Primary School,LA Maintained,173,4,2.3
2031,Whitehill Community Academy,Academy,665,12,1.8
2046,Withinfields Primary School,LA Maintained,377,8,2.1
7008,Wood Bank School,LA Maintained,69,29,42
2081,Woodhouse Primary School,LA Maintained,418,11,2.6
,Calderdale (Incl special schools),,"20,693","3,475",16.8
,Calderdale (Excl special schools),,"20,553","3,438",16.7
