"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Land Registry","Chief Exec's Office","1","EO","22687","26938","Communications Support Officer","4.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Exec's Office","1","EO","22687","26938","Project Support Officer","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Chief Exec's Office","1","HEO","26490","33069","Communications Officer","10.62","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Exec's Office","1","SEO","32974","48090","Communications Manager","6.46","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Exec's Office","1","SEO","32974","48090","Project Support Officer","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Chief Exec's Office","1","G7","49369","64109","Private Secretary","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Chief Exec's Office","1","G7","49369","64109","Senior Communications Manager","2.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Exec's Office","1","G6","60383","72816","Executive to the Board","3.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","AO","19399","22459","Computer Operator","9.69","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","EO","22687","26938","IT Support Officer","139.11","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","HEO","26490","33069","IT Officer","131.76","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","SEO","32974","48090","IT Manager","74.56","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G7","49369","64109","Senior IT Manager","10.00","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G6","60383","72816","Senior IT Manager","4.00","Information Technology"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","AO","19399","22459","HR Support Officer","3.62","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22687","26938","HR Officer","12.58","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22687","26938","Assistant Property Asset Manager","0.81","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22687","26938","Facilities Officer","2.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26490","33069","HR Officer","19.49","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26490","33069","Facilities Manager","1.00","Human Resources"
