OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,102/2015,Insulation works as per schedule,ENVIRONMENT & HOUSING,,,27/03/2015,,,,,"8,799.66",,"Rheinegold Contracts Ltd, The Hatchery  Pontefract Road, Hemsworth PONTEFRACT, WF9 5LW",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,343,Proof of Concept,CENTRAL & CORPORATE,214-Computer Software & Equipment,,18/03/2015,,,,,"9,990.00",,"FutureGov Ltd, 45 Beech Street, NULL LONDON, EC2Y 8AD",,Other/Not known,,Angela Ward,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,1074,6 Adverts & 7 weeks Air Time,CITY DEVELOPMENT,206-Books & Audio-Visual Materials,,30/03/2015,,,,,"5,000.00",,"Made Television Ltd, The Media Centre   21 Savile Mount, NULL LEEDS, LS7 3HZ",,Other/Not known,,Ewhen Chymera ,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,RT536526,Access Uk and Ireland News papers - Annual Subscription,CITY DEVELOPMENT,206-Books & Audio-Visual Materials,,05/03/2015,,,,,"6,910.00",,"Newsbank Inc, P O Box 1130    397 Main Street, Chester Vermont  Vt 05143 USA, .",,Other/Not known,,Jacqueline Keane,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,JH/HARLING/103586/1,Legal Fees - Property buy back,ENVIRONMENT & HOUSING,,,06/03/2015,,,,,"92,722.66",,"Watsons Law LLP, 4335 Park Approach, Thorpe Park LEEDS, LS15 8GB",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,6890183679,Lotherton Hall-Herd Farm - Boiler,CENTRAL & CORPORATE,205-Operational Materials,,04/03/2015,,,,,"55,097.31",,"Viessmann, Hortonwood 30, NULL TELFORD, TF1 7UP",,Other/Not known,,Derek Prest,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,2014-2015 FEE,Development of a leaving care pathway plan,CHILDRENS SERVICES,277-Bought In Professional Services,,27/03/2015,,,,,"10,404.00",,"Mike Stein, 13 Crawshaw Road, Pudsey LEEDS, LS28 7UB",,a) Individual,,Rob Murray,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,YES130070,Implementation of Enterprise Advisor Project,CENTRAL & CORP FUNC ADMINIST (NON LCC),265-Other Hired And Contracted Services,,06/03/2015,,,,,"7,200.00",,YPEF Services Ltd C/O Smith Craven  Sidings House Sidings Court  Lakeside DONCASTER DN4  5NU,,Other/Not known,,Lynn Cooper,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,WSD.INV.221,HARDWARE AND SOFTWARE DEVLOP,CITY DEVELOPMENT,214-Computer Software & Equipment,,06/03/2015,,,,,"5,153.87",,Wide Sky Design Limited Strelley Hall  Main Street Strelley NOTTINGHAM NG8 6PE,,Other/Not known,,Dominique Attwood,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,2015055,Partnership Contribution to health commission,CITY DEVELOPMENT,277-Bought In Professional Services,,12/03/2015,,,,,"15,000.00",,West Yorkshire Sport West Yorkshire Joint Services Building Nepshaw Lane South LEEDS LS27 7JQ,,c) Small,,Gill Keddie,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,W0000131,Leeds DIP Qtr 4 Jan -March 15,ENVIRONMENT & HOUSING,521-Services Provided By Other Public Bodies,,24/03/2015,,,,,"40,358.74",,West Yorkshire Community Rehabilitation Finance Dept Cliff Hill House Sandy Walk WAKEFIELD WF1 2DJ,,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,15391,Various Works,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,18/03/2015,,,,,"9,767.91",,WALTER WEST BUILDERS LTD Bank Street Highgate DEWSBURY WF12 7DH,,c) Small,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,LS15001,Software for Call Lane,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,11/03/2015,,,,,"13,850.00",,Videalert Limited Evans House  107 Marsh Road NULL PINNER HA4 9NA,,b) Micro,,Edwige Moutault,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,COMM. CARE 001270,Residential Care,JCS FOR PEOPLE WITH LEARNING DISABILITIE,626-Direct Payments,,11/03/2015,,,,,"7,646.40",,TRUST FOR VERONICA HEZELGRAVE C/O Kelvin Mackrell 16 High Fold LOTHERDALE NORTH YORKSHIRE BD20 8HE,,b) Micro,,Hilary Sedgewick,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,GEN27694,ICT Agency Fees,CENTRAL & CORPORATE,8-Agency Staff,,12/03/2015,,,,,"8,588.00",,Triad Resourcing 37 Sunningdale House Caldecotte Business Park MILTON KEYNES MK7 8LF,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,0602/15,Suspended Ceilings,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,24/03/2015,,,,,"6,118.76",,TITAN NORTHERN LIMITED Mill 7  Mabgate Mills Macaulay Street LEEDS LS9 7SW,,c) Small,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,355,Rosewood table,CITY DEVELOPMENT,271-Contributions To Extended Facilities,,27/03/2015,,,,,"12,000.00",,Thomas Coulborn & Sons Vesey Manor NULL SUTTON COLDFIELD B72 1QP,,Other/Not known,,Yvonne Hardman,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,R0931,Works - Oakwood Clock,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,27/03/2015,,,,,"5,544.00",,The Rhodes Enginering Group Ltd High Street NULL HECKMONDWIKE WF16 0DN,,Other/Not known,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,23682,Record Breakers promotion,CITY DEVELOPMENT,206-Books & Audio-Visual Materials,,27/03/2015,,,,,"6,115.40",,The Reading Agency Ltd Free Word Centre 60 Farrington Road LONDON EC1R 3GA,,c) Small,,Jacqueline Keane,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,57368/57411/57534,"Design of Bodyline Booking form.",CITY DEVELOPMENT,215-Printing,,04/03/2015,,,,,"7,350.00",,The Intergroup Lingerfield Business Park Scotton KNARESBOROUGH HG5 9JA,,Other/Not known,,June Treciokas,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,5047389,Green Gym,CENTRAL & CORPORATE,526-Public Health Commissioned Services,,06/03/2015,,,,,"7,000.00",,The Conservation Volunteers Sedum House Mallard Way DONCASTER DN4 8DB,,e) Large,,Phil Slavin,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,B8306,Granite Tablets,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,06/03/2015,,,,,"5,250.00",,"The Columbaria Company 59 New Cleveland Street, NULL HULL HU8 7HB",,Other/Not known,,Andrew Haley,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,610216,Works to Tropical World Aquarium,ENVIRONMENT & HOUSING,,,18/03/2015,,,,,"5,122.50",,Sustainable Sources Limited Windy Harbour Green Lane Heptonstall HEDBEN BRIDGE HX7 7PD,,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,3797,Fitness equipment,ENVIRONMENT & HOUSING,205-Operational Materials,,25/03/2015,,,,,"6,400.00",,Streetscape (Products & Services) Ltd Unit 1 Station Road Business Centre Station Road SELBY YO8 4AA,,b) Micro,,Guy Smithson,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,7499,Central Library - shelving,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,04/03/2015,,,,,"20,190.10",,Storage Aspects Ltd S A L House  Foster Road NULL GREAT TOTHAM CM9 8PZ,,b) Micro,,Jacqueline Keane,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,14/083,Stop Hate project,ENVIRONMENT & HOUSING,290-Grant Related Expenditure,,05/03/2015,,,,,"8,750.00",,STOP HATE UK P O Box 484 NULL LEEDS LS7 9BZ,,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,14268,Smoke Detector,CENTRAL & CORPORATE,205-Operational Materials,,09/03/2015,,,,,"8,605.35",,Sterling Safety Systems Limited Unit B  12a Holly Farm Business Park HONILEY CV8 1NP,,Other/Not known,,Mandy Grace,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,247-2015213,24 Month Licence-Unrestricted,CITY DEVELOPMENT,214-Computer Software & Equipment,,24/03/2015,,,,,"5,695.25",,Sological Solutions 15 Whitehall Court Upper Saxondale RADCLIFFE ON TRENT NG12 2NJ,,b) Micro,,Vashiullah Bodiyat,Other
