Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2017,VO Code,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
Ref: 1142879539411,TELEFONICA UK LIMITED           ,                                ,01.04.2005                                               ,MM02 SITE REF 18218 OFF         ,                                ,DELL ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6BZ,6600,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, 
Ref: 1153129644056,NEWBARN LTD                     ,                                ,12.06.2012                                               ,SUITE 6                         ,                                ,169 DRAKE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1EF,3050,CO   ,OFFICE AND PREMISES                                         ,     ,                                                         , ,0,0, 
Ref: 1154695101035,MOBILE BROADBAND NETWORK LTD    ,                                ,20.01.2009                                               ,HUTCHISON 3G UK SITE REF        ,                                ,OL0042 ON ROOF OF DUKE STREET MILL ,DUKE STREET                        ,ROCHDALE                        ,LANCASHIRE                      ,OL12 0LT,12750,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, 
Ref: 1250610030024,,,01.07.2014                                               ,                                ,                                ,2-8 HEYWOOD ROAD                   ,CASTLETON                          ,ROCHDALE                        ,                                ,OL11 3AU,6300,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 1334989746580,MARS REAL ESTATE INVESTMENT B.V.,                                ,27.10.2013                                               ,STALL 24 ROCHDALE MARKET HALL   ,                                ,THE MARKET                         ,ROCHDALE                           ,                                ,                                ,OL16 1EB,2025,CX   ,MARKET STALL AND PREMISES                                   ,Y    ,27.10.2013                                               , ,0,0, 
Ref: 1457695722557,VODAFONE LTD                    ,                                ,01.04.2005                                               ,VODAFONE SITE REF 13134A AT     ,                                ,SANDHOLE FARM RUSKIN ROAD          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2RE,7200,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, 
Ref: 1462393496713,MOBILE BROADBAND NETWORK LTD    ,                                ,01.04.2010                                               ,                                ,                                ,T-MOBILE (52059)                   ,HOLLANDS FARM                      ,ROOLEY MOOR ROAD                ,ROCHDALE                        ,OL12 6BN,5700,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, 
Ref: 1527530081348,,,06.07.2017                                               ,                                ,                                ,126 MILKSTONE ROAD                 ,ROCHDALE                           ,                                ,                                ,OL11 1NU,11750,CS   ,Shop and Premises                                           ,     ,                                                         , ,0,0, 
Ref: 3081115475731,JOHN LLOYD (HEYWOOD) LTD        ,                                ,07.04.2005                                               ,GND FLR LONGFORD HOUSE          ,                                ,HALL STREET                        ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1DP,14000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 3192439832987,INDEPENDENT POWER NETWORKS LTD  ,                                ,01.04.2015                                               ,INDPENDENT DISTRIBUTION NETWORK ,OPERATOR                        ,SUTHERLAND ROAD                    ,ROCHDALE                           ,                                ,                                ,OL10 3PN,570,NX   ,INDEPENDENT DISTRIBUTION NETWORK OPERATOR                   ,     ,                                                         , ,0,0, 
Ref: 3223691949985,FAMILY DOCTOR ASSOC             ,                                ,18.04.2006                                               ,                                ,                                ,9 YORK STREET                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4NN,4850,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         ,Y,0,80, 
Ref: 4459590421812,ENTERPRISE HARDWARE LTD         ,                                ,01.08.2016                                               ,                                ,                                ,7C CALDERSHAW INDUSTRIAL ESTATE    ,ROOLEY MOOR ROAD                   ,ROCHDALE                        ,                                ,OL12 7LQ,7000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
Ref: 5017290080022,,,08.07.2015                                               ,                                ,                                ,7-8 THE STRAND                     ,ROCHDALE                           ,                                ,                                ,OL11 2JG,7500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10034694865160,,,02.01.2013                                               ,UNIT 4                          ,                                ,CLAY COURT BUILDINGS               ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5RS,6400,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
Ref: 10034695731467,,,04.07.2013                                               ,DALE AUTO PARTS UNIT 1          ,CLAYCOURT BUILDING              ,CRAWFORD STREET                    ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5RS,2000,CO   ,OFFICES AND PREMISES                                        ,Y    ,04.07.2013                                               , ,0,0, 
Ref: 10034697527434,,,01.10.2012                                               ,                                ,                                ,VACANT PARTS OF                    ,UNIT 3 CLAY COURT BUILDINGS        ,CRAWFORD STREET                 ,ROCHDALE                        ,OL16 5RS,2050,CW3  ,STORE AND PREMISES                                          ,     ,                                                         , ,0,0, 
Ref: 10034698214612,,,29.04.2017                                               ,                                ,                                ,UNIT 3 CLAY COURT BUILDINGS        ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5RS,8500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10034698801255,,,11.10.2013                                               ,UNIT 2 CLAY COURT BUILDINGS     ,                                ,CRAWFORD STREET                    ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5RS,13000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
Ref: 10037099153853,SHOE DIRECTORY LTD              ,                                ,01.07.2014                                               ,C C G WINDSCREENS LTD           ,                                ,AINSWORTH STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5QX,16750,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
Ref: 10052099157292,,,23.08.2013                                               ,                                ,                                ,239-241 ALBERT                     ,ROYDS STREET                       ,ROCHDALE                        ,LANCASHIRE                      ,OL16 5AA,10750,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10055591316678,,,01.04.2015                                               ,UNIT 4 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,11500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10055592589632,INPOST UK LIMITED               ,                                ,03.10.2014                                               ,                                ,                                ,INPOST PARCEL LOCKER UKROC16346    ,ALBERT ROYDS STREET                ,ROCHDALE                        ,                                ,OL16 5AA,1500,CX   ,SITE OF ELECTRONIC DELIVERY LOCKERS & PREMISES              ,     ,                                                         , ,0,0, 
Ref: 10055594770158,,,17.12.2008                                               ,BARGAIN BOOZE BELFIELD HALL FARM,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5AA,18500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10055594929043,MCCOLL'S RETAIL GROUP PLC       ,                                ,03.05.2017                                               ,                                ,                                ,UNIT 1 MAYFIELD PARADE             ,ALBERT ROYDS STREET                ,ROCHDALE                        ,                                ,OL16 2UE,30000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10055595030154,CARDTRONICS UK LTD              ,                                ,03.05.2017                                               ,                                ,                                ,ATM SITE AT                        ,UNIT 1 MAYFIELD PARADE             ,ALBERT ROYDS STREET             ,ROCHDALE                        ,OL16 2UE,5900,CX   ,SITE OF ATM                                                 ,     ,                                                         , ,0,0, 
Ref: 10055595691394,SPRINGHILL HOSPICE              ,(SERVICES) LTD                  ,01.11.2016                                               ,UNIT 5 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,11250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         ,Y,20,80, 
Ref: 10055596411316,GLAMORGAN RETAIL LIMITED        ,                                ,30.08.2012                                               ,UNIT 3 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,12250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10055596415123,TOTE BOOKMAKERS LTD             ,                                ,01.12.2006                                               ,UNIT 2 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,10750,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
