year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2007,LOCAL,Bramley and Stanningley Ward,HANLEY,EDMUND ANTONY,The Labour Party Candidate,2123,9,ELECTED,16114
2007,LOCAL,Bramley and Stanningley Ward,ROBERTS,GARY MARK,British National Party,971,9,,16114
2007,LOCAL,Bramley and Stanningley Ward,BEST,MICHAEL KENNETH,The Conservative Party Candidate,820,9,,16114
2007,LOCAL,Bramley and Stanningley Ward,SLACK,ADAM JOHN THOMAS,Liberal Democrats,599,9,,16114
2007,LOCAL,Bramley and Stanningley Ward,LOCKE,DEAN,English Democrats Party - Putting England First,326,9,,16114
2007,LOCAL,Bramley and Stanningley Ward,BROWN,PAMELA JOY,Green Party,325,9,,16114
2007,LOCAL,Calverley and Farsley Ward,CARTER,AMANDA LESLEY,The Conservative Party Candidate,3775,18,ELECTED,16985
2007,LOCAL,Calverley and Farsley Ward,JAROSZ,ANDREW RICHARD,The Labour Party Candidate,1635,18,,16985
2007,LOCAL,Calverley and Farsley Ward,LEARY,ROBERT JOHN,British National Party,872,18,,16985
2007,LOCAL,Calverley and Farsley Ward,GAGEN,KATHRYN ELIZABETH,Liberal Democrats,778,18,,16985
2007,LOCAL,Gipton and Harehills Ward,HUSSAIN,ARIF,The Labour Party Candidate,3432,26,ELECTED,15790
2007,LOCAL,Gipton and Harehills Ward,AKHTAR,JAVAID,Liberal Democrats,2563,26,,15790
2007,LOCAL,Gipton and Harehills Ward,MAVERICK,PETER FRANK,British National Party,381,26,,15790
2007,LOCAL,Gipton and Harehills Ward,GREENWOOD,BEATRICE,The Conservative Party Candidate,222,26,,15790
2007,LOCAL,Gipton and Harehills Ward,PARNHAM,ANDREW JOHN,Green Party,106,26,,15790
2007,LOCAL,Gipton and Harehills Ward,IQBAL,AZAR,The Alliance for Green Socialism,54,26,,15790
2007,LOCAL,Guiseley and Rawdon Ward,ANDREW,STUART JAMES,The Conservative Party Candidate,3207,11,ELECTED,16649
2007,LOCAL,Guiseley and Rawdon Ward,KING,MICHAEL ROBERT,The Labour Party Candidate,1943,11,,16649
2007,LOCAL,Guiseley and Rawdon Ward,CLEASBY,LUCINDA JANE,Liberal Democrats,838,11,,16649
2007,LOCAL,Guiseley and Rawdon Ward,TAYLOR,WAYNE PATRICK,British National Party,398,11,,16649
2007,LOCAL,Guiseley and Rawdon Ward,AVISON,COLIN CLIFFORD,Green Party,339,11,,16649
2007,LOCAL,Guiseley and Rawdon Ward,CHRISTIE,GARETH MORGAN,The Alliance for Green Socialism,43,11,,16649
2007,LOCAL,Middleton Park Ward,BLAKE,JUDITH,The Labour Party Candidate,2467,17,ELECTED,16615
2007,LOCAL,Middleton Park Ward,MEESON,KEVIN,British National Party,1817,17,,16615
2007,LOCAL,Middleton Park Ward,CHASTNEY,BENEDICT,Liberal Democrats,537,17,,16615
2007,LOCAL,Middleton Park Ward,KOTIA,ABDUL LATIF,The Conservative Party Candidate,467,17,,16615
2007,LOCAL,Crossgates and Whinmoor Ward,GRAHAME,PAULEEN MARGRET,The Labour Party Candidate,2619,25,ELECTED,16664
2007,LOCAL,Crossgates and Whinmoor Ward,HAYES,ELIZABETH MARY,The Conservative Party Candidate,1984,25,,16664
2007,LOCAL,Crossgates and Whinmoor Ward,FOSTER,HELEN,British National Party,894,25,,16664
2007,LOCAL,Crossgates and Whinmoor Ward,NORMAN,ANN CARMEL,Liberal Democrats,779,25,,16664
2007,LOCAL,Moortown Ward,LANCASTER,BRENDA,Liberal Democrats,3061,18,ELECTED,17049
2007,LOCAL,Moortown Ward,HARPER,GERALD THOMAS,The Labour Party Candidate,2383,18,,17049
2007,LOCAL,Moortown Ward,BUCKLEY,LYN JEAN,The Conservative Party Candidate,1600,18,,17049
2007,LOCAL,Moortown Ward,DAVIES,MICHAEL FRANCIS,The Alliance for Green Socialism,254,18,,17049
2007,LOCAL,Moortown Ward,CLIFF,PETER,British National Party,240,18,,17049
2007,LOCAL,Moortown Ward,MILES,JEFFREY MICHAEL,UK Independence Party,99,18,,17049
2007,LOCAL,Temple Newsam Ward,LANGDALE,JACQUELINE,The Labour Party Candidate,2388,25,ELECTED,16012
2007,LOCAL,Temple Newsam Ward,SCHOFIELD,DAVID,The Conservative Party Candidate,2294,25,,16012
2007,LOCAL,Temple Newsam Ward,HOLLINGS,PETER,British National Party,1642,25,,16012
2007,LOCAL,Temple Newsam Ward,NORMAN,KEITH,Liberal Democrats,707,25,,16012
2007,LOCAL,Otley and Yeadon Ward,CAMPBELL,COLIN ANDREW,Liberal Democrats,3464,28,ELECTED,17268
2007,LOCAL,Otley and Yeadon Ward,EVELEIGH,JOHN,The Labour Party Candidate,1833,28,,17268
2007,LOCAL,Otley and Yeadon Ward,SHARPLES,JOHN FRANCIS,The Conservative Party Candidate,1799,28,,17268
2007,LOCAL,Otley and Yeadon Ward,WARRINGTON,RICHARD THOMAS,British National Party,361,28,,17268
2007,LOCAL,Otley and Yeadon Ward,WEBB,DAVID CHARLES,Green Party,263,28,,17268
2007,LOCAL,Otley and Yeadon Ward,FEARN,SIMON HARRIS,The Alliance for Green Socialism,68,28,,17268
2007,LOCAL,Otley and Yeadon Ward,HELLYER,MARIA THERESA,Christian Peoples Alliance,64,28,,17268
2007,LOCAL,Morley North Ward,GETTINGS,ROBERT WILLIAM,Morley Borough Independents,3069,21,ELECTED,17333
2007,LOCAL,Morley North Ward,REDMOND,THOMAS HENRY,British National Party,1328,21,,17333
2007,LOCAL,Morley North Ward,MCARDLE,STEWART,Independent,1163,21,,17333
2007,LOCAL,Morley North Ward,MULLEN,PAUL IAN,The Labour Party Candidate,1018,21,,17333
2007,LOCAL,Morley North Ward,ALDISS,JASON KARL,The Conservative Party Candidate,674,21,,17333
2007,LOCAL,Morley North Ward,LOVELL,CHRISTOPHER JOHN,Liberal Democrats,231,21,,17333
2007,LOCAL,Headingley Ward,MONAGHAN,JAMES,Liberal Democrats,1203,17,ELECTED,14272
2007,LOCAL,Farnley and Wortley Ward,FIRTH,GEORGE,The Conservative Party Candidate,649,11,,17202
2007,LOCAL,Farnley and Wortley Ward,TAYLOR,MICHAEL FRANCIS,Liberal Democrats,268,11,,17202
2007,LOCAL,Farnley and Wortley Ward,HOBSON,SYDNEY,UK Independence Party,165,11,,17202
2007,LOCAL,Farnley and Wortley Ward,NORMASCHILD,DECLAN,The Alliance for Green Socialism,23,11,,17202
2007,LOCAL,Horsforth Ward,BARKER,ANDREW,Liberal Democrats,2626,32,ELECTED,17232
2007,LOCAL,Horsforth Ward,HARDCASTLE,JOHN RICHARD,The Conservative Party Candidate,2599,32,,17232
2007,LOCAL,Horsforth Ward,GILL,NIGEL JAMES,The Labour Party Candidate,828,32,,17232
2007,LOCAL,Horsforth Ward,THORNTON,STUART WILLIAM,Green Party,344,32,,17232
2007,LOCAL,Horsforth Ward,ASQUITH,IAN,British National Party,323,32,,17232
2007,LOCAL,Horsforth Ward,HOLMES,DOUGLAS,Independent,178,32,,17232
2007,LOCAL,Horsforth Ward,CRABTREE,SANDRA PATRICIA,UK Independence Party,127,32,,17232
2007,LOCAL,Horsforth Ward,HELLYER,PAUL,Christian Peoples Alliance,65,32,,17232
2007,LOCAL,Morley South Ward,GRAYSHON,TERRENCE,Morley Borough Independents,2385,18,ELECTED,15966
2007,LOCAL,Morley South Ward,MEE,MICHAEL,British National Party,1928,18,,15966
2007,LOCAL,Morley South Ward,LANGHAM,DAVID PETER,The Labour Party Candidate,1385,18,,15966
2007,LOCAL,Morley South Ward,JAMIESON,KEELY JOANNE,The Conservative Party Candidate,539,18,,15966
2007,LOCAL,Morley South Ward,SLINGSBY,CHARLES ALBERT,Independent,206,18,,15966
2007,LOCAL,Morley South Ward,SADDLER,JAMIE ROBERT,Liberal Democrats,201,18,,15966
2007,LOCAL,Killingbeck and Seacroft Ward,POWELL,JOHN MICHAEL,British National Party,862,16,,16135
2007,LOCAL,Killingbeck and Seacroft Ward,FISHER,SADIE,Liberal Democrats,799,16,,16135
2007,LOCAL,Killingbeck and Seacroft Ward,TOWNSLEY,DONALD HOLFORD,The Conservative Party Candidate,698,16,,16135
2007,LOCAL,Armley Ward,MCKENNA,JAMES,The Labour Party Candidate,2287,9,ELECTED,17273
2007,LOCAL,Armley Ward,BROADBENT,GLENN,The Conservative Party Candidate,737,9,,17273
2007,LOCAL,Armley Ward,BRADLEY,ALISTAIR,Liberal Democrats,676,9,,17273
2007,LOCAL,Armley Ward,FITZPATRICK,SEAN LIAM,British National Party,656,9,,17273
2007,LOCAL,Armley Ward,CLARKE,YVONNE,Green Party,610,9,,17273
2007,LOCAL,Roundhay Ward,FERGUSON,MARK,British National Party,268,21,,16979
2007,LOCAL,Roundhay Ward,CHRISTIE,MALCOLM SCOTT,The Alliance for Green Socialism,219,21,,16979
2007,LOCAL,Ardsley and Robin Hood Ward,DUNN,JACK,The Labour Party Candidate,1967,17,ELECTED,15601
2007,LOCAL,Ardsley and Robin Hood Ward,BEVERLEY,JOANNA MARIE,British National Party,1538,17,,15601
2007,LOCAL,Ardsley and Robin Hood Ward,BOYNTON,DAVID,The Conservative Party Candidate,1181,17,,15601
2007,LOCAL,Ardsley and Robin Hood Ward,MOORE,PHILIP HARRISON,Liberal Democrats,567,17,,15601
2007,LOCAL,Ardsley and Robin Hood Ward,DANIEL,DAVID,UK Independence Party,325,17,,15601
2007,LOCAL,Harewood Ward,PROCTER,RACHAEL ANNIS,The Conservative Party Candidate,4614,28,ELECTED,14617
2007,LOCAL,Harewood Ward,ADILYPOUR,DANIAL,The Labour Party Candidate,891,28,,14617
2007,LOCAL,Harewood Ward,MAHER,AOIFE,Liberal Democrats,468,28,,14617
2007,LOCAL,Harewood Ward,GIBSON,MARTIN DARREN,British National Party,443,28,,14617
2007,LOCAL,Harewood Ward,BISSON,KATE ALICE,Green Party,304,28,,14617
2007,LOCAL,Harewood Ward,CHRISTIE,FIONA JEAN,The Alliance for Green Socialism,53,28,,14617
2007,LOCAL,Weetwood Ward,BENTLEY,SUSAN MARY,Liberal Democrats,2784,14,ELECTED,16705
2007,LOCAL,Weetwood Ward,WEST,GUY MARTIN,The Conservative Party Candidate,1413,14,,16705
2007,LOCAL,Weetwood Ward,AZAM,MOHAMMED,The Labour Party Candidate,808,14,,16705
2007,LOCAL,Weetwood Ward,HEMINGWAY,MARTIN FRANCIS,Green Party,426,14,,16705
2007,LOCAL,Weetwood Ward,LEAKE,GILLIAN MARGARET,British National Party,265,14,,16705
2007,LOCAL,Weetwood Ward,KENNEDY,DANIEL,The Alliance for Green Socialism,85,14,,16705
2007,LOCAL,Weetwood Ward,PROCTER,ALAN LESLIE,Independent,82,14,,16705
2007,LOCAL,Wetherby Ward,LAMB,ALAN JAMES,The Conservative Party Candidate,4011,20,ELECTED,15418
