OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,AC0274425580000298007,Testing equipment,ADULT SOCIAL CARE,,,07/07/2016,,,,,"£5,347.00",,"ACUTE SALES LIMITED , 4 Century Road, High Carr Business Park, NEWCASTLE UNDER LYME, ST5 7UG",,Other/Not known,,Gillian Eastwood,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,AN251642552LDS_05,"Social, Emotional & Mental Health Consultancy",CHILDRENS SERVICES,,,01/07/2016,,,,,"£12,600.00",,"ANNE SCARBOROUGH , 4 James Street, Oakworth, KEIGHLEY, BD22 7PE",,Other/Not known,,Nurinda Turrell,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,BA02204257812240,Promotional banners,CITY DEVELOPMENT,,,27/07/2016,,,,,"£9,666.00",,"BAY MEDIA LTD , 19 Deane House Studio, 27 Greenwood Place Kentish Town, LONDON, NW5 1LB",,c) Small,,Janice Connolly,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,BI038X425713511,2nd Tranche Membership Payment,ENVIRONMENT & HOUSING,,,20/07/2016,,,,,"£5,156.88",,"BIAZA , Regents Park, NULL, LONDON, NW1 4RY",,Other/Not known,,Liz Bradley,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,BI181742552938L17868,Waste Disposal Charges and Landfill Tax,ENVIRONMENT & HOUSING,,,01/07/2016,,,,,"£6,917.53",,"BIFFA WASTE SERVICES LTD , Coronation Road, Cressex, HIGH WYCOMBE, HP12 3TZ",,e) Large,,Deborah Dobson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,BS02944255294533011/3000,Membership Subscription to BSI,CITY DEVELOPMENT,,,01/07/2016,,,,,"£5,923.00",,"BSI STANDARDS LIMITED , Bsi Accounts Receivable Po Box 3000, Kitemark Court Davy Avenue, MILTON KEYNES, MK1 9EL",,e) Large,,Beverley Rice,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,CA339142566SIN002295,Level 3 Advice & Guidance,CITIZENS AND COMMUNITIES,,,15/07/2016,,,,,"£14,835.24",,"CALDERDALE & KIRKLEES CAREERS LTD , 78 John William Street, Huddersfield, WEST YORKSHIRE, HD1 1EH",,d) Medium,,Amy Wood,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,CO18104255211564,Annual License Fee,CITIZENS AND COMMUNITIES,,,01/07/2016,,,,,"£20,700.00",,"CALLCREDIT PUBLIC SECTOR LIMITED , One Park Lane, NULL, LEEDS, LS3 1EP",,Other/Not known,,Simon Bentley,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,CA569642573E21/06/2016,Home Care Services,ADULT SOCIAL CARE,,,22/07/2016,,,,,"£93,234.12",,"CAREMARK (LEEDS) , Northwest Business Park, 1 Servia Hill, LEEDS, LS6 2QH",,b) Micro,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,CL0105425590102082065,Register to Vote Advertising,CITIZENS AND COMMUNITIES,,,08/07/2016,,,,,"£6,501.43",,"CLEAR CHANNEL UK LTD , Orion Gate Guildford Road, Woking, SURREY, GU22 7NJ",,e) Large,,Sue Wolfe,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,CL00364255230988,"Tess PrismHD - 1no
Delivery, installation and trainin",CITY DEVELOPMENT,,,01/07/2016,,,,,"£5,582.85",,"CLICK NETHERFIELD LIMITED , The Glassworks 6b Grange Road, Houstoun Industrial Estate, LIVINGSTON, EH54 5DE",,d) Medium,,John McGoldrick,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,CO163342552RRY019355,Register to Vote Radio Campaign and Fostering Campaign,CITIZENS AND COMMUNITIES,,,01/07/2016,,,,,"£13,303.12",,"COMMUNICORP UK LTD , Laser House  Waterfront Quay, Salford Quays, MANCHESTER, M50 3XW",,Other/Not known,,Mathew Spaull,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,CO165442570105514,Home Care Services,ADULT SOCIAL CARE,,,19/07/2016,,,,,"£37,347.39",,"COMPLETE CARE AGENCY , 1 Airport West, First Floor Lancaster Way, LEEDS, LS19 7ZA",,b) Micro,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,CO10964257325516,Internet equipment,CHILDRENS SERVICES,,,22/07/2016,,,,,"£23,322.95",,"CONNECT UP SUPPORT SERVICES LTD , The Old Tannery, 2 Barras Street, LEEDS, LS12 4JS",,c) Small,,Nigel Wilson,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,29/07/2016,DA0012425712016/01,Catalogue and Research,CITY DEVELOPMENT,,,20/07/2016,,,,,"£5,850.00",,"DAVID HILL , 27 Elmete Drive, NULL, LEEDS, LS8 2LA",,a) Individual,,Yvonne hardman,Non-influenceable
