PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
29004700,Workshop And Premises,"Aire Street, Brighouse, HD6 3RB",Iredales Ltd,12250,01/04/1990,SBR
29008002,Hairdressing Salon (And Premises),"5 Waterloo Road, Brighouse, HD6 2AN",,3650,01/10/2001,SBR
29016700,Warehouse And Premises,"Archer Road, Brighouse, HD6 1XF",Vulkan Industries Ltd,28250,01/04/1990,
29016701,Warehouse And Premises,"Archer Road, Brighouse, HD6 1XF",Treka Bus Ltd,79000,16/01/2010,
29020703,Warehouse And Premises,"Open View House, Armytage Road, Brighouse, HD6 1QF",Openview Security Solutions Ltd,34500,29/01/2015,
29020705,Garage And Premises,"Armytage Road, Brighouse, HD6 1PT",Eclipse Specialist Cars Ltd,10500,08/01/2014,SBR
29020707,Factory and Premises,"Armytage Road, Brighouse, HD6 1QF",Arkoni Ltd,86000,05/01/2007,
29020712,Warehouse And Premises,"Armytage Road, Brighouse, HD6 1PT",Total Polyfilm Ltd,107000,01/07/2004,
29020714,Cafe and Premises,"Armytage Road, Brighouse, HD6 1UQ",,1525,31/10/2013,SBR
29020715,Warehouse And Premises,"Armytage Road, Brighouse, HD6 1QF",Owens-Corning Veil U.K. Ltd,154000,01/04/1990,
29020716,Offices And Premises,"Armytage Road, Brighouse, HD6 1QF",Abzorb Services Ltd,51000,23/12/2011,
29020718,Concrete Batching Plant And Premises,"Armytage Road, Brighouse, HD6 1QF",Readymix (Huddersfield) Ltd,32750,16/12/2000,
29020719,Motor Auction and Premises,"Armytage Road, Brighouse, HD6 1XE",British Car Auctions Ltd,615000,01/04/1990,
29020720,Workshop And Premises,"Beckside Works, Armytage Road, Brighouse, HD6 1PH",,2550,01/11/2014,SBR
29020721,Factory And Premises,"Central Warehouse, Armytage Road, Brighouse, HD6 1RD",Halco Rock Tools Ltd,189000,01/06/2013,
29020722,Factory and Premises,"Coronation Works, Armytage Road, Brighouse, HD6 1QA",Halifax Rack & Screw Co Ltd,106000,01/04/1990,
29020723,Factory and Premises,"Kirkdale House, Armytage Road, Brighouse, HD6 1QF",Kirkdale Industrial Training Services Ltd,128000,17/08/1998,MCR
29020725,Workshop And Premises,"Municipal House, Armytage Road, Brighouse, HD6 1PT",Dawsonrentalsweepers,65000,01/04/2010,
29020726,Factory and Premises,"Prince Of Wales Mill, Armytage Road, Brighouse, HD6 1QF",Aflex Hose Ltd,117000,02/08/2011,
29020727,Warehouse And Premises,"Armytage Road, Brighouse, HD6 1UJ",Clipper Logistics Group Ltd,300000,09/02/1998,
29020731,Factory and Premises,"Unit 3, Armytage Road, Brighouse, HD6 1QF",Total Polyfilm Ltd,118000,01/04/1990,
29020737,Workshop And Premises,"Armytage Road, Brighouse, HD6 1PT",Crossling Bancroft Ltd,59000,01/12/2003,
29020738,Workshop And Premises,"Armytage Road, Brighouse, HD6 1QF",Northern Commercials (Mirfield) Ltd,152000,18/10/1997,
29020743,Vehicle Repair Workshop And Premises,"Unit 6 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Central Garage Arc Ltd,39500,01/08/2013,
29020746,Communication Station and Premises,"Telecommunications Mast, Ref WYK0289 Rear Car Auction, Armytage Road, Brighouse            HD6 1XE",Everything Everywhere Ltd,8700,01/04/2003,EX
29020747,Warehouse And Premises,"Unit 1 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Screwfix Direct Ltd,25000,17/09/2012,
29020749,Warehouse And Premises,"Unit 2 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Wolseley U.K Ltd,20500,10/05/2004,
