Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,A  ROLLINSON & SON (BUILDERS) LTD,A0002297, 29/06/2017,HMR0281306,4258.94,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Subscriptions & Donations,4706,AGE CONSULTING,A0084171, 01/06/2017,DAL0280504,200.00,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,AGE UK LANCASHIRE,A0089644, 08/06/2017,AAS0280646,27.83,N,1142294,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ALD AUTOMOTIVES,A0025555, 26/06/2017,AAS0281230,15.00,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ALD AUTOMOTIVES,A0025555, 26/06/2017,AAS0281231,193.24,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Other Income : Non-VATable,9303,REDACTED - PERSONAL DATA,A0090355, 08/06/2017,HED0280638,16.62,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 08/06/2017,AAS0280720,19.70,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 08/06/2017,AAS0280719,28.40,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 08/06/2017,AAS0280721,50.60,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 08/06/2017,AAS0280722,420.15,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 08/06/2017,AAS0280718,1629.60,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Seminars etc All Costs,4601,APSE,A0000021, 29/06/2017,HED0281235,259.00,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARNOLD CLARK VEHICLE MANAGEMENT,A0065524, 08/06/2017,PER0280630,449.00,N,N/A,N,N/A
