"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Home Office","Project Portfolio Unit","2CS12","EO","22770","30181","Executive Assistant","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","Grade 6","55904","73892","BDA & Governance Team Leader","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","Grade 7","45626","61285","BDA & Governance Manager","1.60","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","SEO","34108","44185","BDA & Governance Advisor","2.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","HEO","27150","36922","BDA & Governance Team member","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","Grade 6","55904","73892","Portfolio and Investment Committee Secretariat Team Leader","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","Grade 6","55904","73892","Porfolio & Analysis Manager","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","Grade 7","45626","61285","Portfolio and Investment Committee Secretariat Manager","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","Grade 7","45626","61285","Porfolio & Analysis Manager","4.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","Grade 7","45626","61285","Project Delivery Capability Manager","3.65","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","SEO","34108","44185","Portfolio and Investment Committee Secretariat Advisor","0.83","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","HEO","27150","36922","Portfolio and Investment Committee Secretariat Team member","2.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","HEO","27150","36922","Portfolio and Analysis Team member","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","Grade 6","55904","73892","Project Delivery Capability Team Leader","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","SEO","34108","44185","Project Delivery Capability Advisor","9.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","EO","22770","30181","Support Officer","3.60","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","EO","22770","30181","Portfolio and Investment Committee Secretariat Support Officer","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","EO","22770","30181","Executive Assistant","1.00","Programme and Project Management (PPM)"
"Home Office","Home Office","Project Portfolio Unit","1HR20","HEO","27150","36922","Portfolio & Analysis Advisor","3.00","Programme and Project Management (PPM)"
