Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,PLACE-REF,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,CHARITY-RLF-,ANALYSIS-CD,RV,Liable Person,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV�
,6240,O,0,,2462031069,0,0,0,,0,,0,0,CG1,13000, ALLENS AUTO SERVICES LTD,,,,,,,01/03/2007,DEMMINGS ROAD,CHEADLE,,,,SK8 2PE,VEHICLE REPAIR WORKSHOP AND PREMISES
,2160,O,0,,3496017009,-1,0,2160,,0,,0,0,CO,4500, B K F CAREFORM LTD,17 GREENWAY ROAD,HEALD GREEN,CHEADLE,,,SK8 3NR,09/12/1994,17 GREENWAY ROAD,HEALD GREEN,CHEADLE,,,SK8 3NR,OFFICES AND PREMISES
,936,O,0,,3370191019,0,0,0,,0,,0,0,CW,1950, E W HEWITT LTD,193 GATLEY ROAD,GATLEY,CHEADLE,,,SK8 4BB,01/04/1990,STORE REAR OF,191 GATLEY ROAD,CHEADLE,,,SK8 4BB,STORE AND PREMISES
RETAIL,5520,O,0,,3370193009,0,0,0,,0,,0,0,CS,11500, E W HEWITT LTD,193 GATLEY ROAD,GATLEY,CHEADLE,,,SK8 4BB,01/04/1990,191-193 GATLEY ROAD,CHEADLE,,,,SK8 4BB,SHOP AND PREMISES
,900,V,924.38,MINRV,3520053019,0,24.38,0,,0,,0,0,IF3,1875, F ROBINSON LTD,UNICORN BREWERY,LOWER HILLGATE,STOCKPORT,,,SK1 1JJ,25/03/2006,GROSVENOR GARAGE,GROSVENOR STREET,HAZEL GROVE,STOCKPORT,,SK7 4AX,WORKSHOP AND PREMISES
,588,O,0,,3200038059,-1,0,588,,0,,0,0,CW,1225, J GOODWINN & SONS,5 PADDOCK LANE,FAILSWORTH,NR MANCHESTER,,,M35 0NX,01/04/1990,STORE REAR OF,38 FOXLAND ROAD,GATLEY,CHEADLE,,SK8 4QB,STORE AND PREMISES
,1488,O,0,,7454058019,-1,0,1488,,0,,0,0,CS,3100, M THORLEY ( BUTCHERS) LTD,,,,,,,01/04/1990,58 STOCKPORT ROAD,ROMILEY,STOCKPORT,,,SK6 3AA,SHOP AND PREMISES
,2976,O,0,,7376022099,-1,0,2876.8,,0,,0,0,CO,6200, N&N PROPERTIES LTD,,,,,,,24/03/2010,1ST & 2ND FLOOR 22C,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 7AB,OFFICES AND PREMISES
,6360,O,0,,7415009009,-1,0,0,,0,,0,0,IF3,13250, P D PUMPS LTD,,,,,,,30/07/1999,UNIT 8,STUART ROAD,BREDBURY,STOCKPORT,,SK6 2SR,WORKSHOP AND PREMISES
,2016,O,0,,4117009009,-1,0,2016,,0,,0,0,CS,4200, P J CARROLL RESIDENTIAL LTD,,,,,,,01/04/2005,9 HYDE ROAD,WOODLEY,STOCKPORT,,,SK6 1QG,SHOP AND PREMISES
RETAIL,5640,O,0,,7884006109,0,0,0,,0,,0,0,CS,11750, P K W FOODS LTD T/A SUBWAY,9 THE GERRARDS,GEE CROSS,HYDE,,,SK14 5GB,08/01/2015,6 THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,SHOP AND PREMISES
,168,O,0,,7376000659,0,0,0,,0,,0,0,CP1,350, P K W FOODS LTD T/A SUBWAY,9 THE GERRARDS,GEE CROSS,HYDE,,,SK14 5GB,08/01/2015,CAR SPACE 55,SINCLAIR HOUSE,STATION ROAD,CHEADLE HULME,CHEADLE,SK8 5AF,CAR PARKING SPACE
,2280,O,0,,5594999049,0,0,0,,0,,0,0,IF3,4750, R W JOINERY LTD,UNITS 25/26 PORTWOOD IND EST,MERSEY STREET,PORTWOOD,STOCKPORT,,SK1 2HX,24/08/2002,UNIT 24A,PORTWOOD INDUSTRIAL ESTATE,MERSEY STREET,PORTWOOD,STOCKPORT,SK1 2HX,WORKSHOP AND PREMISES
,13800,O,0,,5594026009,0,373.75,0,,0,,0,0,IF3,28750, R W JOINERY LTD,UNITS 25/26 PORTWOOD IND EST,MERSEY STREET,PORTWOOD,STOCKPORT,,SK1 2HX,01/04/1990,UNIT 25-26,PORTWOOD INDUSTRIAL ESTATE,MERSEY STREET,PORTWOOD,STOCKPORT,SK1 2HX,WORKSHOP AND PREMISES
,3312,O,0,,3384005009,-1,0,2815.23,,0,,0,0,CO,6900,08 UK LTD,,,,,,,14/11/2011,OFFICE 1 AT,5 GIBSONS ROAD,HEATON MOOR,STOCKPORT,,SK4 4JX,OFFICES AND PREMISES
,20640,O,0,,5208001219,0,559,0,,0,,0,0,IF3O,43000,121 DIRECT MAIL LTD,,,,,,,30/06/2006,UNIT 18,CHARTER HOUSE,LATHAM CLOSE,BREDBURY,STOCKPORT,SK6 2SD,"WORKSHOP, OFFICE AND PREMISES"
,8280,V,0,,3500313019,0,224.25,0,,0,,0,0,IF,17250,1996 CARRARA LTD RETIREMENT PENSION BENE,76 HILLTOP AVENUE,CHEADLE HULME,CHEADLE,,,SK8 7AJ,31/05/2014,HOLLY HOUSE,313 GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7BP,WORKS AND PREMISES
,1224,O,0,,6501014019,-1,0,1224,,0,,0,0,IF3,2550,1ST STOP TICKETING LTD,,,,,,,21/10/1996,14A PITT STREET,EDGELEY,STOCKPORT,,,SK3 9EH,WORKSHOP AND PREMISES
,16440,O,0,,3500343009,0,445.25,0,,0,,0,0,IF3O,34250,20TH CENTURY FIRES LTD,,,,,,,17/01/2006,VESTA WORKS,GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7BS,"WORKSHOP, OFFICES  AND PREMISES"
,10560,O,0,,873019009,0,286,0,,0,,0,0,CS,22000,21 THREE CLOTHING CO LTD,49-51 DALE STREET,MANCHESTER,,,,M1 2HF,25/03/2015,19 BRIDGE STREET,STOCKPORT,,,,SK1 1XR,SHOP AND PREMISES
,6480,O,0,,1743006009,0,0,0,,0,,0,0,CS,13500,21 THREE CLOTHING CO LTD,49-51 DALE STREET,MANCHESTER,,,,M1 2HF,25/03/2015,6-8 CHURCHGATE,STOCKPORT,,,,SK1 1YA,SHOP AND PREMISES
,5280,O,0,,3817033259,-1,0,880,,0,,0,0,IF3,11000,3 P PAINT CO (STOCKPORT) LTD,,,,,,,01/04/1990,HALLAM ST WORKS,HALLAM STREET,HEAVILEY,STOCKPORT,,SK2 6PT,WORKSHOP AND PREMISES
,5640,O,0,,1733100009,-1,0,232.53,,0,,0,0,MH,11750,32 WHITES LTD,,,,,,,01/04/1990,100-102 CHURCH LANE,MARPLE,STOCKPORT,,,SK6 7AR,SURGERY AND PREMISES
,1896,O,0,,826003019,-1,0,1896,,0,,0,0,CO,3950,360 REMARKETING LTD,476 DIDSBURY ROAD,HEATON MERSEY,STOCKPORT,,,SK4 3BS,01/04/2010,1ST FLOOR,5 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,SK7 1AL,OFFICES AND PREMISES
,792,O,0,,715003529,-1,0,792,,0,,0,0,CO,1650,3EF LTD,85 OAK ROAD,CHEADLE,,,,SK8 1EJ,11/11/2014,BLOCK 44 G9,EUROPA BUSINESS PARK,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,SK3 0RT,OFFICES AND PREMISES
,672,O,0,,2751000709,0,0,0,,0,,0,0,CP1,1400,4 C SONS LTD,PT GND FLR CHANDOS HOUSE,OAK GREEN STANLY GREEN BUSINESS PARK,EARL ROAD,CHEADLE HULME,CHEADLE,SK8 6QL,01/07/2013,CAR SPACES AT CHANDOS HOUSE (FRONT),STANLEY GREEN BUSINESS PARK,OAK GREEN,CHEADLE HULME,,SK8 6QL,CAR PARKING SPACE AND PREMISES
,4800,O,0,,2751000619,-1,0,1600,,0,,0,0,CO,10000,4 C SONS LTD,PT GND FLR CHANDOS HOUSE,OAK GREEN STANLY GREEN BUSINESS PARK,EARL ROAD,CHEADLE HULME,CHEADLE,SK8 6QL,01/07/2013,PT GND FLR CHANDOS HOUSE,OAK GREEN STANLY GREEN BUSINESS PARK,EARL ROAD,CHEADLE HULME,CHEADLE,SK8 6QL,OFFICES AND PREMISES
,12960,O,0,,3933099429,0,351,0,,0,,0,0,CO,27000,4 WAY HOLDING LTD,GROUND FLOOR,UNIT 9,ACORN BUSINESS PARK,HEATON LANE,STOCKPORT,SK4 1AS,01/06/2014,GROUND FLOOR UNIT 9,ACORN BUSINESS CENTRE,HEATON LANE,STOCKPORT,,SK4 1AS,OFFICES AND PREMISES
,1728,O,0,,826040039,-1,0,1728,,0,,0,0,CO,3600,4MATION ARCHITECTURE LTD,,,,,,,07/06/2010,PT 1ST FLOOR,40A BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,SK7 1AH,OFFICE AND PREMISES
,3648,O,0,,5720007009,-1,0,2675.2,,0,,0,0,CW,7600,5FASHIONUK LIMITED,,,,,,,24/06/2014,UNIT 7 THE GATE CENTRE,BREDBURY PARK WAY,BREDBURY IND. ESTATE,STOCKPORT,,SK6 2SN,WAREHOUSE AND PREMISES
,2112,O,0,,8327000019,0,57.2,0,MAN,1735.36,,0,0,LC3,4400,5TH CHEADLE SCOUT & GUIDES,,,,,,,15/09/1991,SCOUT HUT & PREMISES,WARWICK CLOSE,CHEADLE HULME,CHEADLE,,SK8 5NN,HALL AND PREMISES
,127200,O,0,,5469002049,0,3445,0,,0,,0,0,CS10,265000,99P STORES LTD,STYLE WAY,PINEHAM,SWAN VALLEY,NORTHAMPTON,,NN4 9EX,13/01/2012,2 MANCHESTER ROAD,STOCKPORT,,,,SK4 1TN,RETAIL WAREHOUSE AND PREMISES
,1008,O,0,,1009141149,-1,0,1008,,0,,0,0,CO,2100,A & C REHABILITATION LTD,,,,,,,08/12/2014,PT 2ND FLOOR,141 BUXTON ROAD,STOCKPORT,,,SK2 6EQ,OFFICE
