"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","EO","22437","26688","Communications Support Officer","3.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","HEO","26228","32772","Communications Officer","7.67","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","SEO","32974","47648","Communications Manager","4.83","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","G7","48880","59249","Private Secretary","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","G7","48880","59249","Senior Communications Manager","2.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","G6","51131","72134","Executive to the Board","3.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","AO","18899","21959","Computer Operator","6.69","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","EO","22437","26688","IT Support Officer","144.42","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","HEO","26228","32772","IT Officer","134.02","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","SEO","32974","47648","IT Manager","69.18","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G7","48880","59249","Senior IT Manager","8.00","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G6","51131","72134","Senior IT Manager","4.00","Information Technology"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","AO","18899","21959","HR Support Officer","3.62","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22437","26688","HR Officer","16.63","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22437","26688","Facilities Officer","2.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","P&I Officer","1.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","HR Officer","22.87","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","Facilities Officer","1.95","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","P&I Officer","5.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Property Asset Manager","2.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","HR Officer","27.46","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Facilities Manager","6.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G7","48880","59249","P&I Officer","1.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G7","48880","59249","Facilities Manager","2.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G7","48880","59249","Senior HR Manager","7.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G6","51131","72134","Property Asset Manager","1.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G6","51131","72134","Senior HR Manager","2.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Personal Assistant","1.59","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Survey and Mapping","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Investigations Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Research Officer","6.59","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Survey and Mapping","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Personal Assistant","0.43","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Investigations Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Research Officer","1.81","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","SEO","32974","47648","Survey and Mapping","5.74","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","SEO","32974","47648","Research Officer","1.86","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","SEO","32974","47648","Investigations Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G7","48880","59249","Survey and Mapping","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G6","51131","72134","Assistant Land Registrar","6.87","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G6","51131","72134","Lawyer","0.46","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G6","51131","72134","Senior Operational Manager","0.76","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G6","51131","72134","Survey and Mapping","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","AA","16163","19223","Operations Support Officer","1.49","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","AO","18899","21959","Operations Support Officer","110.99","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","EO","22437","26688","Operational Caseworker","1885.06","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","HEO","26228","32772","Operational Caseworker","1004.62","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","SEO","32974","47648","Operational Caseworker","277.61","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","G7","48880","59249","Senior Operational Manager","22.13","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","G6","51131","72134","Senior Operational Manager","8.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","AO","18899","21959","Finance Support Officer","7.40","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","EO","22437","26688","Finance Officer","16.75","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","HEO","26228","32772","Finance Manager","22.70","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","SEO","32974","47648","Finance Manager","27.91","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","G7","48880","59249","Finance Manager","4.00","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","G6","51131","72134","Finance Manager","3.00","Finance"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","AO","18899","21959","Design Officer","1.50","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","AO","18899","21959","Business Development Executive","4.20","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","EO","22437","26688","Business Development Executive","14.06","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","EO","22437","26688","Customer Service Officer","2.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","EO","22437","26688","Design Officer","1.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Customer Service Officer","2.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Design Officer","1.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Research Officer","2.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Business Development Manager","4.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Business Development Executive","22.78","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","SEO","32974","47648","Customer Service Manager","4.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","SEO","32974","47648","Business Development Manager","27.72","Operational Research"
