Local Authority Name ,Local Authority reference number ,DFE Code,School Name,Executive headteacher,Headteacher,Address 1,Address 2,Address 3,Post Code,Website,Telephone,Fax,NOR,Status,Type
Calderdale Metropolitan Borough Council ,E08000033,2005,Abbey Park Academy,,Ms Emme Ford (acting),Keighley Close,Illingworth,HALIFAX,HX2 9DG,http://www.abbeyparkacademy.org,01422 246610,01422 246612,210,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2001,Akroydon Primary Academy,Lisa Hoyle,Emma Hanlon (acting),Rawson Street North,Boothtown,HALIFAX,HX3 6PU,http://www.akroydonprimary.org/,01422 351291,01422 362835,384,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,5201,All Saints' CE (VA) J & I School,,Mark Sharp,Dudwell Lane,,HALIFAX,HX3 0SD,http://www.allsaintsschoolhalifax.co.uk,01422 367140,01422 383091,211,VA,P
Calderdale Metropolitan Borough Council ,E08000033,2093,Ash Green Community Primary School,,Mr Mungo Sheppard,Mixenden Road,Mixenden,HALIFAX,HX2 8QD,http://www.ashgreen.info,01422 244613,01422 244613,492,C,P
Calderdale Metropolitan Borough Council ,E08000033,2040,Bailiffe Bridge J & I School,,Miss Helen Proctor,Victoria Road,Bailiff Bridge,BRIGHOUSE,HD6 4DY,http://www.bailiffebridgeschool.org.uk,01484 713039,01484 722870,208,C,P
Calderdale Metropolitan Borough Council ,E08000033,3321,Barkisland CE (VA) Primary School,,Mrs Becky Schofield,Scammonden Road,Barkisland,HALIFAX,HX4 0BD,http://www.barkislandcofeschool.org.uk,01422 823324,01422 825982,205,VA,P
Calderdale Metropolitan Borough Council ,E08000033,2019,Beech Hill School,Mr Jonathan Moss,Shameem Hussain,Mount Pleasant Avenue,,HALIFAX,HX1 5TN,http://www.beechhillschool.co.uk,01422 345004,01422 381830,610,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2063,Bolton Brow Primary Academy,,Mr Daniel Burns,,Bolton Brow,SOWERBY BRIDGE,HX6 2BA,http://www.boltonbrow.com,01422 831031,01422 832756,235,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2048,Bowling Green Primary School,,Mr Chris Booth,,Stainland,HALIFAX,HX4 9HU,http://www.bowlinggreen.calderdale.sch.uk,01422 374863,01422 379783,159,C,P
Calderdale Metropolitan Borough Council ,E08000033,2004,Bradshaw Primary School,,Mrs Tracy Turner,Ingham Lane,Bradshaw,HALIFAX,HX2 9PF,http://www.bradshawprimaryschool.org,01422 244283,01422 242218,328,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,5406,Brighouse High School,,Mrs Elizabeth Cresswell,Finkil Street,,BRIGHOUSE,HD6 2NY,http://www.brighouse.calderdale.sch.uk,01484 710408,01484 400638,1399,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,2053,Burnley Road Academy,,Mrs Clare Cope,Burnley Road,Mytholmroyd,HEBDEN BRIDGE,HX7 5DE,http://www.burnleyroadacademy.org,01422 883034,01422 886633,260,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,4022,"Calder High School, A Specialist Technology College",,Mr Tony Guise,Brier Hey Lane,Mytholmroyd,HEBDEN BRIDGE,HX7 5QN,http://www.calderhigh.org.uk,01422 883213,01422 881876,1112,F,S
Calderdale Metropolitan Borough Council ,E08000033,2055,Calder Primary School,,Mrs Kate Lambert,Brier Hey Lane,Mytholmroyd,HEBDEN BRIDGE,HX7 5QN,http://www.craggvale.calderdale.sch.uk,01422 883747,01422 883747,49,F,P
Calderdale Metropolitan Borough Council ,E08000033,1101,Calderdale PRU (Pupil Referral Unit),,Mr Philip Hannah,,,,,http://www.pru.calderdale.sch.uk/,,,,,PRU
Calderdale Metropolitan Borough Council ,E08000033,2042,Carr Green Primary School,,Mr Paul Mashinter,Carr Green Lane,Rastrick,BRIGHOUSE,HD6 3LT,http://www.carrgreenschool.org.uk,01484 715969,01484 380045,352,C,P
Calderdale Metropolitan Borough Council ,E08000033,2068,Castle Hill Primary School,,Mrs Janet Leggett,Halifax Road,,TODMORDEN,OL14 5SQ,http://www.castlehillprimary.co.uk,01706 813163,01706 815376,288,C,P
Calderdale Metropolitan Borough Council ,E08000033,2054,Central Street Infant & Nursery School,Mrs Jenny Melling,,Central Street,,HEBDEN BRIDGE,HX7 6HB,http://www.centralstreet.org.uk,01422 842784,01422 846851,69,C,I
Calderdale Metropolitan Borough Council ,E08000033,3001,Christ Church (Pellon) CE (VC) Primary School,,Mrs Emma Midgley,Sandbeds Road,Pellon,HALIFAX,HX2 0QQ,http://www.christchurch-pellon.calderdale.sch.uk,01422 350792,01422 350792,194,VC,P
Calderdale Metropolitan Borough Council ,E08000033,3323,Christ Church CE (VA) Junior School (Sowerby Bridge),,Ms Alison Embleton,Park Road,,SOWERBY BRIDGE,HX6 2BJ,http://www.christchurchjuniors.org.uk,01422 832454,01422 831947,131,VA,J
Calderdale Metropolitan Borough Council ,E08000033,2076,Cliffe Hill Community Primary School,,Mrs Lindsay Lomas,Stoney Lane,Lightcliffe,HALIFAX,HX3 8TW,http://www.cliffehill.calderdale.sch.uk,01422 202086,01422 205286,197,C,P
Calderdale Metropolitan Borough Council ,E08000033,2059,Colden J & I School,,Sarah Hetherington (acting),Smithy Lane,Colden,HEBDEN BRIDGE,HX7 7HW,http://www.colden.calderdale.sch.uk,01422 842438,01422 845630,79,C,P
Calderdale Metropolitan Borough Council ,E08000033,2006,Copley Primary School,Mrs Nan Oldfield,Mrs Nan Oldfield,Wakefield Road,Copley,HALIFAX,HX3 0TP,http://www.copleyprimarycalderdale.org.uk,01422 354209,01422 369910,234,C,P
Calderdale Metropolitan Borough Council ,E08000033,2069,"Cornholme J, I & N School",,Mr Adam Sapey,Greenfield Terrace,Cornholme,TODMORDEN,OL14 8PL,http://www.cornholmeschool.info,01706 812787,01706 812787,229,C,P
