"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF1","24615","32703","Military","305.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Admiralty Pilot","43842","51862","Port Operations","17.36","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","9","67806","118634","Specialist Advisors","5.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Direct Military Support","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","B1","56436","72185","Training and Education","2.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","B1","56436","72185","Principal Private Secretary","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Army","1167535","Academic Profr of Music (Eng)","53112","53112","Specialist Instruction","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Academic Profr of Music (Eng)","53112","53112","Teaching","0.94","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF2","38463","45741","Military","2831.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Admiralty Pilot (Trainee)","40122","45838","Port Operations","5.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","9","67806","118634","Principal","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Estate Advice","1.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","B1","56436","72185","Business Manager","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","B1","56436","72185","Principal Private Secretary","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Army","1167535","Academic Profr of Music (Eng)","53112","53112","Training Support","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Offr 2","30136","36333","Business Management","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF3","48450","58025","Military","1544.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Adult Apprentice","18010","19107","Engineering Civ Apprentices","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Range Management","2.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","B1","56436","72185","Business Manager","1.00","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","B2","47942","59535","Knowledge Information Management Manager","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Army","1167535","ACD Prof of Music (ENG) 46 Wks","55526","55526","Specialist Instruction","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Offr 2","30136","36333","Community Service","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02001","4","20837","33829","Team Member","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF4","67032","77617","Military","601.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Apprentice","13776","17712","Engineering Civ Apprentices","179.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","B1","56436","72185","Not in post","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","B2","47942","59535","Principal Private Secretary","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Army","1167535","Ambulance Driver","18402","21798","Driving","4.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Offr 2","30136","36333","Direct Military Support","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02001","5","30889","41774","Team Member","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF5","81310","89408","Military","156.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Apprentice","13776","17712","Civilian HR Service Provider","8.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Soft Facilities Management","1.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","B2","47942","59535","Training and Education","5.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","B2","47942","59535","Senior Operational Manager","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Army","1167535","Ambulance Practitioner","18402","21798","Medical Technical","5.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Offr 3","25600","29092","Direct Military Support","0.60","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02001","6","38357","51084","Programme Manager","1.00","Science and Engineering"
