UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
24,Stockport Council,111100-Catering : Equipment & Utensils : ,Light Catering Equipment ,Quote,Contract,12/11/2013,24,48,31/10/2015,Yes,31/10/2017,01/04/2017," £41,400.00 "," £165,600.00 ",W V Howe,SME,507835,B30 3HP,Stockport- Services to People
45,Stockport Council,271200-Information Communication Technology : Hardware : ,AGMA Framework: Audio Visual and Presentation Equipment ,Call Off (External),Contract,01/08/2013,36,48,31/07/2016,No,31/07/2016,01/01/2016," £3,333.33 "," £13,333.33 ",GV / Millennium Business & Over Audio,SME,03722113,RG12 1RP,Stockport- Corporate & Support Services
92,Stockport Council,102100-Building Construction Materials : Paint & Finishing : ,Decorative paints and accessories ,OJEU,Framework Agreement,01/10/2013,24,48,30/09/2016,Yes,30/09/2017,01/08/2016," £15,616.91 "," £62,467.62 ",Various - See Supplier Tab,Various,Various- See supplier Tab,Various- See supplier Tab,Stockport- Services to Place
92,Stockport Council,102100-Building Construction Materials : Paint & Finishing : ,Decorative paints and accessories ,,,01/10/2013,24,48,30/09/2016,Yes,30/09/2017,," £15,616.91 "," £62,467.62 ",Crown Paints,SME,6624576,BB3 0BG,Stockport- Services to Place
92,Stockport Council,102100-Building Construction Materials : Paint & Finishing : ,Decorative paints and accessories ,,,01/10/2013,24,48,30/09/2016,Yes,30/09/2017,," £15,616.91 "," £62,467.62 ",PPG Architectural Coatings Ltd,SME,436135,WF17 9XA,Stockport- Services to Place
92,Stockport Council,102100-Building Construction Materials : Paint & Finishing : ,Decorative paints and accessories ,,,01/10/2013,24,48,30/09/2016,Yes,30/09/2017,," £15,616.91 "," £62,467.62 ",ICI Paints ,SME,2881643,WA14 5PG,Stockport- Services to Place
176,Stockport Council,SOCIAL CARE SERVICES : Adult,Adult Placement (Shared Lives),Tender,Contract,01/07/2011,36,72,31/05/2014,Yes,31/05/2017,31/05/2016," £1,400,000.00 "," £8,400,000.00 ",Independent Options,SME,2560910,SK7 5PE,Stockport- Services to People
193,Stockport Council,321015-Social Community Care Supplies & Services - Adult : Sheltered Accommodation : ,Extra Care,OJEU,Contract,15/09/2013,36,72,01/09/2016,Yes,01/09/2019,31/08/2019," £2,523,822.00 "," £15,142,932.00 ",Creative Support,Large,0027440IP,M1 2HF,Stockport- Services to People
199,Stockport Council,SOCIAL CARE SERVICES : Adult,Intermediate Care,OJEU,Contract,01/04/2012,24,48,31/03/2014,Yes,31/03/2017,01/08/2016," £500,622.00 "," £2,002,488.00 ",Berrycroft Manor,SME,6969431,SK6 3AU,Stockport- Services to People
200,Stockport Council,SOCIAL CARE SERVICES : Adult,Intermediate Care,OJEU,Contract,01/04/2012,24,60,31/03/2014,Yes,31/03/2017,01/08/2016," £1,084,512.00 "," £5,422,560.00 ",Borough Care,VCSE,0027788R,SK4 1AS,Stockport- Services to People
