Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,09-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1379551,"119,330.70"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,09-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1379551,"23,866.14"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,09-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1379551,"-23,866.14"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,09-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1379569,"94,273.86"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,09-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1379569,"18,854.77"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,23-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1380572,"122,036.02"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,23-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1380572,"24,407.20"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,23-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1380572,"-24,407.20"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,23-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1380577,"93,266.87"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,23-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1380577,"18,653.37"
AIREDALE NHS FOUNDATION TRUST,BRADFORD PATHOLOGY JV,BRADFORD PATHOLOGY JV,23-Jun-2017,LABORATORY REAGENTS,BRADFORD PATHOLOGY JOINT VENTURE,BECKMAN COULTER UK LTD,1380577,"-18,653.37"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,16-Jun-2017,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,PROVIDER PROVIDER,BRADFORD DISTRICT CARE TRUST,190698,"34,293.00"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,23-Jun-2017,B4 ADMIN & CLERICAL,MEDICAL MANAGEMENT,BRADFORD DISTRICT CARE TRUST,194013,"27,215.00"
AIREDALE NHS FOUNDATION TRUST,INTEGRATED CARE GROUP,MEDICAL MANAGEMENT,23-Jun-2017,B4 ADMIN & CLERICAL,MEDICAL MANAGEMENT,BRADFORD DISTRICT CARE TRUST,194014,"27,215.00"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,09-Jun-2017,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,PROVIDER PROVIDER,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,298486,"30,701.67"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,09-Jun-2017,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,ESCHMANN HOLDINGS LTD,10871,"6,222.85"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,09-Jun-2017,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,ESCHMANN HOLDINGS LTD,10871,"27,236.00"
