OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,PI62574213920150417/LCC/PL,Various works,CITY DEVELOPMENT,,,15/05/2015,,,,,"£29,254.95",,"G & S PINPLATES AND ENGINEERING LTD, City Works, Melbourne Street, MORLEY    LEEDS, LS27 8BG",,b) Micro,,Derek Prest,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,RU003242125635051,ICT Agency Staff,CENTRAL & CORPORATE,,,01/05/2015,,,,,"£54,398.83",,"Rullion IT Plus Limited, Po Box 47, Trafalgar House, ALTRINCHAM  CHESHIRE, WA14 1FG",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,ST2679421522268,Waste collection,ENVIRONMENT & HOUSING,,,28/05/2015,,,,,"£58,322.11",,"SJB Recycling Limited, Mount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,KI6395421318601133569,Speed Camera Partnership Maintenance,CITY DEVELOPMENT,,,07/05/2015,,,,,"£100,271.37",,"Kirklees Council, Lic Finance Business Support Unit, P O Box A4  Civic Centre One, HUDDERSFIELD, HD1 2NF",,Other/Not known,,Graham Fisher,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,SK1271421434070,Skips for void properties,BELLE ISLE TMO,,,19/05/2015,,,,,"£25,209.54",,"Skelton Skip Hire And Waste, Site 46 Knowsthorpe Way, Cross Green Industrial Estate, LEEDS, LS9 0SW",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,TN297242125IN18PR15002586,Premier Delivery Service,CENTRAL & CORPORATE,,,01/05/2015,,,,,"£29,817.62",,"Whistl North Limited, 1 Globeside Business Park, Fieldhouse Lane, MARLOW, SL7 1HY",,e) Large,,Sarah Temple,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,BR205542153293266,Legal Fees ,INSURANCE,,,29/05/2015,,,,,"£86,849.01",,"BROWNE JACOBSON, Mowbray House, Castle Meadow Road, NOTTINGHAM, NG2 1BJ",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,EV575842131127.03.15,Decorate Internal Building,CENTRAL & CORPORATE,,,07/05/2015,,,,,"£28,886.52",,"D EVANS LTD, The Courtyard, 41-47 Monkbridge Road, LEEDS, LS6 4EP",,b) Micro,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,FO11544214616361,Organisation membership of the Fostering Network,CHILDRENS SERVICES,,,22/05/2015,,,,,"£20,765.42",,"FOSTERING NETWORK, 87 Blackfriars Road, NULL, LONDON, SE1 8HA",,d) Medium,,Pauline Grayson,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,GE983542139GEN28147,ICT Agency Fees,CENTRAL & CORPORATE,,,15/05/2015,,,,,"£17,136.00",,"Triad Resourcing, 37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,IN075442132VY066656,Kirkgate Market - Enabling Work,CITY DEVELOPMENT,,,08/05/2015,,,,,"£121,583.93",,"Interserve Construction Ltd, 1 Thunderhead Ridge, Glasshoughton, CASTLEFORD, WF10 4UA",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,LE08304213224875765,Charge for LCC contrubution Staff Costs,ADULT SOCIAL CARE,,,08/05/2015,,,,,"£32,697.26",,"Leeds Community Healthcare Nhs Trust, Ry6 Receivables C639 Shared Bus Services, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,Tony Bailey,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,MA578442152125667,Controlled entry systems,CENTRAL & CORPORATE,,,28/05/2015,,,,,"£11,766.90",,"MAYFAIR SECURITY, Adelaide House, Vivars Way  Selby, NORTH YORKSHIRE, YO8 8BE",,d) Medium,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,NP018742129LGUSFV3P 37570282,Street Lighting,CITY DEVELOPMENT,,,05/05/2015,,,,,"£876,450.35",,"NPOWER LIMITED, Po Box 209 I&C Payment Processing Centre, Wetherby Road  Scarcroft, LEEDS, LS14 3WX",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/05/2015,PA1893421253660,Carry out work as per RAWS provided,CENTRAL & CORPORATE,,,01/05/2015,,,,,"£18,264.60",,"Parkers Landscapes & Construction Ltd, 20 Burley Road, Menston, ILKLEY  WEST YORKSHI, LS29 6PG",,b) Micro,,,Other
