Billing Year,Liability Start,Liability End,Company Name,Billing Year Balance,Liable Unit Balance,Property Address,Billing Address
2003,09-Sep-02,01-Jun-03,A T C Properties Ltd,-84.78,-84.78,"Suite 1 2ND Floor, Fountain Chambers, 22 Fountain Street, Halifax              HX1 1LW","7 Cottage Road, Headingley, Leeds, LS6 4DD"
2003,18-Nov-93,27-May-03,Andy's Records Ltd,-701.73,-701.73,"8 Cheapside, Halifax, HX1 1TQ","[In Administration], C/O Robson Rhodes, 186 City Road, London, EC1 V2NU"
2003,01-Apr-90,04-Dec-03,Central Garage (Mirfield)Ltd,-2888.07,-2888.07,"Hanson Lane Garage, 1 Hope Street, Halifax, HX1 5DW",No Forwarding Address
2003,06-Jul-03,31-Jan-04,Continental Books,-40.75,-40.75,"51 Crown Street, Halifax, HX1 1JB","F.A.O. Mr Phillip Rhodes, 51 Crown Street, Halifax, HX1 1JB"
2003,03-Jul-03,13-Oct-03,F H Shaw Ltd,-13.67,-13.67,"Part Westfield Works, Park Road, Elland, HX5 9HX","C/O Sargent & Co, 36 Clare Road, Halifax, HX1 2HX"
2003,03-Oct-00,14-May-01,Headway Plc,-486.40,-4521.46,"Unit 16, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Petchey Holdings Plc, Exchange House, 13/14 Clements Court, Ilford, IG1 2QY"
2003,01-Sep-97,30-Sep-03,Inglewood Studios Ltd,-3.58,-3.58,"Unit T5/T10, Canal Wharf Mill, Burnley Road, Mytholmroyd         HX7 8NH","The Courtyard, Town Street, Rawdon, Leeds, LS19 6PU"
2003,01-Jun-01,30-Apr-03,Mitaz Ltd,-50.18,-50.18,"13 New Road, Hebden Bridge, HX7 8AD","C/O Mr D Boud, 2 Damems Lane, Keighley, BD22 7AP"
2003,01-Oct-90,31-Jan-04,Reichenbacher (Uk) Ltd [In Liquidation],-311.03,-311.03,"Unit 8/9 Victoria Park, Lightowler Road, Pellon, Halifax             HX1 5NB","C/O Kanzlei Linse, 22 Rosenstrasse, Coburg, Germany"
2003,18-Nov-00,15-Jun-03,Yorkshire Tool Hire Ltd,-3377.31,-3377.31,"69 Huddersfield Road, Elland, HX5 9AA",No Forwarding Address
2004,26-Nov-91,12-Oct-04,Cristel Paint Finishers Ltd [In Administration],-1377.64,-1377.64,"Dunkirk Mills, Dunkirk Street, Halifax, HX1 3TB","C/O O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ"
2004,26-Nov-91,12-Oct-04,Cristel Paint Finishers Ltd [In Administration],-142.20,-142.20,"Dunkirk Mills, Dunkirk Lane, Halifax, HX1 3TB","C/O O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ"
2004,01-Dec-00,24-Jan-05,Eccles & Scott Ltd,-214.38,-214.38,"Ground Floor, Cromwell House, Elland Road, Brighouse            HD6 2RG","Cromwell House, 421 Elland Road, Brighouse, HD6 2RG"
2004,03-Dec-03,10-Oct-04,Hidayat Trading (Uk) Ltd,-100.00,-100.00,"55 Commercial Street, Halifax, HX1 1BE","55 Commercial Street, Halifax, HX1 1BE"
2004,01-Jun-04,31-May-04,Linertech Ltd,-1590.60,-1590.60,"Unit 11 (Ground & 1st Floors, Wellington Mills, Quebec Street, Elland              HX5 9AS","Ward House, 127 Hedon Road, Hull, East Yorkshire, HU9 1ND"
2004,17-Jan-93,30-Nov-04,Lionel Robinson & Co Ltd,-9.37,-9.37,"Unit 14, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA","C/O Holland House Electrical, Company Ltd, 120 Scotland Street, Glasgow, G5 8NX"
2004,01-Sep-03,31-Aug-03,M.C. Fabrications (Halifax) Ltd,-400.00,-400.00,"Moorlea Garage, Albert Road, Halifax, HX2 0DF","Moorlea Garage, Albert Road, Pellon, Halifax, HX2 0DF"
2004,06-Dec-03,05-Dec-03,Matrix Chemie Ltd,-167.00,-167.00,"Mezzanine Office 6 & 7, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY","Offices 6 & 7, Mezzanine Floor, Lumbrook Mills, Westercroft Lane, Halifax, HX3 7TY"
2004,01-Apr-90,31-Mar-04,Norman Jowett Ltd,-705.00,-705.00,"Opp Portsmouth Mill, Burnley Road, Todmorden, OL14 8PP","159 Knowlwood Road, Todmorden, OL14 6RD"
2004,01-Apr-04,31-Mar-04,Powder Coaters Ltd [In Liquidation],-1824.66,-1824.66,"Part Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD","C/O Begbies Traynor, 30 Park Cross Street, Leeds, LS1 2QH"
2004,15-Jan-01,30-Apr-04,Ripponden Mill Co Ltd,-145.05,-145.05,"Unit 4 (I) B Ripponden Mill, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DJ","Mill Fold, Ripponden, Sowerby Bridge, HX6 4DH"
2004,03-Dec-96,15-Aug-04,Treble Vision Ltd [In Administration],-386.94,-386.94,"Unit A4, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",
2004,18-Oct-95,31-Jan-05,Tyne Insulation Supplies Ltd,-1197.78,-1197.78,"Unit 19 Woodman Works, South Lane, Elland, HX5 0PA","Unit 6, 30 City Link Industrial Park, Phoenix Way, Bradford, BD4 8JP"
2004,03-Dec-96,15-Aug-04,Vision In Print Ltd [In Administration],-568.44,-568.44,"Unit A3, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",
2004,02-Apr-02,30-Jun-04,Willow Print Technology Ltd,-57.78,-57.78,"6 Crown Yard, Southgate, Elland, HX5 0DQ","6 Crown Yard, Southgate, Elland, HX5 0DQ"
2005,20-May-05,01-Feb-06,Almado Hom Pub Ltd,-112.80,-112.80,"The Crown Inn, 10 Crown Street, Hebden Bridge, HX7 8EH","Bradley Wharton House, 2 Market Street, Broadbottom, Cheshire, SK14 6AX"
2005,01-Apr-90,23-Mar-06,Aquabeau Ltd [Dissolved],-1857.37,-1857.37,"Hanson Lane, Halifax, HX1 4QU","C/O The Treasury Solicitor, One Kemble Street, London, WC2B 4TS"
2005,01-Nov-99,23-Mar-06,Aquarius Bathrooms Ltd,-31.91,-31.91,"Unit 4 Windsor Business Park, Hanson Lane, Halifax, HX1 4SD","Hanson Lane, Halifax, HX1 4QU"
2005,17-May-04,15-Apr-05,B & E Stainless Fabrications Ltd [In Administration],-4.18,-4.18,"Sovereign Works, Sovereign Street, Halifax, HX1 5AH","C/O David Horner & Co, 11 Clifton Moor Business Villa, James Nicolson Link, Clifton Moor, York, YO30 4XG"
2005,02-Oct-03,30-Sep-05,Brass Court Ltd,-6.09,-6.09,"The Barge, 37 Mill Lane, Brighouse, HD6 1PA","Second Floor Office, The Villa, 1 Hollingwood Lane, Bradford, BD7 2RE"
2005,24-Mar-06,29-Oct-08,D & S Baths Ltd [In Administration],-41.63,-4364.05,"Hanson Lane, Halifax, HX1 4QU","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU"
2005,06-May-04,29-Jul-05,Dorlux Beds Ltd [In Administration],-383.57,-383.57,"Unit 2, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Price Waterhouse Coopers, Benson House, 33 Wellington Street, Leeds, LS1 4JP"
2005,01-Apr-05,31-Mar-10,Hillcrest Garage (Sowerby Bridge) Ltd,-354.82,-5942.28,"Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL","Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL"
2005,01-Apr-01,31-Mar-01,J W Lister Ltd,-18.64,-18.64,"Unit 32b, Phoebe Lane Ind Estate, Phoebe Lane, Halifax             HX3 9EX","Brooksmouth Mills, Clifton Road, Brighouse, HD6 1SL"
2005,01-Feb-04,30-Apr-08,Mbe Glazing Systems Ltd,-422.00,-422.00,"Unit 6, Burley Street, Elland, HX5 0AQ","Unit 21, Woodman Works, South Lane, Elland, HX5 0PE"
2005,05-Sep-03,30-Nov-04,Ore-An Ltd,-515.00,-515.00,"Unit 13, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA","Unit 15-20, Branxholme Ind Est, Bradford Road, Bailiff Bridge, Brighouse, HD6 4EA"
2005,20-Feb-99,08-Oct-05,Repack Services Ltd,-662.84,-662.84,"Unit 2 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT","Unit 2 S.D.H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT"
2005,01-Apr-04,08-Oct-05,Repack Services Ltd,-4.73,-4.73,"Unit 22 Sdh Industrial Est, West Street, Sowerby Bridge, HX6 3BS","Unit 2 S.D.H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT"
2005,01-Apr-04,31-Aug-05,Repack Services Ltd,-227.07,-227.07,"Unit 16, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS","Unit 2 S.D.H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT"
2005,18-Jun-05,26-Aug-05,Ripponden Carriers Ltd [In Administration],-8.16,-8.16,"Office 1, 11 Owler Ings Road, Brighouse, HD6 1EJ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP"
2005,18-Jun-05,26-Aug-05,Ripponden Carriers Ltd [In Administration],-2.67,-2.67,"Offices 4 & 5, 11 Owler Ings Road, Brighouse, HD6 1EJ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP"
2005,06-May-99,20-Dec-05,Speaks Building Systems Ltd,-544.44,-544.44,"Unit 1 Shay Lane Works, Shay Lane, Halifax, HX3 6SF","C/O 1 Goosegate Farm, Heathy Lane, Holmefield, HX2 9UN"
2005,26-Jul-03,21-Nov-07,The Brunswick Centre,-175.47,-175.47,"Arden Road Social Club, Arden Road, Halifax, HX1 3AG","The Resource Centre, Hall Street, Halifax, HX1 5AY"
2005,31-Jul-92,31-Mar-05,The Imperial Crown Hotel Ltd,-7.80,-7.80,"31 Square Road, Halifax, HX1 1QG","Corus Hotels Ltd, Rossway Park, Berkhamstead, HP4 3TZ"
2005,14-Mar-05,20-May-05,The Inncredible Pub Co Ltd,-332.09,-332.09,"The Malt House, 270 Oldham Road, Rishworth, Sowerby Bridge       HX6 4QB","The Council Chambers, Hazford Street, Tamworth, B79 7RB"
2005,27-Apr-05,26-Apr-05,The Shay Stadium Trust Ltd,-198.04,-198.04,"Car Park, Hunger Hill, Halifax, HX1 2JT","The Shay Stadium, Halifax, HX1 2YT"
2005,20-May-04,06-May-05,Wharfedale Taverns Ltd,-32.28,-32.28,"The Beck, 157 Bradford Road, Brighouse, HD6 4AS","Highcliffe Court, Greenfold Lane, Wetherby, LS22 6RG"
2005,01-Apr-05,17-Jun-05,Yorkshire Mouldings Ltd [In Administration],-1068.00,-1068.00,"Armytage Road, Brighouse, HD6 1UJ","Price Waterhouse Coopers, Benson House, 33 Wellington Street, Leeds, LS1 4JP"
2006,14-Jul-05,14-Feb-07,1st 4 Training Ltd,-30.55,-30.55,"Unit 15B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","12 Prospect Court, Norton Tower, Halifax, HX2 0NR"
2006,07-Sep-06,30-Mar-07,Admiral Taverns Ltd,-8.60,-8.60,"Big D's, 355 Halifax Road, Todmorden, OL14 5SR","Purchase Ledger Dept, Suite H3, Steam Mill Business Centre, Steam Mill Street, Chester, CH3 5AN"
2006,01-May-98,30-Mar-07,Brighouse Transport & Maintenance Ltd,-4.49,-4.49,"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",
2006,01-Apr-90,06-Dec-06,Chekemcolour Limited [In Administration],-2538.15,-2538.15,"Smithfield Joinery Works, South Lane, Elland, HX5 0HQ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP"
2006,11-Jun-06,15-Mar-07,D & I Phillips Properties Limited,-35.12,-35.12,"27 Burnley Road, Todmorden, OL14 7BU","27 Burnley Road, Todmorden, OL14 7BU"
2006,24-Mar-06,29-Oct-08,D & S Baths Ltd [In Administration],-1948.50,-4364.05,"Hanson Lane, Halifax, HX1 4QU","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU"
2006,01-Jul-04,30-Mar-07,D. Bird (Joiners) Ltd,-2.25,-2.25,"Unit 12 Washer Lane Works, Washer Lane, Halifax, HX2 7DX","6 Prospect Place, Sowerby, Sowerby Bridge, Halifax, HX6 1JF"
2006,01-Jan-04,29-Sep-06,Direct Door Panels [Brighouse] Ltd [In Liquidation],-234.94,-234.94,"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH","C/O Griffins, Tavistock House South, Tavistock Square, London, WC1H 9LG"
2006,12-Jun-06,16-Mar-07,Entari Ltd,-11.16,-11.16,"21 Rochdale Road, Todmorden, OL14 5AA","The Old Co-Op Hall, Old Town, Hebden Bridge, HX7 8RX"
2006,01-Apr-06,31-Mar-06,Kwik Save Ltd [In Liquidation],-181.10,-181.10,"Board No 208602, Adj 58 Horton Street, Union Street, Halifax              HX1 1PR","C/O St James Square, Manchester, M2 6DS"
2006,01-Nov-05,28-Feb-07,Northstart Limited,-242.72,-242.72,"Unit 2, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT","Mr Hal Clarkson, Unit 2 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT"
2006,01-Aug-99,30-Apr-06,Outsourced Credit Management Ltd,-287.26,-287.26,"3 Carlton Place, Halifax, HX1 2SB","3 Carlton Place, Halifax, HX1 2SB"
2006,01-Dec-06,15-Mar-07,Ploughcroft Building Services Limited,-29.42,-29.42,"Office 3, 11 Owler Ings Road, Brighouse, HD6 1EJ","Mill 2, St Pegs Mill, Thornhillbeck Lane, Brighouse, HD6 4AH"
2006,01-May-05,14-Feb-07,Starway Motorcycles Ltd [In Administration],-91.88,-91.88,"Unit 6 & 7, 370 Bradford Road, Brighouse, HD6 4DJ","C/O Milner Boardman & Partners, Century House, Ashley Road, Hale, WA15 9TG"
2006,01-Sep-06,01-Apr-07,Timber Building Installations Ltd,-3.92,-3.92,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Unit 1, Calder Valley Motors, Burnley Rd, Mytholmroyd, Hebden Bridge, HX7 5AD"
2006,12-Jul-06,30-Nov-06,Trafford Management Ltd,-8.90,-8.90,"17 Bull Green, Halifax, HX1 2RZ","94 Westminster Road, Urmston, Manchester, M41 0RG"
2006,01-May-05,15-Feb-07,Worthington Nicholls Ltd,-180.08,-180.08,"Office Suite D140, Dean Clough Mills, Halifax, HX3 5AX","Fao Mr N Smith, Office Suite D140, Dean Clough Mills, Halifax, HX3 5AX"
2006,15-Jul-05,16-Oct-06,Y.M Newmark Ltd [In Administration],-35837.69,-35837.69,"Armytage Road, Brighouse, HD6 1UJ","C/O Poppleton & Appleby, 32 High Street, Manchester, M4 1QD"
2007,27-Jun-07,28-Jun-07,Admiral Taverns (Harmony) Ltd,-15.04,-15.04,"Royal Oak Inn, Lower Edge Road, Elland, HX5 9QD","Penn House, 30 High Street, Rickmansworth, Hertfordshire, WD3 1EP"
2007,15-Dec-06,27-Sep-07,Amatex Catering Services Ltd [In Administration],-212.72,-212.72,"Square Road, Halifax, HX1 1QG","Ashcroft Business, Recovery & Insolvency, 601 High Road, Leytonstone, London, E11 4PA"
2007,09-Jul-04,12-Dec-07,Blue Lagoon (Uk) Ltd [In Liquidation],-203.73,-203.73,"Unit 18, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG","C/O Mazars Llp, Mazars House, Gelderd Road, Gildersome , Leeds, LS27 7JN"
2007,06-Jul-07,02-Feb-10,C.C.L Group Ltd [In Administration],-245.66,-899.10,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR"
2007,24-Mar-06,29-Oct-08,D & S Baths Ltd [In Administration],-1998.00,-4364.05,"Hanson Lane, Halifax, HX1 4QU","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU"
2007,26-Mar-03,31-Mar-08,Falk Europe Ltd,-87.23,-87.23,"Part 2ND Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB","2nd Floor, Woodvale House, Woodvale Road, Brighouse, HD6 4AB"
2007,12-Feb-08,28-May-09,Heritage Cashmere Ltd [In Administration],-29.72,-299.25,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","C/O Armstrong Watson, Central House, 47 St Pauls Street, Leeds, LS1 2TE"
2007,01-Apr-04,17-Jun-07,K Hamnett [Machinery Removers],-242.02,-242.02,"Philmar House, Gibbet Street, Halifax, HX2 0AR","Philmar House, Highroad Well Works, Gibbet Street, Halifax, HX2 0AR"
2007,06-Mar-98,25-Mar-07,Kelly Services (Uk) Ltd,-477.00,-477.00,"25 Bull Green, Halifax, HX1 2RZ","Finance Dept, Apple Market House, 17 Union Street, Kingston Upon Thames, KT1 1RR"
2007,04-Jun-07,06-Jan-08,Leodis Commercial Ltd,-345.01,-345.01,"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ","Well Lane, Guiseley, Leeds, LS20 9BA"
2007,01-May-07,30-Sep-07,Maramar Properties Ltd,-810.30,-810.30,"Carlton Chambers, 1 King Cross Street, Halifax, HX1 2SG","Mile Thorn Works, Gibbet Street, Halifax, HX1 4JR"
2007,16-Apr-06,31-Mar-08,W.C.H Property Investments Ltd,-84.00,-84.00,"Unit 2A Ripponden Mill, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DJ","Unit 2A, Ripponden Mill, Mill Fold Lane, Ripponden , Sowerby Bridge, HX6 4DH"
2008,01-Jan-04,31-Mar-08,Bar Refreshments [Uk] Ltd,-877.80,-1799.30,"Martins Mill, Pellon Lane, Halifax, HX1 5QJ",No Forwarding Address
2008,06-Jul-07,02-Feb-10,C.C.L Group Ltd [In Administration],-346.50,-899.10,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR"
2008,28-May-08,02-Jun-08,Citexx Ltd [In Administration],-2159.37,-2159.37,"Unit 1, Elland Industrial Estate, Elland Lane, Elland              HX5 9DZ","C/O Baker Tilly, 3 Hardman Street, Manchester, M3 3HF"
2008,31-Aug-02,29-Jun-08,Connexions (West Yorkshire),-1766.88,-1766.88,"Second & Third Floors, Park View House, Woodvale Road, Brighouse            HD6 4AB","2nd Floor & 3rd Floors, Park View House, Woodvale Road, Brighouse, HD6 4AB"
