election_id,election_type,election_date,district_name,result_votes_total,result_url,candidate_votes,candidate_elected,party_name,party_short_name,party_resource_uri,person_id,person_first_name,person_middle_names,person_last_name,person_all_names
1,council,04/06/2009,Rugby,1881,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/7D96AE7A8F60BE8F80256F460052B486,988,1,Conservative,Con,http://openelectiondata.org/id/parties/25,2804,Peter,James,Butlin,PeterJamesButlin
1,council,04/06/2009,Rugby,1881,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/7D96AE7A8F60BE8F80256F460052B486,249,0,Liberal Democrat,LibDem,http://openelectiondata.org/id/parties/26,2805,Tom,,Hardgrave,TomHardgrave
1,council,04/06/2009,Rugby,1881,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/7D96AE7A8F60BE8F80256F460052B486,239,0,Green,Green,http://openelectiondata.org/id/parties/64,2806,Steve,,Laffy,SteveLaffy
1,council,04/06/2009,Rugby,1881,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/7D96AE7A8F60BE8F80256F460052B486,405,0,Labour,Lab,http://openelectiondata.org/id/parties/6,2807,Alan,Charles,Webb,AlanCharlesWebb
1,council,04/06/2009,Stratford,3067,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/FE3674811722B69680256F85005270EF,169,0,Green,Green,http://openelectiondata.org/id/parties/64,2811,Karen,Tracy,Varga,KarenTracyVarga
1,council,04/06/2009,Stratford,3067,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/FE3674811722B69680256F85005270EF,1487,1,Conservative,Con,http://openelectiondata.org/id/parties/25,2808,Mike,,Gittus,MikeGittus
1,council,04/06/2009,Stratford,3067,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/FE3674811722B69680256F85005270EF,78,0,Labour,Lab,http://openelectiondata.org/id/parties/6,2809,Jeffrey,Simon,Kenner,JeffreySimonKenner
1,council,04/06/2009,Stratford,3067,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/FE3674811722B69680256F85005270EF,1333,0,Liberal Democrat,LibDem,http://openelectiondata.org/id/parties/26,2810,Nina,Blanche,Knapman,NinaBlancheKnapman
1,council,04/06/2009,Nuneaton and Bedworth,8994,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E,848,0,Green,Green,http://openelectiondata.org/id/parties/64,2818,Mike,,Wright,MikeWright
1,council,04/06/2009,Nuneaton and Bedworth,8994,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E,1480,0,Labour,Lab,http://openelectiondata.org/id/parties/6,2815,Barry,James,Longden,BarryJamesLongden
1,council,04/06/2009,Nuneaton and Bedworth,8994,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E,692,0,Green,Green,http://openelectiondata.org/id/parties/64,2812,James,Christopher Myles,Alty,JamesChristopher MylesAlty
1,council,04/06/2009,Nuneaton and Bedworth,8994,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E,1582,1,Conservative,Con,http://openelectiondata.org/id/parties/25,2816,Sonja,Lund,Wilson,SonjaLundWilson
1,council,04/06/2009,Nuneaton and Bedworth,8994,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E,1283,0,BNP,BNP,http://openelectiondata.org/id/parties/38,2813,Martyn,Russell,Findley,MartynRussellFindley
1,council,04/06/2009,Nuneaton and Bedworth,8994,http://www.warwickshire.gov.uk/corporate/Elect09.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E,1637,1,Conservative,Con,http://openelectiondata.org/id/parties/25,2817,Tom,,Wilson,TomWilson
