OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,ST267942278002550,Various waste and recycling,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,01/10/2015,,,,,"£63,325.62",,"SJB RECYCLING LIMITED, Mount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,GE983542279GEN029460,ICT temporary staff,CENTRAL & CORPORATE,8-Agency Staff,,02/10/2015,,,,,"£45,586.00",,"TRIAD RESOURCING, 37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,LE883342284SI43296,Health and Safety Training,CENTRAL & CORPORATE,70-Best Value Training,,07/10/2015,,,,,"£22,700.00",,"LEEDS COLLEGE OF BUILDING, North Street, NULL, LEEDS, LS2 7QT",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,DA201J4228654638,Switch Installation & Configuration,CHILDRENS SERVICES,-,,09/10/2015,,,,,"£101,955.80",,"DATACABLE LTD, Keighley Business Centre, South St, KEIGHLEY, BD21 1AG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CA0630422844634,Electrical Controls installation,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,07/10/2015,,,,,"£35,972.00",,"CALVERLEY CONTROL INSTALLATIONS LTD, Blacup House, Royds Close, LEEDS, LS12 6LL",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,TN297242300IN18PR15007396,Postage and delivery,CENTRAL & CORPORATE,212-Postages,,23/10/2015,,,,,"£25,427.09",,"WHISTL NORTH LIMITED, 1 Globeside Business Park, Fieldhouse Lane, MARLOW, SL7 1HY",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,PA403B4230557410,Steel Fencing,ENVIRONMENT & HOUSING,205-Operational Materials,,28/10/2015,,,,,"£28,571.30",,"PARAMOUNT STEEL FENCE, Florida Close, Hot Lane Industrial Estate, BURSLEM  STOKE ON TRENT, ST6 2DJ",,d) Medium,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,BR04634228274991362222,SLA Supported Living Out of Area Placement for LD clients,JCS FOR PEOPLE WITH LEARNING DISABILITIE,568-Home Care,,05/10/2015,,,,,"£80,136.42",,"CITY OF BRADFORD METROPOLITAN DISTRICT, Dept Finance Rev & Benefits Service, Dept 19 Brittania House  Halll Ings, BRADFORD, BD1 1HX",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CA7042422920568,A fund for Energy Efficiency/heatin,ENVIRONMENT & HOUSING,-,,15/10/2015,,,,,"£19,750.00",,"CARE & REPAIR LEEDS, 323 Roundhay Road, NULL, LEEDS, LS8 4HT",,c) Small,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CE0115423062314094,LSA's,CHILDRENS SERVICES,8-Agency Staff,,29/10/2015,,,,,"£12,592.50",,"CELSIAN GROUP LIMITED, 800 The Boulevard, Capability Green, LUTON, LU1 3BA",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,GC003842285103430,Renewal Contract,CENTRAL & CORPORATE,-,,08/10/2015,,,,,"£15,600.00",,"GCS RECRUITMENT SPECIALISTS LTD, 2 Wesley Gate  70-74 Queens Road, NULL, READING, RG1 4AP",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,GL03164229616-3-1126/3,Kitchen Ventilation,CHILDRENS SERVICES,-,,19/10/2015,,,,,"£130,279.27",,"GLIDEFIELD LTD, Forward House, Mount Street, BRADFORD, BD3 9SR",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,GR372742282S7663,River Stewardship Programme,CITY DEVELOPMENT,2-Bonus/Performance related pay,,05/10/2015,,,,,"£22,443.00",,"GROUNDWORK LEEDS, Environmental & Business Services, Merlyn-Rees Avenue, MORLEY  LEEDS, LS27 9SL",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,KN9141423030642,Sovereign Street Footbridge Feasibility Study ,CITY DEVELOPMENT,-,,26/10/2015,,,,,"£10,000.00",,"KNIGHT ARCHITECTS LIMITED, Thame House, 9 Castle Street, High Wycombe, BUCKS, HP13 6RZ",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,LE08304230724876343,Gateway Team Manager Post,ADULT SOCIAL CARE,522-Services Provided By Other NHS Bodies,,30/10/2015,,,,,"£18,174.10",,"LEEDS COMMUNITY HEALTHCARE NHS TRUST, Ry6 Receivables C639 Shared Bus Services, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,OT9231422905100575,TSL Contribution,CHILDRENS SERVICES,265-Other Hired And Contracted Services,,13/10/2015,,,,,"£12,200.00",,"PRINCE HENRYS GRAMMAR SCHOOL, Farnley Lane, NULL, OTLEY, LS21 2BB",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,PR067442279INV-7352,Printing BAS,CITY DEVELOPMENT,267-Publication And Promotion,,02/10/2015,,,,,"£17,424.38",,"PROJECT 53 LTD, 5a  Calls Landing, 36-38 The Calls, LEEDS, LS2 7EW",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,AI984542282IN15741,"Dual Lane Bungee Run Passing AQ6
delivery",CITY DEVELOPMENT,203-Operational Furniture And Equipment,,05/10/2015,,,,,"£5,075.00",,"AIRQUEE LTD, Duel House, Llandowlais Street, CWMBRAN, NP44 7XB",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,AR021342307INV26528,CRESCENT GRANGE FIRE SPRINKLER,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,30/10/2015,,,,,"£20,500.00",,"ARMSTRONG PRIESTLEY LTD, 77 Holbeck Lane, Holbeck, LEEDS, LS11 9UL",,d) Medium,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,AR1451422781177,To lead and produce strategy,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,01/10/2015,,,,,"£10,431.00",,"ARC4 LTD, 41 Clarendon Road, Sale, MANCHESTER, M33 2DY",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,AU155442285OP/0031494,Concert seating bespoke,CITY DEVELOPMENT,203-Operational Furniture And Equipment,,08/10/2015,,,,,"£5,090.71",,"AUDIENCE SYSTEMS LTD, Washington Road, Westbury, WILTSHIRE, BA13 4JP",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,BR0182423073765,Bat work - Re-Roofing South and West,ENVIRONMENT & HOUSING,-,,30/10/2015,,,,,"£12,040.00",,"BROOKS ECOLOGICAL LTD, Unit A 1 Station Road, Guiseley, LEEDS, LS20 8BX",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,BR04274230020002084,Early Medieval gold finger ring,CITY DEVELOPMENT,271-Contributions To Extended Facilities,,23/10/2015,,,,,"£5,500.00",,"THE BRITISH MUSEUM GREAT COURT LTD, Great Russell Street, NULL, LONDON, WC1B 3DG",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,BR3699422964088413,Boiler work,CENTRAL & CORPORATE,205-Operational Materials,,19/10/2015,,,,,"£13,890.53",,"BROAG LTD, Remeha House  Molly Millars Lane, Wokingham, BERKSHIRE, RG41 2QP",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CA19514229328448,Specialist equipment,ADULT SOCIAL CARE,203-Operational Furniture And Equipment,,16/10/2015,,,,,"£5,735.80",,"CARECHAIR LTD, Enterprise House, 7 Cranswick Industrial Est, HUTTON CRANSWICK  EAST YORKS, YO25 9PF",,c) Small,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CA2386422931800000816,Council Elections,CENTRAL & CORPORATE,1-Basic Pay,,16/10/2015,,,,,"£12,000.00",,"CABINET OFFICE: ELECTORAL CLAIMS UNIT, Accounts Finance Shared Services, High Trees, Hillfield Road, HEMEL HEMPSTEAD, HP2 4XN",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CA3156422936017025864,Health & Safety Consultants,CITY DEVELOPMENT,259-Consultancy Services,,16/10/2015,,,,,"£7,000.00",,"CAPITA PROPERTY & INFRASTRUCTURE LTD, P O Box 212, Faverdale Industrial Estate, DARLINGTON, DL1 9HN",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CO15654229399,Management of Needle Exchange Scheme,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,16/10/2015,,,,,"£13,750.00",,"CPWY - SERVICES, Brooklands Court, Tunstall Road, LEEDS, LS11 5HL",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CO183942299158922,Bespoke flooring - Rugby world cup,CITY DEVELOPMENT,203-Operational Furniture And Equipment,,22/10/2015,,,,,"£6,600.00",,"CORUBA LIMITED, 30 Purdeys Way, Purdeys Industrial Estate, ROCHFORD, SS4 1ND",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,CO3107422922015/0919/3433/PO286,Killingbeck Fire Station,CITY DEVELOPMENT,-,,15/10/2015,,,,,"£6,992.45",,"COLAS LTD, Wallage Lane, Rowfant, CRAWLEY, RH10 4NF",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,EN02484227910048,PC Environmental HVM Utility Software,ENVIRONMENT & HOUSING,-,,02/10/2015,,,,,"£5,105.00",,"PC ENVIRONMENTAL LTD, Units 1 & 2 Claylands Road Ind Est, Claylands Road  Bishops Waltham, SOUTHAMPTON, SO32 1BH",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,EN32444230021363,Chemiluminescent real,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,23/10/2015,,,,,"£8,930.00",,"ENVIRO TECHNOLOGY SERVICES PLC, Bi Kingfisher Business Park, London Road  Thrupp, STROUD, GL5 2BY",,c) Small,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,ES4286422796762186,Supply of wheeled refuse bins,ENVIRONMENT & HOUSING,-,,02/10/2015,,,,,"£7,249.20",,"ESE LTD, Beacon House     Regs Way, Bardon Hill, COALVILLE, LE67 1GH",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,EX943942307HEX6000547926,Regional Econometric Model,CENTRAL & CORPORATE,214-Computer Software & Equipment,,30/10/2015,,,,,"£20,000.00",,"EXPERIAN LIMITED, Landmark House Experian Way, Ng2 Business Park, NOTTINGHAM, NG80 1ZZ",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,FI86704227903/09/2015 FAMILY,Community Learning,CHILDRENS SERVICES,276-College Contracts,,02/10/2015,,,,,"£21,855.00",,"FIRST PRODIGIES LIMITED, Unit 3/5 Unity Business Centre, Roundhay Road, LEEDS, LS7 1AB",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,FO0389423051800001302,Natural Resources and Waste Local Plan,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,28/10/2015,,,,,"£20,597.70",,"COMMUNITIES AND LOCAL GOVERNMENT ONLY, Finance Shared Services Division, High Trees   Hillfield Road, HEMEL HEPSTEAD, HP2 4XN",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,FR01384227911143,Supply of Power generation,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,02/10/2015,,,,,"£20,900.00",,"FTS EVENT POWER LTD, 17 Henconner Avenue, Chapel Allerton, LEEDS, LS7 3NW",,b) Micro,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,FR0593422791006806,Hire of fridges & freezers Kirkgate market,CITY DEVELOPMENT,102-Plant and Machinery,,02/10/2015,,,,,"£22,667.67",,"FRIDGE RENTALS, W5 - Warrington Business Park, Long Lane, WARRINGTON, WA2 8TX",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,IM75234227955441,"Install and breakdown of displayst
Replacement panel",CITY DEVELOPMENT,215-Printing,,02/10/2015,,,,,"£14,820.00",,"IMAGECO LTD, Britannia House  Beza Road, Hunslet, LEEDS, LS10 2BR",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,JE050542283SI15-0866,SUPPLY FLUES ON SITE,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,06/10/2015,,,,,"£6,083.00",,"JEREMIAS UK LTD, Unit 5 Acorn Way, Oak Tree Business Park, MANSFIELD, NG18 3HD",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,JO035042285EN002-0182778,Property Valuations,CITY DEVELOPMENT,259-Consultancy Services,,08/10/2015,,,,,"£5,750.00",,"JONES LANG LASALLE LIMITED, Deutsche Bank Ag London, Po Box 626, DONCASTER, DN4 5YW",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,KI6395423078601563375,Joint funded project kirklees,CITY DEVELOPMENT,12-*** No Description ***,,30/10/2015,,,,,"£65,993.94",,"KIRKLEES COUNCIL, Lic Finance Business Support Unit, P O Box A4  Civic Centre One, HUDDERSFIELD, HD1 2NF",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,LE064542300QUARTER 2015/2016,Early Help Services,CHILDRENS SERVICES,505-Services Rendered By Voluntary Sector,,23/10/2015,,,,,"£25,083.00",,"LEEDS CHILDREN'S CHARITY, Suite 12, 6-8 York Place, LEEDS, LS1 2DS",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,LO205242297PSI0046594,Boiler and materials,CENTRAL & CORPORATE,205-Operational Materials,,20/10/2015,,,,,"£20,352.00",,"LOCHINVAR LIMITED, 7 Lombard Way, The Mxl Centre, BANBURY OXFORDSHIRE, OX16 4TJ",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,ME0850423002927,SUPPLY & INSTALL HEATERS ON SITE,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,23/10/2015,,,,,"£20,612.00",,"BT MECHANICAL COMMERCIAL AND INDUSTRIAL, 60 Sheepwalk Lane, Townville, CASTLEFORD, WF10 3QG",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,NA1666423075772,Marquees for Rugby World Cup Fanzon,CITY DEVELOPMENT,203-Operational Furniture And Equipment,,30/10/2015,,,,,"£5,592.50",,"NATIONWIDE MARQUEE HIRE, Unit 20/20a Barnfield Business Centre, Brunswick Street, NELSON LANCASHIRE, BB9 0HT",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,NE240942299M0018383,Tuition fees,CHILDRENS SERVICES,565-Education Fees/Bursary,,22/10/2015,,,,,"£7,090.00",,"NEWCASTLE COLLEGE, Shared Services (Credit Control), Newcastle College Ryehill Campus, SCOTSWOOD ROAD NEWCASTLE, NE4 7SA",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,NH0358422937312403758,Staffing Costs,CENTRAL & CORPORATE,-,,16/10/2015,,,,,"£5,231.22",,"NHS YORKSHIRE AND HUMBER CSU, Oda Payables M395, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,OL023342284203,Boiler control system and electrical enabling works,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,07/10/2015,,,,,"£6,965.00",,"COOLBREEZE CONTROLS, 68 Cornmill Lane, NULL, LIVERSEDGE, WF15 7DZ",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,OU17494228519775,Branded Bodyline towels,CITY DEVELOPMENT,204-Resaleable Materials,,08/10/2015,,,,,"£31,800.00",,"OUTSTANDING BRANDING, 8 Vine Yard, NULL, LONDON, SE1 1QL",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,PE1086422797243,Various works at Bexley Wing,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,02/10/2015,,,,,"£7,219.00",,"PC PEST CONTROL LTD, Unit 2 Eagle Point, Telford Way, WAKEFIELD, WF2 0XW",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,PL021742306255,Plastering work at Leeds City Gallery.,CITY DEVELOPMENT,101-Maintenance Of Buildings,,29/10/2015,,,,,"£6,724.01",,"PLASTERPRO., Building 3  City West Business Park, NULL, LEEDS, LS12 6BG",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,PO043042285POC-PROI004422,To provide electrical infrastructure,CITY DEVELOPMENT,-,,08/10/2015,,,,,"£161,725.00",,"POWER ON CONNECTIONS LTD, Dovecote Court  Potters Marston Hall, Pingle Lane, LEICESTER, LE9 3JR",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/12/2015,PO05424229151205,Re-installation of hydraulic wheelchair lift.,ENVIRONMENT & HOUSING,-,,14/10/2015,,,,,"£6,343.75",,"POLLOCK LIFTS, 1 Slofield Drive, Trooperslane Industrial Estate, CARRICKFERGUS, BT38 8GX",,d) Medium,,,Other
