"ID","Uniqueid","Movement","date","Time","EuroStatusNum","Make and Model Desc","Propulsion Type Desc","Wheel Plan Desc","Body Type Desc 1","BodyTypeDesc2","Vehicle Type_PostCode","Reg_Month","manufacture","TYPE"
1,1,1,19/4/2016 00:00:00,"07:10:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
2,1,1,18/4/2016 00:00:00,"07:20:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
3,1,1,23/4/2016 00:00:00,"18:10:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
4,1,1,20/4/2016 00:00:00,"07:30:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
5,1,1,22/4/2016 00:00:00,"07:20:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
6,1,1,21/4/2016 00:00:00,"07:30:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
7,1,11,21/4/2016 00:00:00,"18:30:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
8,1,11,20/4/2016 00:00:00,"18:40:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
9,1,11,23/4/2016 00:00:00,"06:30:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
10,1,11,18/4/2016 00:00:00,"18:30:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
11,1,11,19/4/2016 00:00:00,"18:30:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
12,1,9,19/4/2016 00:00:00,"07:20:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
13,1,5,18/4/2016 00:00:00,"18:40:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
14,1,5,19/4/2016 00:00:00,"18:30:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
15,1,5,20/4/2016 00:00:00,"18:40:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
16,1,5,21/4/2016 00:00:00,"18:30:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
17,1,5,23/4/2016 00:00:00,"06:40:00","001/1A/EG","SEAT LEON SE 20V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS096","2003-01","2003",
18,2,1,22/4/2016 00:00:00,"14:20:00","2001/1A","HYUNDAI MATRIX GSI","PETROL","2 AXLE RIGID BODY","CARS","Multi Purpose Vehicle","SK152","2002-12","2002",
19,2,1,21/4/2016 00:00:00,"12:30:00","2001/1A","HYUNDAI MATRIX GSI","PETROL","2 AXLE RIGID BODY","CARS","Multi Purpose Vehicle","SK152","2002-12","2002",
20,2,5,21/4/2016 00:00:00,"16:40:00","2001/1A","HYUNDAI MATRIX GSI","PETROL","2 AXLE RIGID BODY","CARS","Multi Purpose Vehicle","SK152","2002-12","2002",
21,3,5,18/4/2016 00:00:00,"07:50:00","715/2007*692/2008F","AUDI A1 SPORT TDI","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","S 124","2012-03","2012",
22,3,5,19/4/2016 00:00:00,"09:20:00","715/2007*692/2008F","AUDI A1 SPORT TDI","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","S 124","2012-03","2012",
23,3,5,20/4/2016 00:00:00,"07:50:00","715/2007*692/2008F","AUDI A1 SPORT TDI","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","S 124","2012-03","2012",
24,3,5,21/4/2016 00:00:00,"07:30:00","715/2007*692/2008F","AUDI A1 SPORT TDI","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","S 124","2012-03","2012",
25,3,5,22/4/2016 00:00:00,"09:10:00","715/2007*692/2008F","AUDI A1 SPORT TDI","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","S 124","2012-03","2012",
26,4,1,21/4/2016 00:00:00,"18:40:00","2003/76B/EC","TOYOTA AVENSIS T4 D-4D","DIESEL","2 AXLE RIGID BODY","CARS",,"BD205","2009-06","2009","Private Hire"
27,4,1,18/4/2016 00:00:00,"19:20:00","2003/76B/EC","TOYOTA AVENSIS T4 D-4D","DIESEL","2 AXLE RIGID BODY","CARS",,"BD205","2009-06","2009","Private Hire"
28,4,5,18/4/2016 00:00:00,"19:10:00","2003/76B/EC","TOYOTA AVENSIS T4 D-4D","DIESEL","2 AXLE RIGID BODY","CARS",,"BD205","2009-06","2009","Private Hire"
29,4,5,19/4/2016 00:00:00,"18:50:00","2003/76B/EC","TOYOTA AVENSIS T4 D-4D","DIESEL","2 AXLE RIGID BODY","CARS",,"BD205","2009-06","2009","Private Hire"
30,4,5,20/4/2016 00:00:00,"01:10:00","2003/76B/EC","TOYOTA AVENSIS T4 D-4D","DIESEL","2 AXLE RIGID BODY","CARS",,"BD205","2009-06","2009","Private Hire"
31,4,5,21/4/2016 00:00:00,"01:10:00","2003/76B/EC","TOYOTA AVENSIS T4 D-4D","DIESEL","2 AXLE RIGID BODY","CARS",,"BD205","2009-06","2009","Private Hire"
32,4,5,24/4/2016 00:00:00,"04:10:00","2003/76B/EC","TOYOTA AVENSIS T4 D-4D","DIESEL","2 AXLE RIGID BODY","CARS",,"BD205","2009-06","2009","Private Hire"
33,5,1,18/4/2016 00:00:00,"11:40:00","1999/102B","VAUXHALL CORSA SXI  16V","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","OL059","2001-09","2001",
34,5,1,22/4/2016 00:00:00,"08:50:00","1999/102B","VAUXHALL CORSA SXI  16V","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","OL059","2001-09","2001",
35,5,1,19/4/2016 00:00:00,"12:30:00","1999/102B","VAUXHALL CORSA SXI  16V","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","OL059","2001-09","2001",
36,5,5,18/4/2016 00:00:00,"17:40:00","1999/102B","VAUXHALL CORSA SXI  16V","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","OL059","2001-09","2001",
37,5,5,19/4/2016 00:00:00,"16:20:00","1999/102B","VAUXHALL CORSA SXI  16V","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","OL059","2001-09","2001",
38,5,5,22/4/2016 00:00:00,"12:30:00","1999/102B","VAUXHALL CORSA SXI  16V","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback","OL059","2001-09","2001",
39,6,11,21/4/2016 00:00:00,"11:30:00","630/2012L/CE","CITROEN BERLINGO 750 LX HDI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","ML069","2014-01","2014",
40,6,11,20/4/2016 00:00:00,"11:20:00","630/2012L/CE","CITROEN BERLINGO 750 LX HDI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","ML069","2014-01","2014",
41,7,5,24/4/2016 00:00:00,"08:40:00","2001/100A/CE","CITROEN XSARA PICASSO DESIRE 2 HDI","DIESEL","2 AXLE RIGID BODY","CARS",,"DL014","2004-08","2004",
42,7,9,24/4/2016 00:00:00,"11:50:00","2001/100A/CE","CITROEN XSARA PICASSO DESIRE 2 HDI","DIESEL","2 AXLE RIGID BODY","CARS",,"DL014","2004-08","2004",
43,8,1,19/4/2016 00:00:00,"08:20:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
44,8,1,23/4/2016 00:00:00,"07:00:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
45,8,11,23/4/2016 00:00:00,"08:30:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
