PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_XMPT_PKG.GET_RELIEFS_AS
29004700,Workshop And Premises,"Aire Street, Brighouse, HD6 3RB",Iredales Ltd,11000,01/04/1990,SBR
29008002,Hairdressing Salon (And Premises),"5 Waterloo Road, Brighouse, HD6 2AN",,3000,01/10/2001,SBR
29016700,Warehouse And Premises,"Archer Road, Brighouse, HD6 1XF",Vulkan Industries Ltd,25500,01/04/1990,SBR
29016701,Warehouse And Premises,"Archer Road, Brighouse, HD6 1XF",Treka Bus Ltd,66500,16/01/2010,
29020703,Warehouse And Premises,"Open View House, Armytage Road, Brighouse, HD6 1QF",Openview Security Solutions Ltd,33250,29/01/2015,SBR
29020705,Garage And Premises,"Armytage Road, Brighouse, HD6 1PT",Eclipse Specialist Cars Ltd,11000,08/01/2014,SBR
29020707,Factory and Premises,"Armytage Road, Brighouse, HD6 1QF",Arkoni Ltd,78500,05/01/2007,
29020712,Warehouse And Premises,"Armytage Road, Brighouse, HD6 1PT",Total Polyfilm Ltd,107000,01/07/2004,
29020714,Cafe and Premises,"Armytage Road, Brighouse, HD6 1UQ",,1300,31/10/2013,SBR
29020715,Warehouse And Premises,"Armytage Road, Brighouse, HD6 1QF",Owens-Corning Veil U.K. Ltd,159000,01/04/1990,
29020716,Offices and Premises,"Armytage Road, Brighouse, HD6 1QF",Abzorb Services Ltd,50500,23/12/2011,SBR
29020718,Concrete Batching Plant And Premises,"Armytage Road, Brighouse, HD6 1QF",Readymix (Huddersfield) Ltd,36250,16/12/2000,SBR
29020719,Motor Auction and Premises,"Armytage Road, Brighouse, HD6 1XE",British Car Auctions Ltd,710000,01/04/1990,
29020720,Workshop And Premises,"Beckside Works, Armytage Road, Brighouse, HD6 1PH",,2550,01/11/2014,SBR
29020721,Factory and Premises,"Central Warehouse, Armytage Road, Brighouse, HD6 1RD",Halco (Brighouse) Ltd,182000,01/09/2016,
29020722,Factory and Premises,"Coronation Works, Armytage Road, Brighouse, HD6 1QA",Halifax Rack & Screw Co Ltd,95500,01/04/1990,
29020723,Factory and Premises,"Kirkdale House, Armytage Road, Brighouse, HD6 1QF",Kirkdale Industrial Training Services Ltd,118000,17/08/1998,MCR
29020725,Workshop And Premises,"Municipal House, Armytage Road, Brighouse, HD6 1PT",Dawsonrentalsweepers,56500,01/04/2010,
29020726,Factory and Premises,"Prince Of Wales Mill, Armytage Road, Brighouse, HD6 1QF",Aflex Hose Ltd,99000,02/08/2011,
29020727,Warehouse And Premises,"Armytage Road, Brighouse, HD6 1UJ",Clipper Logistics Group Ltd,310000,09/02/1998,
29020731,Factory and Premises,"Unit 3, Armytage Road, Brighouse, HD6 1QF",Total Polyfilm Ltd,118000,01/04/1990,
29020737,Workshop And Premises,"Armytage Road, Brighouse, HD6 1PT",Crossling Bancroft Ltd,50000,01/12/2003,SBR
29020738,Workshop And Premises,"Armytage Road, Brighouse, HD6 1QF",Northern Commercials (Mirfield) Ltd,135000,18/10/1997,
29020743,Vehicle Repair Workshop And Premises,"Unit 6 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Central Garage Arc Ltd,37250,01/08/2013,SBR
29020746,Communication Station and Premises,"Telecommunications Mast, Ref WYK0289 Rear Car Auction, Armytage Road, Brighouse            HD6 1XE",Telefonica Uk Ltd,12250,10/01/2017,SBR
29020747,Warehouse And Premises,"Unit 1 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Screwfix Direct Ltd,24000,17/09/2012,SBR
29020749,Warehouse And Premises,"Unit 2 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Wolseley U.K Ltd,19500,10/05/2004,SBR
29020750,Warehouse And Premises,"Unit 4 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Power Saver Electrical Supplies Ltd,18750,07/06/2004,SBR
29020751,Warehouse And Premises,"Unit 7 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Revilo Automotive Ltd,33500,31/10/2016,SBR
29020753,Warehouse And Premises,"Unit 3 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Tn Robinson Ltd,21000,11/02/2015,SBR
29020754,Warehouse And Premises,"Unit 5 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",James Hargreaves (Plumbers Merchants) Ltd,28500,01/04/2005,SBR
29020758,Warehouse And Premises,"Dyson House, Armytage Road, Brighouse, HD6 1PT",Dyson Insulations Ltd,135000,20/02/2006,
29020762,Land Used For Storage and Premises,"Clifton Works, Armytage Road, Brighouse, HD6 1PY",Enterprise Plc,70500,01/10/2006,
29020763,Warehouse And Premises,"Unit 8 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Performance Glass Processing  Ltd,33250,05/12/2015,SBR
29020771,Factory and Premises,"Armytage Road, Brighouse, HD6 1QF",Hurst Joinery Projects Ltd,48500,31/08/2005,SBR
29020774,Factory and Premises,"Armytage House, Armytage Road, Brighouse, HD6 1QF",Mey-Tech Ltd,140000,07/07/2014,
29020775,Car Park and Premises,"Car Park, Armytage Road, Brighouse, HD6 1XE",British Car Auctions Ltd,24750,01/06/2008,SBR
29020776,Offices and Premises,"Dale House, Armytage Road, Brighouse, HD6 1PT",Bankstone Ltd,48250,01/06/2010,SBR
29020777,Workshop And Premises,"Unit 4A, Armytage Road, Brighouse, HD6 1QF",Denford Machine Tools Ltd,77500,04/01/2011,
29020779,Warehouse And Premises,"4B Armytage Road, Brighouse, HD6 1QF",Express Catering Supplies Ltd,24750,22/06/2012,SBR
29020780,Warehouse And Premises,"4C Armytage Road, Brighouse, HD6 1QF",Blind Fashions Ltd,42250,01/10/2013,SBR
29020783,Warehouse And Premises,"Unit 4D Armytage Road, Brighouse, HD6 1QF",Alliance Valves & Piping Supplies Mnfg Ltd (In Liquidation),24500,08/06/2015,SBR
29020786,Land Used For Storage and Premises,"Northern Commercials, Sherwood House, Armytage Road, Brighouse            HD6 1QF",Northern Commercials (Mirfield) Ltd,25000,01/04/2010,SBR
29020787,Workshop And Premises,"Score (Europe) Ltd, Sherwood House, Armytage Road, Brighouse            HD6 1QF",Score (Europe ) Ltd,162000,01/04/2010,
29020788,Communication Station and Premises,"Site Ref (53279), Mas Medical, Armytage Road, Brighouse            HD6 1QF",Mobile Broadband Network Ltd,6300,13/01/2011,SBR
29020789,Factory and Premises,"Unit 4 Armytage Road, Brighouse, HD6 1QF",T E V Ltd,150000,01/01/2014,
29020790,Warehouse And Premises,"Unit 4F Armytage Road, Brighouse, HD6 1QF",Medequip Assistive Technology Ltd,60000,27/05/2014,
29020791,Factory and Premises,"Unit 1, Armytage Road, Brighouse, HD6 1QF",Kent Introl Ltd,173000,01/04/2010,
29020792,Factory and Premises,"Unit 2, Armytage Road, Brighouse, HD6 1QF",Kent Introl Ltd,128000,01/04/2010,
29028700,Factory and Premises,"Arthur Street, Brighouse, HD6 1PY",W B White Foundry Ltd,54500,01/06/1991,
29028701,Cafe and Premises,"Arthur Street, Brighouse, HD6 1PY",,2550,27/02/2010,SBR
29032002,Offices and Premises,"2 Atlas Mill Road, Brighouse, HD6 1ES",Rapid Fire Extinguishers Ltd,3350,01/09/1995,SBR
29032005,Offices and Premises,"4 Atlas Mill Road, Brighouse, HD6 1ES",,4000,01/08/2016,SBR
29032702,Workshop And Premises,"Atlas Mill Road, Brighouse, HD6 1ES",,4000,06/10/2003,SBR
29032704,Workshop And Premises,"Atlas Mill Road, Brighouse, HD6 1ES",Thompson & Hudson Wire Machinery,1900,31/05/2016,SBR
29032705,Warehouse And Premises,"Atlas Mill Road, Brighouse, HD6 1ES",Hothouse Partnerships Ltd,11750,01/04/2011,
29032710,Scout Hut And Premises,"Atlas Mill Road, Brighouse, HD6 1ES",,1700,01/04/1990,MCR
29032712,Land Used For Storage and Premises,"Atlas Mill Road, Brighouse, HD6 1ES",,4150,02/11/2016,SBR
29032715,Factory and Premises,"Atlas Mill Works, Atlas Mill Road, Brighouse, HD6 1ES",Flemings Seals Ltd,30750,01/04/1990,SBR
29032718,Civic Amenity Site And Premises,"Atlas Mill, Household Waste Site, Atlas Mill Road, Brighouse            HD6 1ES",Suez Recyclng And Recovery Uk Ltd,24000,01/08/2008,SBR
29032719,Garage And Premises,"Atlas Mill Road, Brighouse, HD6 1ES",Suez Recyclng And Recovery Uk Ltd,11750,01/04/2010,SBR
29032720,Store And Premises,"Atlas Mill Road, Brighouse, HD6 1ES",Suez Recyclng And Recovery Uk Ltd,3200,01/04/2010,SBR
29032721,Store And Premises,"Unit 6 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",,1825,09/08/2014,SBR
29032722,Workshop And Premises,"Unoffical Address, Unit A Atlas Mill Road, Brighouse, HD6 1ES",V S Engineering Ltd,5000,03/02/2016,SBR
29032724,Workshop And Premises,"Unit 1, Atlas Mill Road, Brighouse, HD6 1ES",,3000,01/05/2014,SBR
29032725,Warehouse And Premises,"Unit 7 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",,4850,07/09/2004,SBR
29032726,Store And Premises,"Unit 3, Atlas Mill Industrial Estate, Atlas Mill Road, Brighouse            HD6 1ES",,1250,01/04/2016,SBR
