LIABILITY_TYPE,RATEPAYER,Property Address,Billing Address,PROPREF,2010 Rating list value,Rates Payable,LIABILITY_START
C,Cancer Research U.K,"18 Crown Street, Halifax, HX1 1TT","C/O Rate Account Management, Colliers I P Advisors Uk Llp, 12th Flr Eleven Brindley Place, 2 Brunswick Sq, Brindley Place, Birmingham, B1 2LP",64756018,10250,4827.75,09/04/1990
I,Brighouse Schools Out Scheme,"Day Nursery, At Woodhouse Primary School, Daisy Road, Brighouse           HD6 3SX","For Parents And Employers, C/O School Portakabin, Woodhouse Primary School, Daisy Road, Brighouse, HD6 3SX",29208702,2175,1024.43,26/08/1991
I,Project Challenge,"Unit GY/3, G Mill Yard, Dean Clough Industrial Park, Halifax              HX1 1XG","Unit GY/3, Dean Clough, Industrial Park, Halifax, HX3 5AX",64784777,7200,3391.2,12/05/1997
I,Brighouse Juniors Afc,"Off Halifax Road, Brighouse, HD6 2PE"," 3 Groveville, Hipperholme, Halifax, HX3 8LD",29296717,3000,1413,22/11/1997
C,I.O.U Ltd,"Unit V4, Dean Clough, Halifax, HX3 5AX",,64784837,8000,3768,01/01/1999
C,Dean Clough Foundation,"Office Suite L G 38, Dean Clough Mills, Halifax, HX3 5AX","Office Suite D182, Dean Clough, Halifax, HX3 5AX",64784841,1275,600.53,01/09/1999
I,Manchester Unity Of The Ind Order Of Oddfellows,"2 Industrial Street, Brighouse, HD6 1TY","Loyal Kirkdale Lodge NO10050, 2 Industrial Street, Brighouse, HD6 1TY",29352002,10000,4827.75,01/04/1990
I,Overgate Hospice,"35/37 Southgate, Elland, HX5 0BW","30 Hullen Edge Road, Elland, HX5 0QY",56224037,10750,5063.25,09/11/1998
I,Brighouse Old Peoples Welfare Committee,"Park Row, Brighouse, HD6 1AB","The Secretary, Park Row, Brighouse, HD6 1AB",29456702,6900,3249.9,01/04/1990
C,Zip Heaters Uk Ltd,"Unit R4, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ","14/15 Bertie Ward Way, Rashers Green, Dereham, Norfolk, NR19 1TE",64448733,6900,3249.9,01/11/2000
I,Central Brighouse Scout Group,"Atlas Mill Road, Brighouse, HD6 1ES"," 94 Garlick Street, Rastrick, Brighouse, HD6 3PW",29032710,1700,800.7,01/04/1990
C,Armytage Sykes Llp,"8 Victoria Road, Elland, HX5 0PU","72 New North Road, Huddersfield, HD1 5NW",56244008,5300,2496.3,01/08/2000
I,,"S/0 14 Bottomley Street, Brighouse, HD6 4AR","16 Thornhill Bridge Lane, Brighouse, HD6 4AW",29072700,1850,871.35,01/04/1990
I,Shelf Cricket Club,"Shelf Cricket Ground, Carr House Road, Shelf, Halifax              HX3 7RJ","46 Carr House Road, Shelf, Halifax, HX3 7QY",64500703,2225,1047.98,01/04/1990
C,Overgate Hospice,"45 Bethel Street, Brighouse, HD6 1JR","30 Hullen Edge Road, Elland, HX5 0QY",29048045,7600,3579.6,01/09/1995
I,,"38 Thornhill Road, Brighouse, HD6 3AH",,29568038,2400,1130.4,01/04/1990
C,"Shelter, National Campaign For Homeless People Ltd","19 Alexandra Street, Halifax, HX1 1BS","88 Old Street, London, EC1V 9HU",64056019,6400,3014.4,01/04/1990
I,Southowram Cricket Club,"Ashday Lane, Southowram, Halifax, HX3 9TR","Attn The Treasurer, Ashday Lane, Southowram, Halifax, HX3 7TR",64088702,4100,2496.3,01/04/1990
I,Trustees Of Park Church Tennis Club,"Bute Avenue, Brighouse, HD6 2JA","149 Healey Wood Road, Brighouse, HD6 3RR",29120700,1375,647.63,01/04/1990
I,Barnardo's (Cornerstone Service),"Elland Library, Coronation Street, Elland, HX5 0DF","Four Gables, Clarence Road, Horsforth, Leeds, LS18 4LB",56052709,5300,2496.3,03/10/2001
I,Elland Silver Band,"Spa Well, Dewsbury Road, Elland, HX5 9AZ","102 Burnsall Road, Rastrick, Brighouse, HD6 3JT",56064702,2900,1365.9,01/04/1990
C,Fit-Lock Systems Ltd,"Bath Place, R/O11-19 Bramston Street, Brighouse, HD6 3AA","Kenann House, 32 Newby Road Industrial Est, Hazel Grove, Stockport, SK7 5DA",29088707,5100,1165.73,07/09/1995
C,Anglo Canadian Alloys Ltd (In Liquidation),"2 The Old Vicarage, Coley Road, Northowram, Halifax             HX3 7SA","C/O Bwc, 8 Park Place, Leeds, LS1 2RU",64656705,8600,4041.27,01/08/1995
I,Rastrick Cricket & Athletic Club,"Rastrick Cricket Club, Clough Lane, Rastrick, Brighouse           HD6 3QL","For Attn Treasurer, Clough Lane, Rastrick, Brighouse, HD6 3QL",29184700,8800,4144.8,01/04/1990
I,Lightcliffe Scout Group,"Scout Meeting Rooms, Coach Road, Brighouse, HD6 2LN"," 29 Bramley Lane, Lightcliffe, HX3 8SR",29188700,4000,1884,01/04/1990
I,Oxfam,"30 Commercial Street, Brighouse, HD6 1AQ","Finance Office, 3rd Floor, Cale Cross House, 156 Pilgrim Street, Newcastle-Upon-Tyne, NE1 6SU",29196030,11250,5298.75,01/04/1990
I,The People's Dispensary For Sick Animals,"66 Commercial Street, Brighouse, HD6 1AQ","Whitechapel Way, Priorslee, Telford, Shropshire, TF2 9PQ",29196066,10500,4945.5,01/04/1990
I,Cartwheel Youth And Community Centre,"Cartwheel Club, Huddersfield Road, Elland, HX5 9DW"," 9 Blackley Road, Elland, HX5 0TB",56132721,5700,2684.7,01/05/1997
I,Wainstalls Cricket Club,"Cross Roads, Wainstalls, Halifax, HX2 7TE"," 10 Chester Street, Halifax, HX3 6LX",64724700,1475,694.73,01/04/1990
I,,"118 Hanson Lane, Halifax, HX1 5PG",,65264118,2075,977.33,01/04/1992
I,,"Mill Lane, Boothtown, Halifax, HX3 6TN","19 Sturton Lane, Illingworth, Halifax, HX2 9DZ",65808700,7700,3626.7,10/04/2002
I,"R.S.P.C.A. Halifax, Huddersfield","28 Union Street, Halifax, HX1 1PR","And  District Branch, The Rspca Animal Shelter, Wade Street, Halifax, HX1 1SN",69144028,10750,5063.25,01/09/1996
C,Marshalls Mono Ltd,"Hall Ings, Southowram, Halifax, HX3 9RQ"," Asst Prop Manager, Marshalls Plc, Birkby Grange, Birkby Hall Road, Huddersfield, HD2 2XB",65240700,2425,1142.18,31/12/2001
C,Hanover Housing Association,"Hanover House, Pye Nest Road, Halifax, HX2 7HE",,65260700,1800,847.8,01/04/1990
C,R.Yung Ltd,"101 Mixenden Road, Mixenden, Halifax, HX2 8PU","Mixenden Stones, Mixenden Road, Mixenden, Halifax, HX2 8RQ",65824101,2150,1012.65,12/10/1999
I,,"Grove Mill Yard, Shelf, Halifax, HX3 7PF",,69216702,4300,2010.67,01/04/1990
I,Wade House Youth And Community Centre,"Shelf Youth Centre, Wade House Road, Shelf, Halifax             HX3 7PF",,69216706,4900,2307.9,01/04/1990
I,Calderdale Disabled Advice Resource Team,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF","Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276704,3950,1860.45,15/08/1992
I,Everything Everywhere Ltd,"Telecommunications Mast, Site Ref  WYK0172, Denholmegate Road, Hipperholme","Orange Pcs Ltd, C/O Gva (Business Rates (Tm), Po Box 16097, 3 Brindley Place, Birmingham, B2 2UY",69240713,5900,2753.3,01/08/1999
I,Lightcliffe & District Cricket & Tennis Club,"Lightcliffe Cricket Club, N/R 153 Wakefield Road, Lightcliffe, Halifax             HX3 8TH"," 34 Sefton Avenue, Hove Edge, Brighouse, HD6 2NA",69248704,2800,1318.8,01/04/1990
I,Helping Hands Halifax,"9 Northgate, Halifax, HX1 1UR","57 Pellon Lane, Halifax, HX1 5SP",68096009,12000,5652,01/04/1990
I,Halifax Thespians Ltd,"Carlton Works, The Boulevard, Savile Park Road, Halifax, HX1 2EN"," Hon Treasurer, 144 Skircoat Moor Road, Savile Park, Halifax, HX3 0HU",68472701,5500,2590.5,01/04/1990
C,Everything Everywhere Ltd,"Telecomms Mast, Site Ref WYK0178, Savile Park Road, Halifax              HX1 2XH","Orange Pcs Ltd, C/O Gva (Business Rates (Tm), Po Box 16097, 3 Brindley Place, Birmingham, B2 2UY",68472718,8900,4153.28,01/04/2000
I,,"12 Savile Park Street, Halifax, HX1 3DX",,68476012,2850,1342.35,01/04/1997
I,Barkisland Cricket Club,"Barkisland Cricket Club, Scammonden Road, Barkisland, Halifax              HX4 0DE"," (Treasurer), C/O Overdale, Krumlin Road, Barkisland, Halifax, HX4 0AX",68492700,5600,2637.6,01/04/1990
C,Lifeline Project Ltd,"11 Wards End, Halifax, HX1 1BX","11 Wards End, Halifax, HX1 1BX",69264709,10250,4827.75,01/04/2002
I,The Samaritans Of Halifax & Calderdale,"8 Hopwood Lane, Halifax, HX1 5HW","Fao The Treasurer, 8 Hopwood Lane, Halifax, HX1 5HW",65364008,8700,4097.7,01/04/1990
