Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,ENERGY WATER - WATER MAINS,Corporate - ETS,BWBSL,8048986674,41574.87
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,ENERGY WATER - SEWERAGE CHARGES,Corporate - ETS,BWBSL,8048986674,15034.79
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,ENERGY WATER - WATER MAINS,Corporate - ETS,BWBSL,8048761314,43503.94
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,ENERGY WATER - SEWERAGE CHARGES,Corporate - ETS,BWBSL,8048761314,16497.81
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12323505,4528
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12323505,40071.81
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12323505,226.4
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12323505,8014.36
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12323200,5799.22
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12323200,51153.94
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12323200,289.96
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12323200,10230.79
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,DRUGS,Clinical Support,HEALTHCARE AT HOME LTD,OP/6579682,25354.08
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,Agency-Nursing RGN,Medical,TALENT HUMAN CAPITAL MANAGEMENT LTD,2001119,72161.05
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,DRUGS,Clinical Support,LLOYDSPHARMACY CLINICAL HOMECARE,SINV2455913,44502.86
Department of Health,Salisbury NHS Foundation Trust,15-Sep-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,NDR SEPT 17,114356
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,COMPUTER MAINTENANCE x,Clinical Support,ABBOTT INFORMATICS EUROPE LTD,1698,25641
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,DRUGS,Clinical Support,BAYER PLC,187483914,21850
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,DRUGS,Clinical Support,BAYER PLC,187483914,4370
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,COOKING & KITCHEN UTENSILS,Capital Projects,WESTERN BLUEPRINT LIMITED,9232,87408
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,DRESSINGS - PRE STERILE,Corporate - Finance & Procurement,HAMPSHIRE COSMETICS,93468,30667.56
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,DI & RADIO - RADIOLOGY EQUIPMENT,Clinical Support,NHS SUPPLY CHAIN,2018001945,106045.7
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,TELECOMS - TELEPHONES,Medicine,NHS SUPPLY CHAIN,2018001945,12640.83
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,DI & RADIO - RADIOLOGY EQUIPMENT,Clinical Support,NHS SUPPLY CHAIN,2018002306,51772
Department of Health,Salisbury NHS Foundation Trust,15-Sep-17,DI & RADIO - RADIOLOGY EQUIPMENT,Clinical Support,NHS SUPPLY CHAIN,2018001897,59111.15
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14618,22556.8
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,OTH ENGINEERING PLANT&EQUIP,Capital Projects,L A MOORE LTD,14618,3895.1
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14618,4511.36
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,OTH ENGINEERING PLANT&EQUIP,Capital Projects,L A MOORE LTD,14618,779.02
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321974335,25616.29
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321974335,5123.26
Department of Health,Salisbury NHS Foundation Trust,01-Sep-17,HEALTHCARE SERVICES OTHER NHS- CONTRACTUAL CLINICAL SERVICES,Corporate - Corporate Development,DR FOSTER LIMITED,1009882,35000
Department of Health,Salisbury NHS Foundation Trust,01-Sep-17,HEALTHCARE SERVICES OTHER NHS- CONTRACTUAL CLINICAL SERVICES,Corporate - Corporate Development,DR FOSTER LIMITED,1009882,7000
Department of Health,Salisbury NHS Foundation Trust,01-Sep-17,NETWORKING COSTS,Capital Projects,ANS GROUP PLC,INV045583,24750
Department of Health,Salisbury NHS Foundation Trust,01-Sep-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,CARL ZEISS LTD,5140346379,12738.96
Department of Health,Salisbury NHS Foundation Trust,01-Sep-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,CARL ZEISS LTD,5140346379,13646.88
Department of Health,Salisbury NHS Foundation Trust,01-Sep-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,BECKMAN COULTER,1386408,48745.91
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12326402,4803.23
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12326402,42216.25
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12326402,240.16
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12326402,8443.25
Department of Health,Salisbury NHS Foundation Trust,15-Sep-17,HEALTHCARE - NHS TRUSTS,Clinical Support,ROYAL UNITED HOSPITAL BATH NHS TRUST,10348298,75239.37
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105079161,6466.39
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105079161,55235.64
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105079161,323.32
Department of Health,Salisbury NHS Foundation Trust,22-Sep-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105079161,11047.13
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12406507,5727.81
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12406507,50071.23
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12406507,286.39
Department of Health,Salisbury NHS Foundation Trust,29-Sep-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12406507,10014.25
Department of Health,Salisbury NHS Foundation Trust,07-Sep-17,ETS UNITARY CHARGE,Corprate,SALISBURY HEALTHCARE FACILITIES LTD,381,309277.51
Department of Health,Salisbury NHS Foundation Trust,01-Sep-17,HEALTHCARE - NHS TRUSTS,Clinical Support,GREAT WESTERN HOSPITALS NHS FT,16972313,58669.99
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,1018109585,0.35
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,0.35
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,0.35
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,DRESSINGS - PRE STERILE,Clinical Support,NHS LOGISTICS,1018109585,0.35
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018109585,0.39
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,0.7
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,0.7
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018109585,0.7
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018109585,0.7
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018109585,0.7
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018109585,0.7
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,0.7
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support,NHS LOGISTICS,1018109585,0.78
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support,NHS LOGISTICS,1018109585,0.78
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018109585,0.78
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,1018109585,1.11
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,ANAESTHETIC EQUIPMENT ACCESSORIES,Medicine,NHS LOGISTICS,1018109585,1.15
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018109585,1.17
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Musculo-Skeletal,NHS LOGISTICS,1018109585,1.24
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,1.24
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,1.24
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,1.24
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,1.24
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support,NHS LOGISTICS,1018109585,1.24
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Musculo-Skeletal,NHS LOGISTICS,1018109585,1.24
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018109585,1.24
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,DISPOSABLE THEATRE DRAPES WIPES,Surgery,NHS LOGISTICS,1018109585,1.32
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,DISPOSABLE THEATRE DRAPES WIPES,Musculo-Skeletal,NHS LOGISTICS,1018109585,1.32
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,FLAVOURINGS HERBS SPICES,Facilities,NHS LOGISTICS,1018109585,1.42
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,OTHER MEDICAL SUPPLIES,Surgery,NHS LOGISTICS,1018109585,1.43
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,M & S EQUIPELECTEQUIPINST - OTHER,Surgery,NHS LOGISTICS,1018109585,1.47
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,1.57
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,1.57
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,DRESSINGS - PRE STERILE,Medical,NHS LOGISTICS,1018109585,1.62
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,BEVERAGES & AMBIENT FOOD,Surgery,NHS LOGISTICS,1018109585,1.74
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,BEVERAGES & AMBIENT FOOD,Surgery,NHS LOGISTICS,1018109585,1.74
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,BEVERAGES & AMBIENT FOOD,Surgery,NHS LOGISTICS,1018109585,1.74
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018109585,1.75
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,FLAVOURINGS HERBS SPICES,Facilities,NHS LOGISTICS,1018109585,1.82
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1018109585,1.88
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,OTHER MEDICAL SUPPLIES,Surgery,NHS LOGISTICS,1018109585,1.88
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,OTHER MEDICAL SUPPLIES,Medical,NHS LOGISTICS,1018109585,1.88
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,OTHER MEDICAL SUPPLIES,Musculo-Skeletal,NHS LOGISTICS,1018109585,1.88
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,OTHER MEDICAL SUPPLIES,Surgery,NHS LOGISTICS,1018109585,1.88
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,OTHER MEDICAL SUPPLIES,Clinical Support,NHS LOGISTICS,1018109585,1.88
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,OTHER MEDICAL SUPPLIES,Clinical Support,NHS LOGISTICS,1018109585,1.88
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,DISPOSABLE THEATRE DRAPES WIPES,Medicine,NHS LOGISTICS,1018109585,1.98
Department of Health,Salisbury NHS Foundation Trust,13-Sep-17,FLAVOURINGS HERBS SPICES,Facilities,NHS LOGISTICS,1018109585,2.21
