Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50005,,Social Care system,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Social Care system,ICT-SOFTWARE & SAAS,,,,,01/11/2016,31/03/2023,,31/03/2033,22151259,,,LIQUIDLOGIC LIMITED,,,2181133,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON50430,,"Residential, Residential Short Breaks and Mid-Week Boarding  for Children with Disabilities in Norfolk",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Residential, Residential Short Breaks and Mid-Week Boarding  for Children with Disabilities in Norfolk",CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS,SOCIAL WORK SERVICES WITH ACCOMMODATION,85311000,Social Community Care Suppliers & Services - Children - residential services,401308,01/04/2017,31/03/2019,,31/03/2022,10524525,,,BREAK,1699685,286650,79512,,Y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50946,,Co-production of the Norfolk Learning Disability Strategy 2017-2021,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Co-production of the Norfolk Learning Disability Strategy 2017-2021,,,,,,01/05/2017,01/05/2018,,01/05/2018,60000,,,CAREOLOGY LTD,,,2238112,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN48405,,Vehicle lease & fleet management - terms of CCS Framework RM3710 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Vehicle lease & fleet management - terms of CCS Framework RM3710 apply,VEHICLE & PLANT LEASING/RENTAL,,,,,29/09/2015,15/05/2018,,15/05/2018,6316,,,LOOKERS LEASING LTD,,,1947894,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GFN49845,,Supply of Fuel Oils - Terms of ESPO 301 apply,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Supply of Fuel Oils - Terms of ESPO 301 apply,utilities,,,,,01/10/2016,15/05/2018,,16/05/2018,136059,,,CERTAS ENERGY UK LIMITED,4168225,,1982947,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50942,,Management and Servicing of Scottow Enterprise Park,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Management and Servicing of Scottow Enterprise Park,FM-MANAGEMENT OF LAND & PROPERTY,,,,,15/05/2017,15/05/2018,,15/05/2020,176036,,,HETHEL INNOVATION LTD,7534401,,1364779,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50753,,Code 5 Emergency number provision,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Code 5 Emergency number provision,,,,,,17/05/2017,18/05/2018,,18/05/2018,4220,,,ORBIS PROTECT LIMITED,2476859,,1726783,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON43583,,NCCT40537 - Vehicle Mechanical & Bodywork Repairs,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,NCCT40537 - Vehicle Mechanical & Bodywork Repairs,VEHICLE & PLANT PARTS MECH REPAIR & MTCE,,,,,22/05/2014,18/05/2018,,18/05/2018,,,,"DINGLES MOTOR GROUP LTD  (INCLUDING TOYOTA, ISUZU & OTHER FRANCHISES.)",,,82240,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON43584,,Vehicle Body Repairs - Terms of NCCT40537 apply,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Vehicle Body Repairs - Terms of NCCT40537 apply,VEHICLE & PLANT PARTS MECH REPAIR & MTCE,,,,,21/06/2016,18/05/2018,,18/05/2018,,,,NATIONWIDE GLADWINS,,,2144966,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON43584B,,NCCT40537 - Vehicle Bodywork & Mechanical Repair Framework,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,NCCT40537 - Vehicle Bodywork & Mechanical Repair Framework,VEHICLE & PLANT PARTS MECH REPAIR & MTCE,,,,,22/05/2014,18/05/2018,,18/05/2018,39592,,,HAMMONDS ACCIDENT REPAIR CENTRE,,,141389,,,,Procurement systems team,procm@norfolk.gov.uk,
