Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN40442A,,Rent payments,,GENERIC,,,Rent payments,FM - rent & rates,,,,,01/04/2012,,,,500000,Estimated,,KING'S LYNN & WEST NORFOLK BOROUGH COUNCIL,,,84247,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN40442B,,Rent payments,,GENERIC,,,Rent payments,FM - rent & rates,,,,,01/04/2012,,,,500000,Estimated,,NORWICH CITY COUNCIL,,,85426,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN40442D,,Rent payments,,GENERIC,,,Rent payments,FM - rent & rates,,,,,01/04/2012,,,,500000,Estimated,,SOUTH NORFOLK DISTRICT COUNCIL,,,86765,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN40442E,,Rent payments,,GENERIC,,,Rent payments,FM - rent & rates,,,,,01/04/2012,,,,500000,Estimated,,NORTH NORFOLK DISTRICT COUNCIL,,,85340,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN40442H,,Rent payments,,GENERIC,,,Rent payments,FM - rent & rates,,,,,01/04/2010,,,,0,Estimated,,BROADLAND YOUTH & COMMUNITY CENTRE,,,81184,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN41216,,Insurance brokerage,,RESOURCES,,,Insurance brokerage,Finance - insurance,,,,,01/04/2011,31/03/2016,,31/03/2016,2802738,Estimated,,MARSH LIMITED,1507274,,84836,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN41442,,Telephone line rental for traffic CCTV cameras,,ETD,,,Telephone line rental for traffic CCTV cameras,"ICT - networks, telephony & radiocomms",,,,,13/06/2013,01/04/2017,,01/04/2017,83864,Estimated,,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1800000,,66921,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN41562,,Rent payments for leisure centre joint user agreement,,COMMUNITY SERVICES,,,Rent payments for leisure centre joint user agreement,FM - rent & rates,,,,,02/09/2011,,,,215192,Estimated,,SOUTH NORFOLK DISTRICT COUNCIL,,,74707,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN41576,,Dereham recycling centre lease,,ETD,,,Dereham recycling centre lease,FM - rent & rates,,,,,30/08/2011,02/08/2036,,02/08/2036,3025000,Estimated,,S.C.W.S. LIMITED,1794582,,644533,,,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,16/03/2016,AAN41722,,Rental of property,,RESOURCES,,,Rental of property,FM - rent & rates,,,,,16/08/2013,,,,200593,Estimated,,CITYGATE DEVELOPMENTS 2005 LIMITED,,,1042783,,,,Procurement Sourcing Team,,
