PUBLICATION,EXTRACT_DATE,ORG_TYPE,ORG_CODE,ONS_CODE,SEX,AGE,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,0,79517
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,1,88754
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,10,91710
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,11,90405
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,12,88836
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,13,87189
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,14,83865
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,15,82209
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,16,83861
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,17,86181
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,18,90787
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,19,98417
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,2,89539
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,20,105894
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,21,105735
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,22,107855
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,23,111887
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,24,112279
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,25,111972
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,26,113412
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,27,111717
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,28,111539
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,29,114624
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,3,91455
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,30,111956
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,31,111298
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,32,110794
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,33,107025
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,34,106893
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,35,105215
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,36,105300
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,37,105184
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,38,99859
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,39,91472
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,4,93557
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,40,89068
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,41,92779
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,42,94346
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,43,96815
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,44,101966
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,45,108351
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,46,113766
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,47,110227
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,48,113396
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,49,112576
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,5,96593
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,50,113443
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,51,113860
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,52,115281
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,53,114529
GP_PRAC_PAT_LIST,01JUL2017,Comm Region,Y54,E40000001,FEMALE,54,113224
