Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
On Time Logistics Ltd [In Admin Receivership],-2080.85,-2080.85,2002,"Leopold Works, George Street, Brighouse, HD6 1PU",,01/10/99,10/27/00
Calder Felts Ltd [In Liquidation],-54.5,-54.5,2002,"Prince Of Wales Mill, Armytage Road, Brighouse, HD6 1QF","C/O Cork Gully, Abacus Court, 6 Minshull Street, Mancheste, RM1 3ED",02/18/94,03/20/95
Service Garage (1981) Ltd (In Liquidation),-391.38,-391.38,2002,"Unit 5, Armytage Road, Brighouse, HD6 1PT","C/O Messrs Halpern Woolf &, Partners, 16-18 North Parade, Bradford, BD1 3HT",04/01/90,11/11/92
,-0.91,-0.91,2017,"Adj 27 Bethel Street, Brighouse, HD6 1JR",,11/02/02,
Tefonica O2 (Uk) Ltd,-3192,-15536.76,2015,"Birkby Lane, Bailiff Bridge, Brighouse, HD6 4JJ","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",04/01/95,
,-3.69,-3.69,2012,"2 Bracken Road, Brighouse, HD6 2HW",,04/01/00,03/31/14
Controlled Speed Ltd In Administration,-851.53,-1599.81,2010,"St Pegs House, Thornhill Beck Lane, Brighouse, HD6 4AW","Frp Advisory Llp, 1 St Ann Street, Manchester, M2 7LR",09/15/01,11/16/11
Claude Dyson & Son Ltd (In Receivership),-146,-146,2002,"17 Commercial Street, Brighouse, HD6 1AF","C/O Arthur Andersen & Co, St Pauls House, Park Square, Leeds, LS1 2PJ",04/01/90,11/09/95
,-10.86,-10.86,2017,"25 Lightcliffe Road, Brighouse, HD6 2DR",,04/01/90,
Universal Mobility Ltd [In Liquidation],-430,-1085.45,2001,"Unit 2 & G, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL","C/O Begbies Traynor, 30 Park Cross Street, Leeds, LS1 2QH",02/01/94,10/17/02
Brighouse Transport & Maintenance Ltd,-4.49,-4.49,2006,"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,05/01/98,03/30/07
,-22.5,-22.5,2003,"18/20 Gooder Lane, Brighouse, HD6 1HF",,01/17/98,10/30/03
,-95.31,-95.31,2002,"12 Southgate, Elland, HX5 0BW",,07/16/95,11/05/95
Shaw Motors Ltd (In Liquidation),-147.94,-147.94,2002,"Unit 1A Moorlea Garage, Albert Road, Halifax, HX2 0DF","C/O The Official Receiver, 1ST Floor, 25 Queen Street, Leeds, LS1 2TW",06/01/95,06/23/98
,-1.75,-1.75,2017,"16 Bank Edge Road, Halifax, HX2 8JU",,10/28/91,
Brighouse Textiles [Wholesale] Ltd [ In Liquidation],-577.19,-577.19,2011,"Section 19, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse           HD6 4AW","O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ",04/01/90,02/28/11
,-12.99,-12.99,2016,"Elland Library, Coronation Street, Elland, HX5 0DF",,10/03/01,12/31/16
,-12,-12,2002,"Unit 5 (3rd Floor), Wellington Mills, Quebec Street, Elland              HX5 9AS",,09/01/93,06/30/94
The Automatic Standard Screwco (1983) Ltd-In Admin Reciv,-1414.23,-1414.23,2002,"17 Charles Street, Halifax, HX1 1NA","C/O Arthur Anderson & Co, St Paul's House, Park Square, Leeds, LS1 2PJ",04/01/90,02/23/93
,-10.58,-10.58,2002,"Part First Floor, 38 Clare Road, Halifax, HX1 2HX",,04/01/90,05/28/93
,-783.98,-783.98,2003,"Unit 18, Calderdale Business Park, Club Lane, Halifax             HX2 8AX",,04/01/00,06/30/03
,-1237.16,-1237.16,2004,"2 George Street, Halifax, HX1 1HA",,11/08/01,08/03/04
,-13.61,-13.61,2004,"103 Gibbet Street, Halifax, HX1 5BP",,09/01/00,03/20/05
,-66.64,-66.64,2002,"Unit H1f, Dean Clough Industrial Park, Halifax, HX1 1XG",,07/01/93,03/31/94
,-1080.87,-1080.87,2016,"Units H1B,C,D,E & F,H2B,H2C, & H3A H Block, Dean Clough, Halifax, HX3 5AX",,04/01/94,12/31/16
,-10,-10,2002,"Trimmingham Garage, Burnley Road, Halifax, HX2 7JG",,07/01/98,06/02/99
,-13.14,-13.14,2002,"The Hebble Brook, 2 Mill Lane, Mixenden, Halifax             HX2 8SE",,03/16/95,05/01/95
,-580.23,-580.23,2002,"Highfield House, 85 Parkinson Lane, Halifax, HX1 3QQ",,04/01/90,02/24/01
,-0.55,-0.55,2017,"226 Pellon Lane, Halifax, HX1 5RU",,04/01/90,
,-274.11,-274.11,2002,"The Airborne, 15 Green Lane, Sowood, Stainland            HX4 9JL",,04/01/90,11/04/02
Aquarius Bathrooms Ltd,-31.91,-31.91,2005,"Unit 4 Windsor Business Park, Hanson Lane, Halifax, HX1 4SD","Hanson Lane, Halifax, HX1 4QU",11/01/99,03/23/06
,-756.13,-756.13,2002,"Commercial Inn, 83 Keighley Road, Halifax, HX2 8HY",,07/02/90,04/01/91
Pennine Computer Group Ltd In Receivership,-423.44,-423.44,2002,"West House, 98 King Cross Street, Halifax, HX1 2TU","C/O Messrs Robson Rhodes, St George House, 40 Great George Street, Leeds, LS1 3DQ",04/01/90,08/29/91
,-1.08,-1.08,2017,"267 Queens Road, Halifax, HX1 4NS",,04/23/00,
Saw Services (Halifax) Ltd [In Liquidation],-4556.11,-4864.12,2002,"Unit 2 Copperwood Court, Queens Road, Halifax, HX1 3NS","C/O Baker Tilly, 2 Whitehall Quay, Leeds, LS1 4HG",04/01/90,08/31/01
,-46.5,-46.5,2002,"220 Queens Road, Halifax, HX1 4NE",,04/01/98,03/31/99
Ferguson Wools Ltd,-2665.7,-2886.77,2002,"Canal Side, Tillotson Holme, Luddendenfoot, Halifax              HX2 6AF","23 Hillcrest, Sowerby Bridge, Halifax, HX6 2TJ",04/01/90,02/28/02
Ryburn Valley Surfacing Products Ltd(In Receivership,-897.54,-897.54,2002,"Unit 11, Station Industrial Park, Station Road, Luddendenfoot","Messrs Wilson Pitts, Devonshire House, 38 York Place, Leeds, LS1 2ED",04/01/90,04/01/92
Speaks Building Systems Ltd,-544.44,-544.44,2005,"Unit 1 Shay Lane Works, Shay Lane, Halifax, HX3 6SF","C/O 1 Goosegate Farm, Heathy Lane, Holmefield, HX2 9UN",05/06/99,12/20/05
Avco Trust Ltd,-306.66,-306.66,2014,"First Floor, 18 Silver Street, Halifax, HX1 1HS","Citibank Na, C/O Cbre Fao Ap Rates Team, Cornwall Court 4th Floor, 19 Cornwall Street, Birmingham, B3 2DT",04/01/90,06/24/14
T W Leach Ltd,-40.8,-40.8,2016,"173b Spring Hall Lane, Halifax, HX1 4JG","173B Spring Hall Lane, Halifax, HX1 4JG",03/01/99,06/30/16
The Imperial Crown Hotel Ltd,-7.8,-7.8,2005,"31 Square Road, Halifax, HX1 1QG","Corus Hotels Ltd, Rossway Park, Berkhamstead, HP4 3TZ",07/31/92,03/31/05
,-379.8,-490.4,2005,"55 Stainland Road, Greetland, Halifax, HX4 8BD",,04/01/90,03/31/06
,-100,-100,2002,"33 Stanningley Road, Mixenden, Halifax, HX2 8RJ",,09/19/00,11/10/01
Capstan Wire Products Ltd [In Liquidation],-15.77,-15.77,2002,"Unit 27, Phoebe Lane Industrial Est., Halifax, HX3 9EX","C/O Baker Tilly, Carlton House, Grammar School Street, Bradford, BD1 4NS",07/02/93,08/09/96
,-75.52,-75.52,2017,"Adj 1 Clare Street, Halifax, HX1 2LF",,09/18/00,
W A Johnson & Co (Bradford) Ltd,-543.5,-543.5,2017,"Preston Place, Halifax, HX1 5JX","Preston Place, Halifax, HX1 5JX",04/06/96,
Inglewood Studios Ltd,-3.58,-3.58,2003,"Unit T5/T10, Canal Wharf Mill, Burnley Road, Mytholmroyd         HX7 8NH","The Courtyard, Town Street, Rawdon, Leeds, LS19 6PU",09/01/97,09/30/03
