ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No
ROCHDALE BOROUGH COUNCIL,12/07/2016,FINANCE SERVICES,NORTHGATE PUBLIC SERVICES (UK) LTD,12/07/2016,1185,SOFTWARE,V000989577
ROCHDALE BOROUGH COUNCIL,04/07/2016,LEARNING DIS & MENTAL HEALTH,ST VINCENTS HOUSING ASSOCIATION,04/07/2016,541.44,RENTS,V001012181
ROCHDALE BOROUGH COUNCIL,04/07/2016,LEARNING DIS & MENTAL HEALTH,ST VINCENTS HOUSING ASSOCIATION,04/07/2016,551.56,RENTS,V001012183
ROCHDALE BOROUGH COUNCIL,04/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,04/07/2016,1173.4,VEHICLE MAINTENANCE,V001014127
ROCHDALE BOROUGH COUNCIL,05/07/2016,PROPERTY AND HIGHWAYS,GMCA,05/07/2016,8849.37,ROADWORKS,V001015164
ROCHDALE BOROUGH COUNCIL,07/07/2016,PHYSICAL DIS & OLDER PEOPLE,ZURICH INSURANCE PLC,07/07/2016,1036,MAINTENANCE STAIRLIFTS,V001015236
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/07/2016,3277.49,FOSTER PARENTS BASIC ALLOWANCE,V001015262
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/07/2016,2878,FOSTER PARENTS BASIC ALLOWANCE,V001015263
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/07/2016,2967.01,FOSTER PARENTS BASIC ALLOWANCE,V001015264
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,FULL CIRCLE CARE,05/07/2016,13728.57,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001015323
ROCHDALE BOROUGH COUNCIL,07/07/2016,EARLY HELP AND SCHOOLS,OLDHAM METROPOLITAN BOROUGH COUNCIL,07/07/2016,1575.91,SUBSCRIPTIONS,V001015451
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,SPORT WORKS,15/07/2016,8654.34,ACTIVITIES,V001015535
ROCHDALE BOROUGH COUNCIL,06/07/2016,FINANCE SERVICES,ZURICH INSURANCE PLC,06/07/2016,11658.52,TRANSACTIONS-EXPENDITURE,V001015554
ROCHDALE BOROUGH COUNCIL,06/07/2016,FINANCE SERVICES,ZURICH INSURANCE PLC,06/07/2016,71589.44,TRANSACTIONS-EXPENDITURE,V001015556
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,05/07/2016,4500,ADVERTISING,V001015600
ROCHDALE BOROUGH COUNCIL,06/07/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,06/07/2016,12400,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001015611
ROCHDALE BOROUGH COUNCIL,05/07/2016,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD,05/07/2016,7220.78,IMPROVEMENTS-MODERNISATION,V001015669
ROCHDALE BOROUGH COUNCIL,13/07/2016,PHYSICAL DIS & OLDER PEOPLE,HOPWOOD HALL COLLEGE,13/07/2016,500,ROOM HIRE,V001018031
ROCHDALE BOROUGH COUNCIL,08/07/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,08/07/2016,29072.12,MEALS,V001018211
ROCHDALE BOROUGH COUNCIL,08/07/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,08/07/2016,1908.67,MISC CHARGES,V001018212
