OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,TN297242186IN18PS15002510,Delivery and Postage,CENTRAL & CORPORATE,212 - Postages,,01/07/2015,,,,,"£104,825.92",,"WHISTL NORTH LIMITED1 Globeside Business Park, Fieldhouse Lane, MARLOW, SL7 1HY",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,ST2679422082420,Waste,ENVIRONMENT & HOUSING,234 - Recycling & Reuse Charges,,23/07/2015,,,,,"£74,102.81",,"SJB RECYCLING LIMITEDMount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,GC003842200100885,ICT Agency Fees,CENTRAL & CORPORATE, - ,,15/07/2015,,,,,"£48,602.50",,"GCS RECRUITMENT SPECIALISTS LTD2 Wesley Gate  70-74 Queens Road, , READING, RG1 4AP",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,GE983542216GEN28920,ICT Agency Fees,CENTRAL & CORPORATE,8 - ,,31/07/2015,,,,,"£49,997.00",,"TRIAD RESOURCING37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,RU003242187645373,ICT Agency Fees,CENTRAL & CORPORATE,8 - ,,02/07/2015,,,,,"£107,072.77",,"RULLION IT PLUS LIMITEDPo Box 47, Trafalgar House, ALTRINCHAM  CHESHIRE, WA14 1FG",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,BR252242216INV173179,Litter Bins,ENVIRONMENT & HOUSING,203 - Operational Furniture And Equipment,,31/07/2015,,,,,"£20,928.33",,"BROXAP LTDRowhurst Industrial Estate, Chesterton, NEWCASTLE UNDER LYME, ST5 6BD",,e) Large,,Steve Wetherill,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,PR0571422011008000000000,ICT Agency Fees,CENTRAL & CORPORATE,8 - ,,16/07/2015,,,,,"£36,215.97",,"STHREE PARTNERSHIP LLPCentral Accounts, 75 King William Street, LONDON, EC4N 7BE",,Other/Not known,,Steven Bedford,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,AR021342216INV25921,Fire Sprinkler,ENVIRONMENT & HOUSING,265 - Other Hired And Contracted Services,,31/07/2015,,,,,"£57,330.00",,"ARMSTRONG PRIESTLEY LTD77 Holbeck Lane, Holbeck, LEEDS, LS11 9UL",,d) Medium,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,IN075442188VYO66722,Various Works Carried out,CITY DEVELOPMENT,101 - Maintenance Of Buildings,,03/07/2015,,,,,"£1,084,872.45",,"INTERSERVE CONSTRUCTION LTD1 Thunderhead Ridge, Glasshoughton, CASTLEFORD, WF10 4UA",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,MO17504220811277016ITE,ICT Agency Fees,CENTRAL & CORPORATE,8 - ,,23/07/2015,,,,,"£50,988.08",,"MODIS INTERNATIONAL LTDUnit 3010 The Pavillions, The Crescent  Solihull Park Way, BIRMINGHAM, B37 7YE",,e) Large,,Kathleen Lynch,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,PI62574218820150604/LCC/PL,Various Jobs Carried out,CENTRAL & CORPORATE,101 - Maintenance Of Buildings,,03/07/2015,,,,,"£28,064.80",,"G & S PINPLATES AND ENGINEERING LTDCity Works, Melbourne Street, MORLEY    LEEDS, LS27 8BG",,b) Micro,,Derek Prest,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/07/2015,PR3252422161354392768,professional fees,ADULT SOCIAL CARE,277 - Bought In Professional Services,,31/07/2015,,,,,"£36,000.00",,"PRICEWATERHOUSECOOPERS LLPHays Galleria, 1 Hays Lane, LONDON, SE1 2RD",,e) Large,,,Other
