Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,ACS LIMITED,A0091108, 12/04/2017,ITS0279391,9.95,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,ACS LIMITED,A0091108, 12/04/2017,ITS0279391,24.99,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,ACS LIMITED,A0091108, 12/04/2017,ITS0279391,81.99,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,ACS LIMITED,A0091108, 12/04/2017,ITS0279391,123.99,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,ACS LIMITED,A0091108, 12/04/2017,ITS0279391,739,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 06/04/2017,AAS0279262,10.44,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 06/04/2017,AAS0279259,16.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 06/04/2017,AAS0279261,29.39,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 06/04/2017,AAS0279258,37.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED,A0084372, 06/04/2017,AAS0279257,761.21,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Other Expenses,4705,AMEC ENVIRONMENT & INFRASTRUCURE UK LTD,A0046814, 27/04/2017,PBC0279749,7826,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,4705,REDACTED - PERSONAL DATA,A0091156, 27/04/2017,HMR0279667,725,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0051747, 27/04/2017,ENV0279738,35,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Water & Sewerage,2501,AQUAM WATER SERVICES LIMITED,A0090390, 20/04/2017,OPS0279571,672,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,AQUAM WATER SERVICES LIMITED,A0090390, 20/04/2017,OPS0279405,42.15,N,N/A,N,N/A
Pendle Borough Council,Property Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARNOLD CLARK VEHICLE MANAGEMENT,A0065524, 27/04/2017,EST0279705,449,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,3806,ARNOLD CLARK VEHICLE MANAGEMENT,A0065524, 27/04/2017,PER4005592,-89.92,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2017,AAS0279604,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2017,AAS0279604,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2017,AAS0279604,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2017,AAS0279604,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 18/04/2017,AAS0279604,144.48,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,ASPEN VALLEY KENNELS & CATTERY,A0022106, 20/04/2017,OPS0279422,1308.37,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,ATM CONSTRUCTION LTD,A0066308, 20/04/2017,HMR0279462,26580,N,N/A,N,480
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,AURORA ACCOUNTING SERVICES,A0089134, 12/04/2017,AAS0279424,1470,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Capital Costs,Capital : Payments,CD14,AVIVA INSURANCE  LIMITED,A0058665, 06/04/2017,DAL0279305,55,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Hire of Plant,3502,B & W PLANT HIRE AND SALES LTD,A0090057, 06/04/2017,PCO0279138,15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Hire of Plant,3502,B & W PLANT HIRE AND SALES LTD,A0090057, 20/04/2017,PCO0279561,135,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Hire of Plant,3502,B & W PLANT HIRE AND SALES LTD,A0090057, 06/04/2017,PCO0279138,540,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,BALLOON & PARTY STATION,A0090686, 12/04/2017,DAL0279353,559.91,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 12/04/2017,PCO0279349,8.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 12/04/2017,PCO0279349,34,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 12/04/2017,PCO0279349,88.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 06/04/2017,PCO0279109,174.44,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED,A0000202, 12/04/2017,PCO0279342,40.91,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED,A0000202, 12/04/2017,PCO0279342,48.3,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED,A0000202, 12/04/2017,PCO0279342,199,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 20/04/2017,OPS0279559,18.73,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Operational Buildings Expenses,2701,BARNFIELD INVESTMENT PROPERTIES LTD,A0026595, 06/04/2017,AAS0279182,709.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,303,BARNOLDSWICK TOWN COUNCIL,A0090352, 27/04/2017,AAS0279756,205500,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,303,BARROWFORD PARISH COUNCIL,A0000239, 27/04/2017,AAS0279757,138100,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BARROWFORD PARISH COUNCIL,A0000239, 27/04/2017,HED0279592,400,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/04/2017,OPS0279564,5.84,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/04/2017,OPS0279560,71.44,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Emp : Training : General,1217,BEN SHAW TRAINING LIMITED,A0055722, 06/04/2017,PCO0279112,400,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Emp : Medical Expenses,1236,BEN SHAW TRAINING LIMITED,A0055722, 06/04/2017,PCO0279238,115,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Emp : Medical Expenses,1236,BEN SHAW TRAINING LIMITED,A0055722, 06/04/2017,PCO0279238,220,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BETTS GEO ENVIRONMENTAL LIMITED,A0090455, 06/04/2017,HED0279174,4475,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,BLACK HORSE CONTRACT HIRE - FLEET 564391,A0081350, 20/04/2017,OPS0279565,423.6,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,BLACK HORSE CONTRACT HIRE - FLEET 564391,A0081350, 20/04/2017,OPS0279566,37.56,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN DIOCESAN BOARD OF FINANCE LTD,A0049427, 06/04/2017,COR0279204,35,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/04/2017,REG0279776,873,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 06/04/2017,COR0279285,1406.88,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/04/2017,COR0279573,1557.19,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 06/04/2017,COR0279285,562.75,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/04/2017,COR0279573,623.47,N,N/A,N,N/A
