Property Address,RATEPAYER,RV,LIABILITY_START
"8 Victoria Road, Elland, HX5 0PU",,5300,01-08-2015
"4 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",,2950,05-09-2013
"13 St James Road, Halifax, HX1 1YS",,8200,29-06-2015
"142 Queens Road, Halifax, HX1 3XY",,4450,27-07-2015
"Ground Floor, 11 Ryburn Buildings, West Street, Sowerby Bridge       HX6 3AH",,2550,19-07-2015
"Crown Buildings, 99 Halifax Road, Ripponden, HX6 4DA",,3050,14-05-2014
"12B Holdsworth Road (Back), Holmfield, Halifax, HX3 6SN",Kino & Co,3750,06-06-2015
"Unit 8 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Merlin Property Management 2006 Ltd,35000,07-08-2015
"Unit 10, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Ace Pans Ltd,13000,22-07-2015
"20 Lord Street, Halifax, HX1 5AE",,2550,28-06-2015
"Junction Inn, 1 Ogden Lane, Brighouse, HD6 3HF",Stanford Leisure Ltd,6400,21-07-2015
"3/5/7 Wellington Arcade, Briggate, Brighouse, HD6 1DN",Tosca North East Ltd,26000,14-07-2015
"The Court Yard, 5/6 Wards End, Halifax, HX1 1BX",Enterprise Inns Plc,22750,28-07-2015
"Unit 14 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",Setbray Properties Ltd,3450,03-08-2015
"Ground & First Floors, 51 Crown Street, Halifax, HX1 1JB",,5100,02-08-2015
"Shoulder Of Mutton, Bridge Gate, Hebden Bridge, HX7 8EX",,29500,08-07-2015
"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",R & D Electrical Contractors(Yorkshire) Ltd,2225,01-05-2015
"First Floor 1-4, 16 Church Lane, Brighouse, HD6 1AT",Turning Point Counselling Service,6300,01-09-2014
"Ground Floor 2-3, 16 Church Lane, Brighouse, HD6 1AT",Pickles Architects,2700,19-12-2014
"Ground Floor 1 4 & 6, 16 Church Lane, Brighouse, HD6 1AT",Lindley Financial Management Limited,4000,19-12-2014
"Unit 4B, High Level Way, Queens Road, Halifax              HX1 4PS",Euro Car Parts Ltd,34500,01-07-2015
