Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose Of Spend,Supplier,Supplier Reference,Pay Date,Transaction Number,Net Amount,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Financial Services,Supplies and Services,4705,Other Expenses,RIGHTMOVE.CO.UK,A0077496,02/01/2015,AAS0258370,274.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,CD14,Capital : Payments,RIGHTMOVE.CO.UK,A0077496,02/01/2015,AAS0258370,535.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,68.56,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,149.35,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,334.86,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,224.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,264.96,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,320.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,338.56,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,133.55,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,53.74,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,54.28,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,252.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,283.97,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,220.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,40,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,53.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,251.02,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,246.34,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,174.07,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,36.72,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,142.61,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,46.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,90.01,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,206.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,127.02,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,156.76,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,182.95,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,25.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,64.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,44.31,N,N/A,N,N/A
