ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,25/08/2017,NEIGHBOURHOODS AND ENVIRONMENT,7 PDS,25/08/2017,-8998.00 ,PURCHASE OF ICT HARDWARE,V001159424
ROCHDALE BOROUGH COUNCIL,01/08/2017,EARLY HELP AND SCHOOLS,7 PDS,01/08/2017,525.00 ,ACTIVITIES,V001150317
ROCHDALE BOROUGH COUNCIL,25/08/2017,NEIGHBOURHOODS AND ENVIRONMENT,7 PDS,25/08/2017,1000.00 ,PURCHASE OF ICT HARDWARE,V001159420
ROCHDALE BOROUGH COUNCIL,25/08/2017,NEIGHBOURHOODS AND ENVIRONMENT,7 PDS,25/08/2017,1400.00 ,PURCHASE OF ICT HARDWARE,V001159421
ROCHDALE BOROUGH COUNCIL,25/08/2017,NEIGHBOURHOODS AND ENVIRONMENT,7 PDS,25/08/2017,2100.00 ,PURCHASE OF ICT HARDWARE,V001159418
ROCHDALE BOROUGH COUNCIL,25/08/2017,NEIGHBOURHOODS AND ENVIRONMENT,7 PDS,25/08/2017,5200.00 ,PURCHASE OF ICT HARDWARE,V001159419
ROCHDALE BOROUGH COUNCIL,25/08/2017,NEIGHBOURHOODS AND ENVIRONMENT,7 PDS,25/08/2017,8998.00 ,PURCHASE OF ICT HARDWARE,V001158604
ROCHDALE BOROUGH COUNCIL,02/08/2017,PHYSICAL DIS & OLDER PEOPLE,A & S BUILDING & ROOFING,02/08/2017,1530.00 ,TRANSACTIONS-EXPENDITURE,V001155258
ROCHDALE BOROUGH COUNCIL,02/08/2017,PHYSICAL DIS & OLDER PEOPLE,A & S BUILDING & ROOFING,02/08/2017,2000.00 ,TRANSACTIONS-EXPENDITURE,V001155258
ROCHDALE BOROUGH COUNCIL,10/08/2017,PHYSICAL DIS & OLDER PEOPLE,A1 PLUMBING  AND HEATING,10/08/2017,1494.00 ,TRANSACTIONS-EXPENDITURE,V001157668
ROCHDALE BOROUGH COUNCIL,18/08/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEY HEALTHCARE,18/08/2017,590.62 ,RESIDENTIAL LONG TERM,V001151393
ROCHDALE BOROUGH COUNCIL,18/08/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEY HEALTHCARE,18/08/2017,590.62 ,RESIDENTIAL LONG TERM,V001151394
ROCHDALE BOROUGH COUNCIL,18/08/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEY HEALTHCARE,18/08/2017,590.62 ,RESIDENTIAL LONG TERM,V001160799
ROCHDALE BOROUGH COUNCIL,18/08/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEY HEALTHCARE,18/08/2017,590.62 ,RESIDENTIAL LONG TERM,V001160800
ROCHDALE BOROUGH COUNCIL,04/08/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEYWOOD TOTTINGTON LIMITED,04/08/2017,651.18 ,RESIDENTIAL LONG TERM,V001156273
ROCHDALE BOROUGH COUNCIL,18/08/2017,PHYSICAL DIS & OLDER PEOPLE,ABBEYWOOD TOTTINGTON LIMITED,18/08/2017,651.18 ,RESIDENTIAL LONG TERM,V001160691
ROCHDALE BOROUGH COUNCIL,04/08/2017,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD NURSING HOME,04/08/2017,568.10 ,RESIDENTIAL LONG TERM,V001156475
ROCHDALE BOROUGH COUNCIL,18/08/2017,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD NURSING HOME,18/08/2017,568.10 ,RESIDENTIAL LONG TERM,V001160952
ROCHDALE BOROUGH COUNCIL,14/08/2017,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,14/08/2017,550.00 ,TRANSACTIONS-EXPENDITURE,V001150109
ROCHDALE BOROUGH COUNCIL,14/08/2017,ECONOMY DIRECTORATE,ABC INDUSTRIAL DOORS LTD,14/08/2017,595.00 ,ELECTRICAL,V001150156
ROCHDALE BOROUGH COUNCIL,14/08/2017,NEIGHBOURHOODS AND ENVIRONMENT,ABLE LORRY LOADERS LTD,14/08/2017,1950.26 ,VEHICLE MAINTENANCE,V001157987
ROCHDALE BOROUGH COUNCIL,11/08/2017,EARLY HELP AND SCHOOLS,ACCESS DOOR SYSTEMS LTD,11/08/2017,790.00 ,REPAIRS & ALTS OF BUILDINGS,V001155256
ROCHDALE BOROUGH COUNCIL,04/08/2017,LEARNING DIS & MENTAL HEALTH,ACORN CARE AND EDUCATION LTD,04/08/2017,4538.46 ,RESIDENTIAL LONG TERM,V001156228
ROCHDALE BOROUGH COUNCIL,18/08/2017,LEARNING DIS & MENTAL HEALTH,ACORN CARE AND EDUCATION LTD,18/08/2017,4538.46 ,RESIDENTIAL LONG TERM,V001160647
ROCHDALE BOROUGH COUNCIL,17/08/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,17/08/2017,3214.39 ,FOSTER PARENTS BASIC ALLOWANCE,V001158790
ROCHDALE BOROUGH COUNCIL,17/08/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,17/08/2017,3218.11 ,FOSTER PARENTS BASIC ALLOWANCE,V001158787
ROCHDALE BOROUGH COUNCIL,17/08/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,17/08/2017,3281.66 ,FOSTER PARENTS BASIC ALLOWANCE,V001158786
ROCHDALE BOROUGH COUNCIL,17/08/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,17/08/2017,3575.85 ,FOSTER PARENTS BASIC ALLOWANCE,V001158788
ROCHDALE BOROUGH COUNCIL,17/08/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,17/08/2017,3622.04 ,FOSTER PARENTS BASIC ALLOWANCE,V001158789
ROCHDALE BOROUGH COUNCIL,17/08/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,17/08/2017,700.00 ,FEES / COMMISSION,V001158920
ROCHDALE BOROUGH COUNCIL,17/08/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,17/08/2017,700.00 ,FEES / COMMISSION,V001158922
