year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2008,LOCAL,Headingley Ward,MATTHEWS,JAMIE,Liberal Democrats,1021,12,ELECTED,12644
2008,LOCAL,Headingley Ward,AZAM,MOHAMMED,The Labour Party Candidate,730,12,,12644
2008,LOCAL,Headingley Ward,SUNDERLAND,TIM JOHN,Green Party,344,12,,12644
2008,LOCAL,Headingley Ward,HORWOOD,MICHAEL JOHN,The Conservative Party Candidate,318,12,,12644
2008,LOCAL,Headingley Ward,HANSARD,LAWRENCE,British National Party,40,12,,12644
2008,LOCAL,Headingley Ward,DE SOUZA VIGNESWAREN,SEQUOYAH,The Alliance for Green Socialism,25,12,,12644
2008,LOCAL,City and Hunslet Ward,NASH,ELIZABETH,The Labour Party Candidate,1697,16,ELECTED,18470
2008,LOCAL,City and Hunslet Ward,HARLEY,SIMON,The Conservative Party Candidate,538,16,,18470
2008,LOCAL,City and Hunslet Ward,SADLER,PIP,Liberal Democrats,488,16,,18470
2008,LOCAL,City and Hunslet Ward,ATKINSON,JOHN,British National Party,436,16,,18470
2008,LOCAL,City and Hunslet Ward,SUJAWAL,MUSERAT,Independent,272,16,,18470
2008,LOCAL,City and Hunslet Ward,PARNHAM,ANDY,Green Party,193,16,,18470
2008,LOCAL,Armley Ward,LOWE,ALISON NATALIE KAY,The Labour Party Candidate,2104,13,ELECTED,17539
2008,LOCAL,Armley Ward,KAPP,JEREMY MARK,The Conservative Party Candidate,915,13,,17539
2008,LOCAL,Armley Ward,FITZPATRICK,SHAUN LIAM,British National Party,753,13,,17539
2008,LOCAL,Armley Ward,CROKE,MICHAEL,Green Party,616,13,,17539
2008,LOCAL,Armley Ward,LOVELL,CHRISTOPHER JOHN,Liberal Democrats,512,13,,17539
2008,LOCAL,Garforth and Swillington Ward,MCKENNA,ANDREA SUSAN,The Labour Party Candidate,3004,28,ELECTED,15870
2008,LOCAL,Garforth and Swillington Ward,TURNER,LOUISE JAYNE,The Conservative Party Candidate,2768,28,,15870
2008,LOCAL,Garforth and Swillington Ward,MOWBRAY,WINNIFRED MARY,British National Party,752,28,,15870
2008,LOCAL,Garforth and Swillington Ward,JACQUES,ROBERT HUGH,Liberal Democrats,535,28,,15870
2008,LOCAL,Bramley and Stanningley Ward,ATKINSON,DENISE,The Labour Party Candidate,2019,14,ELECTED,16601
2008,LOCAL,Bramley and Stanningley Ward,BEST,MICHAEL KENNETH,The Conservative Party Candidate,1069,14,,16601
2008,LOCAL,Bramley and Stanningley Ward,GATENBY,DAVID ANDREW,British National Party,628,14,,16601
2008,LOCAL,Bramley and Stanningley Ward,SLACK,ADAM JOHN THOMAS,Liberal Democrats,541,14,,16601
2008,LOCAL,Bramley and Stanningley Ward,LOCKE,DEAN ANDREW,English Democrats Party - Putting England First,276,14,,16601
2008,LOCAL,Bramley and Stanningley Ward,BROWN,PAMELA JOY,Green Party,248,14,,16601
2008,LOCAL,Kippax and Methley Ward,PARKER,KEITH,The Labour Party Candidate,3048,13,ELECTED,15985
2008,LOCAL,Kippax and Methley Ward,PHILLIPS,TINA LOUISE,The Conservative Party Candidate,1720,13,,15985
2008,LOCAL,Kippax and Methley Ward,MAVERICK,PETER FRANK,British National Party,751,13,,15985
2008,LOCAL,Kippax and Methley Ward,MACARTHUR,JOHN DURNO,Liberal Democrats,506,13,,15985
2008,LOCAL,Kirkstall Ward,YEADON,LUCINDA JOY,The Labour Party Candidate,1981,14,ELECTED,16755
2008,LOCAL,Kirkstall Ward,COLEMAN,RUTH,Liberal Democrats,1844,14,,16755
2008,LOCAL,Kirkstall Ward,SMITH,PHILIP RICHARD,The Conservative Party Candidate,495,14,,16755
2008,LOCAL,Kirkstall Ward,THACKWRAY,TONY,British National Party,376,14,,16755
2008,LOCAL,Kirkstall Ward,HILL,ANNE-MARIE,Green Party,337,14,,16755
2008,LOCAL,Killingbeck and Seacroft Ward,HYDE,GRAHAM,The Labour Party Candidate,2576,15,ELECTED,16491
2008,LOCAL,Killingbeck and Seacroft Ward,TOWNSLEY,DONALD HOLFORD,The Conservative Party Candidate,767,15,,16491
2008,LOCAL,Killingbeck and Seacroft Ward,POWELL,MARK,British National Party,723,15,,16491
2008,LOCAL,Killingbeck and Seacroft Ward,FISHER,SADIE,Liberal Democrats,530,15,,16491
2008,LOCAL,Killingbeck and Seacroft Ward,DOUGLAS,ADAM,UK Independence Party,454,15,,16491
2008,LOCAL,Killingbeck and Seacroft Ward,FEARN,SIMON HARRIS,The Alliance for Green Socialism,122,15,,16491
2008,LOCAL,Morley South Ward,ELLIOTT,JUDITH MARY,Morley Borough Independents,2714,8,ELECTED,16452
2008,LOCAL,Morley South Ward,MEE,MIKE,British National Party,1779,8,,16452
2008,LOCAL,Morley South Ward,HUDSON,ALEC,The Labour Party Candidate,832,8,,16452
2008,LOCAL,Morley South Ward,HOLMES,MARK,The Conservative Party Candidate,517,8,,16452
2008,LOCAL,Morley South Ward,FOSSEY,NATHAN DAVID,Liberal Democrats,202,8,,16452
2008,LOCAL,Morley South Ward,SLINGSBY,CHARLES ALBERT,Independent,158,8,,16452
2008,LOCAL,Crossgates and Whinmoor Ward,ARMITAGE,SUZI,The Labour Party Candidate,2368,22,ELECTED,16965
2008,LOCAL,Crossgates and Whinmoor Ward,SCHOFIELD,DAVID,The Conservative Party Candidate,2233,22,,16965
2008,LOCAL,Crossgates and Whinmoor Ward,DOUGLAS,JOHN HARRY,British National Party,979,22,,16965
2008,LOCAL,Crossgates and Whinmoor Ward,NORMAN,ANN CARMEL,Liberal Democrats,577,22,,16965
2008,LOCAL,Crossgates and Whinmoor Ward,ODDY,DARREN PAUL,UK Independence Party,276,22,,16965
2008,LOCAL,Rothwell Ward,WILSON,DON,Liberal Democrats,2534,10,ELECTED,15508
2008,LOCAL,Guiseley and Rawdon Ward,KING,MIKE,The Labour Party Candidate,1664,19,,16901
2008,LOCAL,Guiseley and Rawdon Ward,CLEASBY,CINDY,Liberal Democrats,834,19,,16901
2008,LOCAL,Guiseley and Rawdon Ward,TAYLOR,WAYNE PATRICK,British National Party,436,19,,16901
2008,LOCAL,Guiseley and Rawdon Ward,AVISON,COLIN CLIFFORD,Green Party,347,19,,16901
2008,LOCAL,Guiseley and Rawdon Ward,CHRISTIE,GARETH MORGAN,The Alliance for Green Socialism,62,19,,16901
2008,LOCAL,Calverley and Farsley Ward,CARTER,ANDREW,The Conservative Party Candidate,4283,19,ELECTED,17317
2008,LOCAL,Calverley and Farsley Ward,MARJORAM,JOSEPH WILLIAM,The Conservative Party Candidate,3159,19,ELECTED,17317
2008,LOCAL,Calverley and Farsley Ward,HOY,LORRAINE,The Labour Party Candidate,1327,19,,17317
2008,LOCAL,Calverley and Farsley Ward,JAROSZ,ANDREW RICHARD,The Labour Party Candidate,1262,19,,17317
2008,LOCAL,Calverley and Farsley Ward,ARBUCKLE,KATE,Liberal Democrats,836,19,,17317
2008,LOCAL,Calverley and Farsley Ward,HOLLINGS,JANE LYNN,British National Party,666,19,,17317
2008,LOCAL,Calverley and Farsley Ward,LEARY,ROBERT JOHN,British National Party,637,19,,17317
2008,LOCAL,Calverley and Farsley Ward,READ,CHRIS,Liberal Democrats,613,19,,17317
2008,LOCAL,Otley and Yeadon Ward,KIRKLAND,GRAHAM PETER,Liberal Democrats,2951,18,ELECTED,17239
2008,LOCAL,Otley and Yeadon Ward,CREEK,KENNETH JOHN,The Conservative Party Candidate,2139,18,,17239
2008,LOCAL,Otley and Yeadon Ward,EVELEIGH,JOHN,The Labour Party Candidate,1716,18,,17239
2008,LOCAL,Otley and Yeadon Ward,WARRINGTON,RICHARD THOMAS,British National Party,382,18,,17239
2008,LOCAL,Otley and Yeadon Ward,WEBB,DAVID CHARLES,Green Party,232,18,,17239
2008,LOCAL,Otley and Yeadon Ward,DENNING,FRANCIS JOHN BURLEIGH,The Alliance for Green Socialism,177,18,,17239
2008,LOCAL,Hyde Park and Woodhouse Ward,EWENS,PENNY,Liberal Democrats,1206,19,ELECTED,15004
2008,LOCAL,Hyde Park and Woodhouse Ward,HARPER,GERRY,The Labour Party Candidate,1142,19,,15004
2008,LOCAL,Hyde Park and Woodhouse Ward,BISSON,KATE ALICE,Green Party,299,19,,15004
2008,LOCAL,Hyde Park and Woodhouse Ward,PITKIN,SYPRIAN ANTHONY,The Conservative Party Candidate,219,19,,15004
2008,LOCAL,Hyde Park and Woodhouse Ward,ALLEN,BERNARD ADRIAN,British National Party,102,19,,15004
2008,LOCAL,Beeston and Holbeck Ward,GABRIEL,ANGELA,The Labour Party Candidate,1841,15,ELECTED,15510
2008,LOCAL,Beeston and Holbeck Ward,WINFIELD,ROBERT JAMES WILLIAM,The Conservative Party Candidate,1002,15,,15510
2008,LOCAL,Beeston and Holbeck Ward,TAYLOR,DEAN MARK,British National Party,663,15,,15510
2008,LOCAL,Beeston and Holbeck Ward,FULLER,JAMES,Liberal Democrats,462,15,,15510
2008,LOCAL,Beeston and Holbeck Ward,CUTHBERT,JULIE CONSUELO,Green Party,237,15,,15510
2008,LOCAL,Beeston and Holbeck Ward,WOODHOUSE,WILFRED,UK Independence Party,207,15,,15510
2008,LOCAL,Roundhay Ward,LOBLEY,MATTHEW,The Conservative Party Candidate,3337,16,ELECTED,17210
2008,LOCAL,Roundhay Ward,HAMILTON,SHARON,The Labour Party Candidate,2145,16,,17210
2008,LOCAL,Roundhay Ward,BRAWLEY,SEAN,Liberal Democrats,820,16,,17210
2008,LOCAL,Roundhay Ward,JOHNSTON,COLIN EDWARD,Green Party,294,16,,17210
2008,LOCAL,Roundhay Ward,CHRISTIE,MALCOLM SCOTT,The Alliance for Green Socialism,281,16,,17210
2008,LOCAL,Roundhay Ward,FERGUSON,MARK,British National Party,228,16,,17210
2008,LOCAL,Adel and Wharfedale Ward,ANDERSON,BARRY JOHN,The Conservative Party Candidate,4377,14,ELECTED,15977
2008,LOCAL,Adel and Wharfedale Ward,SHAW,CHRISTINA,Liberal Democrats,2020,14,,15977
2008,LOCAL,Adel and Wharfedale Ward,ILLINGWORTH,DOREEN VALERIE,The Labour Party Candidate,727,14,,15977
2008,LOCAL,Adel and Wharfedale Ward,HARLAND,JASON,British National Party,269,14,,15977
2008,LOCAL,Adel and Wharfedale Ward,MARCHANT,PAUL RICHARD,Green Party,202,14,,15977
2008,LOCAL,Morley North Ward,FINNIGAN,ROBERT PAUL,Morley Borough Independents,3665,12,ELECTED,17680
2008,LOCAL,Morley North Ward,REDMOND,TOM,British National Party,1388,12,,17680
2008,LOCAL,Morley North Ward,DAWSON,NEIL,The Labour and Co-Operative Party Candidate,955,12,,17680
2008,LOCAL,Morley North Ward,HUNT,NEIL RICHARD,The Conservative Party Candidate,861,12,,17680
2008,LOCAL,Morley North Ward,JENNINGS,JAMES SIMON EDWARD,Liberal Democrats,224,12,,17680
2008,LOCAL,Gipton and Harehills Ward,TAYLOR,ALAN,Liberal Democrats,2584,14,ELECTED,15808
2008,LOCAL,Gipton and Harehills Ward,MAQSOOD,KAMILA,The Labour Party Candidate,2551,14,,15808
2008,LOCAL,Gipton and Harehills Ward,SMITH,DARRAN PAUL,British National Party,389,14,,15808
2008,LOCAL,Gipton and Harehills Ward,GREENWOOD,BEATRICE,The Conservative Party Candidate,217,14,,15808
2008,LOCAL,Gipton and Harehills Ward,WHEATLEY,KATIE ANNE,Independent,110,14,,15808
2008,LOCAL,Gipton and Harehills Ward,REED,MARTIN LESLIE,Green Party,94,14,,15808
2008,LOCAL,Gipton and Harehills Ward,IQBAL,AZAR,The Alliance for Green Socialism,83,14,,15808
2008,LOCAL,Farnley and Wortley Ward,BLACKBURN,DAVID,Green Party,2556,5,ELECTED,17661
2008,LOCAL,Farnley and Wortley Ward,TOWLER,STEPHEN JOHN,The Labour Party Candidate,1264,5,,17661
