Publisher Label,Publisher URI,Organisationname,OrganisationCode,Effectivedate,ContractReferencenumber,OpenContractingID,TitleoftheAgreement,Contracttype,Serviceresponsible,ServiceCategorylabel,ServicecategoryURI,Descriptionofgoodsandservices,Procurementclassification,CPVlabel,CPVcode,Proclasslabel,Proclasscode,Contractstartdate,Enddate,Reviewdate,Lastextensiondate,Contractvalue,Fixedorestimatedcost,IrrecoverableVAT,SupplierName,Supplierregisteredcompanynumber,Supplierregisteredcharitynumber,OthersupplierID,SMEsupplier,VCSEsupplier,VCSEsuppliertype,Nominatedcontactpointname,Nominatedcontactpointemail,NominatedcontactpointURL
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,289,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,Advance Tree Services Ltd,,,,,,,,alastair.cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,290,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,Glendale Countryside Ltd,,,,,,,,alastair.cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,291,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,Gristwood & Toms Ltd,,,,,,,,alastair.cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,292,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,High Elms Tree Surgery ltd,,,,,,,,alastair.cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,293,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,J W Salmon - Aboricultural Ltd,,,,,,,,alastair.cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,294,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,R Watts & Sons,,,,,,,,alastair.cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,421,,Agricultural technical report,,Planning & Sustainability,,,Agricultural technical report,,,,,,01/05/2017,30/04/2020,01/08/2019,,18000,,N/A,RSK ADAS ltd,,,,,,,,alastair.nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,422,,Agricultural Technical reports,,Planning & Sustainability,,,Agricultural Technical reports,,,,,,01/05/2017,30/04/2020,01/08/2019,,18000,,N/A,Bourne Rural Planning & Sustainability & Sustainability Consultancy Ltd,,,,,,,,alastair.nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,423,,Agricultural Technical Reports,,Planning & Sustainability,,,Agricultural Technical Reports,,,,,,01/05/2017,30/04/2020,01/08/2019,,18000,,N/A,Wardell Armstrong LLP,,,,,,,,alastair.nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,424,,Agriculturl technical reports,,Planning & Sustainability,,,Agriculturl technical reports,,,,,,01/05/2017,30/04/2020,01/08/2019,,18000,,N/A,Acorus Rural Major Projects & Estates Services,,,,,,,,alastair.nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,420,,Planning & Sustainability & Sustainability Apeals framework,,Planning & Sustainability,,,Planning & Sustainability & Sustainability Apeals framework,,,,,,01/05/2017,30/04/2020,01/08/2019,,22500,,N/A,RK ADAS ltd,,,,,,,,alastair.nicholson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Nov 2017,414,,Planning & Sustainability & Sustainability Appeals framework,,Planning & Sustainability,,,Planning & Sustainability & Sustainability Appeals framework,,,,,,01/05/2017,30/04/2020,01/08/2019,,22500,,N/A,SBW Planning & Sustainability & Sustainability ltd,,,,,,,,alastair.nicholson@wycombe.gov.uk,
