Body,BodyName,ServiceLabel,ServiceDivisionLabel,ExpenditureCategory,DetailedExpenditureType,DetailedExpenditureCode,DatePaid,TransactionNumber,NetAmount,CapitalOrRevenue,SupplierName
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Non-Recurring Grants,227,19-Feb-2013,1302-00001,1000.00,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate,Support And Facilities General Fund,Premises,Maintenance Of Buildings,101,11-Feb-2013,1302-00002,508.75,R,A Andrews & Sons (Marbles & Tiles)
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Roseville Enterprises,Supplies and Services,Operational Furniture And Equipment,203,28-Feb-2013,1302-00003,494.00,R,A D G Engineering Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Roseville Enterprises,Supplies and Services,Operational Furniture And Equipment,203,28-Feb-2013,1302-00004,1161.60,R,A D G Engineering Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Roseville Enterprises,Supplies and Services,Operational Furniture And Equipment,203,28-Feb-2013,1302-00005,2280.00,R,A D G Engineering Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,15-Feb-2013,1302-00006,898.70,R,A E Speight
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Capital,Construction,3,28-Feb-2013,1302-00007,65734.46,C,A E Yates Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West  ,West - North West,Regeneration/Customer Research,Supplies and Services,Miscellaneous Expenditure,208,19-Feb-2013,1302-00008,500.00,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,20-Feb-2013,1302-00009,730.00,R,A J H  Pump Supply & Repair Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Economic Development,Supplies and Services,Resaleable Materials,204,27-Feb-2013,1302-00010,422.70,R,A J Promotions
