RATEPAYER,RV,Property Address,LIABILITY_START,
Cannon Colbeck Llp,7600,"Unit 16A Grove Mills, Elland Lane, Elland, HX5 9DZ",10-03-2014,
,4150,"Unit 3 Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",16-06-2014,
,7400,"Ground Floor, 18 Clare Road, Halifax, HX1 2JP",07-02-2014,
Yorkshire Assured Properties Ltd,7800,"1ST Floor, 18 Clare Road, Halifax, HX1 2JP",07-02-2014,
Blackshaw Holdings Ltd,1825,"Office 3 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",01-07-2014,
,1650,"39 Wakefield Road, Hipperholme, Halifax, HX3 8AA",05-07-2014,
Units To Let [Northern] Ltd,950,"Unit 5 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",01-07-2012,
,11500,"31/33 Crown Street, Halifax, HX1 1TT",01-06-2014,
,5800,"14 Union Street, Halifax, HX1 1PR",01-05-2014,
,4450,"54 Carr House Road, Shelf, Halifax, HX3 7RJ",06-04-2014,
Calderdale Mbc Markets Manager,3100,"Stalls 21/22 Market Hall, Brook Street, Todmorden, OL14 5AJ",01-10-2012,
,1350,"Unit 37, Mill House Works, Triangle, Sowerby Bridge      HX6 3LN",01-04-2014,
Friarshill Ltd,1300,"Unit 8 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",01-06-2014,
Jamie Stanton Ltd,1950,"Unit 1 Ground Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",23-06-2014,
,3100,"The Acorn Centre, 32 Burnley Road, Todmorden, OL14 5EZ",20-06-2014,
,2550,"Warehouse Adj K S Chatta, Tillotson Avenue, Sowerby, Sowerby Bridge       HX6 1BX",30-06-2014,
,1775,"2 Dale Street, Todmorden, OL14 5PX",01-05-2014,
West Yorkshire Windscreens Limited,5000,"Units 1 & 2, New Delight Works, Boothtown Road, Halifax              HX3 6TU",01-03-2014,
,6400,"Flat 5, 1 Savile Terrace, Savile Park Road, Halifax              HX1 3DU",01-05-2014,
,2150,"The Sewing Rooms, 36 Market Street, Hebden Bridge, HX7 6AA",14-05-2014,
,2150,"Salter Rake Gate Cottage, Bottomley Road, Walsden, Todmorden           OL14 6QZ",26-05-2014,
Bizspace Ltd,7000,"Unit 7, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",25-03-2014,
,14250,"7 Victoria Road, Elland, HX5 0AB",22-05-2014,
,1850,"Unit 37 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",16-06-2014,
,5200,"54a Southgate, Elland, HX5 0DQ",02-06-2014,
,6400,"64 Saddleworth Road, Greetland, Halifax, HX4 8AG",01-04-2014,
,11250,"Unit 13, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",02-05-2014,
,5200,"Unit D Woodman Works, South Lane, Elland, HX5 0PA",01-01-2014,
,1900,"23A Ovenden Road, Halifax, HX3 5PN",01-10-2013,
Crestell Ltd,22500,"Function Hall, Crossley Hse Function Venue, Hopwood Lane, Halifax              HX1 5ER",01-06-2013,
Texsys Ltd,15000,"Seminar Room, Crossley Hse Function Venue, Hopwood Lane, Halifax              HX1 5ER",01-06-2013,
,4400,"2 Pellon Lane, Halifax, HX1 5SP",09-05-2014,
,2900,"Unit 71 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",14-03-2014,
Optimum Storage Systems Ltd,2750,"Unit 2 Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8PE",01-05-2014,
Millcraft Associates,1500,"Unit 16, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",01-07-2014,
Accept Car Credit Ltd,1625,"Unit 6 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",01-03-2014,
Blackshaw Holdings Ltd,1975,"Unit 29 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",01-03-2014,
Blackshaw Holdings Ltd,1975,"Unit 28 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",01-03-2014,
Millcraft Associates,1200,"Unit 9 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",01-07-2014,
,5500,"Unit B1 (B) & B12, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",01-02-2014,
,2400,"Unit B1 (A), Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",01-02-2014,
Relecting Roadstuds Ltd,6900,"Unit 1 Reflecting Roadstuds, Mill Lane, Boothtown, Halifax              HX3 6TR",09-06-2014,
Relecting Roadstuds Ltd,6300,"Unit 2 Reflecting Roadstuds, Mill Lane, Boothtown, Halifax              HX3 6TR",09-06-2014,
The Sign Up Agency Ltd,2325,"Suite 4 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-04-2014,
Cuttin Edge Carpets Ltd,8600,"1 Ovenden Road, Halifax, HX3 5PN",09-06-2014,
,2500,"35 Victoria Road, Elland, HX5 0AB",20-05-2011,
Blackshaw Holdings Ltd,5600,"Units 5/6 Station Ind.Park, Station Road, Luddendenfoot, Halifax              HX2 6AD",01-06-2014,
Metropolis Transport Ltd,5000,"Unit 2 Station Industrial Pk, Station Road, Luddendenfoot, HX2 6AD",01-06-2014,
,3400,"Dundas Street, Halifax, HX1 3PQ",01-05-2014,
New Image Fitness Ltd,2600,"48 Warley Town Lane, Halifax, HX2 7SA",01-07-2014,
,5100,"1 New Street, Bailiff Bridge, Brighouse, HD6 4DP",01-07-2014,
Kino & Co,5900,"Unit HM2 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",01-07-2014,
Hannah Nunn Ltd,1150,"Office 3 Suite 1, 1ST Flr Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",01-03-2014,
,14500,"The Winterburn, 1 Winterburn Hill, Warley, Halifax              HX2 7SQ",09-07-2014,
Ideal Boats Company Ltd,3200,"Unit 21 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",12-07-2014,
,7800,"Harley Mill, Harley Street, Todmorden, OL14 5JE",12-07-2014,
Markit Jewellery Ltd,370,"Unit 3B South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",24-01-2014,
Kino & Co,1600,"Unit 1.02/1.03, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",01-01-2014,
Kino & Co,4500,"Unit SM2 White Rose Mill, Holdsworth Road, Halifax, HX3 6SN",21-03-2014,
,2450,"Unit 21, Mill House Works, Mill House Lane, Triangle            HX6 3LN",11-07-2014,
,7200,"Rear Of Unit 7/8, Queens Road Works, Queens Road, Halifax              HX1 3XY",20-08-2013,
,2800,"65 Burnley Road, Todmorden, OL14 7BS",01-07-2014,
,6500,"21a West End, Hebden Bridge, HX7 8UQ",02-05-2014,
Yorkshire Cleaning Fabrics Ltd,47500,"Unit 2, Drakes Industrial Estate, Shay Lane, Halifax             HX3 6RL",15-07-2014,
Calderdale Mbc Parking Services,2000,"Free Car Park, Bridge Lanes, Hebden Bridge, HX7 6AT",01-04-2013,
Albanyview Limited,1400,"Licensed Car Park, Bridge Lanes, Hebden Bridge, HX7 6AT",01-04-2013,
,3000,"27 Queens Road, Halifax, HX1 3NS",07-05-2014,
,3150,"Unit S M 5.1, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",01-06-2014,
,1800,"Unit 1 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",01-06-2014,
,8800,"Wellholme Garage, 1ST Floor, 74 Bradford Road, Brighouse            HD6 4AA",07-07-2014,
El Gato Negro Ltd,6400,"Junction Inn, 1 Oldham Road, Ripponden, Sowerby Bridge       HX6 4DN",01-04-2014,
Hunter Chemicals Ltd,870,"Suite 9 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-04-2014,
Craggs Country Business Park Llp,1950,"Suite 8 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-04-2014,
,1150,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",09-04-2014,
,540,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",07-04-2014,
,3800,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",07-04-2014,
,3950,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",07-04-2014,
,5300,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",07-04-2014,
Premier Pipeline Supplies Ltd,33500,"Unit 25 Grove Mills, Elland Lane, Elland, HX5 9DZ",27-06-2014,
Waxman Holdings Ltd,233000,"Grove Mills, Elland Lane, Elland, HX5 9DZ",27-06-2014,
,1375,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",07-04-2014,
,4550,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",07-04-2014,
,10000,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",07-04-2014,
Angel Wings Homecare Ltd,2550,"128 Bradford Road, Brighouse, HD6 4AU",01-09-2013,
,1675,"Halifax Road, Hipperholme, Halifax, HX3 8ER",06-06-2014,
,7500,"Sun Inn, 94 New Hey Road, Brighouse, HD6 3PZ",04-06-2014,
Coral Racing Ltd,44000,"41 Westgate House, Market Street, Halifax, HX1 1PD",14-06-2013,
Infocash Holdings Ltd,5900,"Atm At, 41 Westgate House, Market Street, Halifax              HX1 1PD",14-06-2013,
Mssq Ltd,3650,"First Floor, 23 Emscote Street South, Halifax, HX1 3AN",01-02-2014,
Bits N Bobs Uk Ltd,4450,"Ground Floor, 23 Emscote Street South, Halifax, HX1 3AN",01-02-2014,
Thetransporteruk Ltd,3200,"Pt Grd Flr The Factory, 23 Emscote Street South, Halifax, HX1 3AN",01-02-2014,
,3000,"32 Fenton Road, Halifax, HX1 3PP",24-05-2014,
,1250,"First Floor, 32 Fenton Road, Halifax, HX1 3PP",24-05-2014,
,6500,"Pt Grd & 1ST Flr Arden Works, Fenton Road, Halifax, HX1 3PP",24-05-2014,
James Hargreaves (Plumbers Merchants) Ltd,20500,"Units 2-3, Halifax Industrial Centre, Marshway, Halifax              HX1 5RW",24-06-2011,
Lakebeech Ltd,27500,"Royds Ices, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5HR",01-04-2014,
,5800,"Unit A, Church Street Garage, Church Street, Halifax             HX1 1QY",01-03-2014,
,6250,"6 Lord Street, Halifax, HX1 5AE",15-05-2014,
,2850,"85 Stainland Road, Greetland, Halifax, HX4 8BD",15-07-2014,
,3850,"30 Waterhouse Street, Halifax, HX1 1UQ",01-04-2014,
,2850,"4 Cheetham Street, Hebden Bridge, HX7 8EW",01-09-2013,
Enco Ltd,12500,"Unit 7, Wellington Business Centre, Quebec Street, Elland               HX5 9AS",16-05-2014,
Bizspace Ltd,5500,"Unit 16H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",02-06-2014,
Bizspace Ltd,2950,"Units 12A & 12B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",02-06-2014,
Domus Healthcare Group Ltd,9600,"Unit 11, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",02-06-2014,
Due West Ltd,20750,"10 Albion Street, Halifax, HX1 1DU",20-05-2014,
Elland Pharmco Ltd,10750,"18 Huddersfield Road, Elland, HX5 9DW",13-03-2013,
